path,n_images,E_act_fwd_eV,E_act_rev_eV,barrier_eV,status
1-2,5,2.790171,1.015330,2.790171,UNCONVERGED
1-3,5,4.003362,3.950126,4.003362,UNCONVERGED
1-4,5,0.336050,0.016829,0.336050,UNCONVERGED
1-5,5,1.099583,0.753468,1.099583,UNCONVERGED
1-6,5,1.026035,0.205627,1.026035,UNCONVERGED
1-7,5,0.582586,0.024650,0.582586,UNCONVERGED
1-8,5,1.755620,0.989243,1.755620,CONVERGED
1-5_sep2-1,10,7.546903,8.596903,7.546903,UNCONVERGED
1-5_sep2-2,10,800.558146,797.729881,800.558146,DIVERGED
neb_1,10,1.034728,1.030269,1.034728,CONVERGED
neb_2,10,1.561262,2.111153,1.561262,CONVERGED
neb_3,10,1.691053,1.668197,1.691053,CONVERGED
neb_4,10,2.063858,1.543546,2.063858,CONVERGED
neb_5,10,1.414868,1.065830,1.414868,CONVERGED
