path,image_index,reaction_coordinate,rel_energy_eV
1-2,0,0.000000,0.000000
1-2,1,0.234060,-0.209614
1-2,2,0.490505,1.011905
1-2,3,0.743600,2.790171
1-2,4,1.000000,1.774841
1-3,0,0.000000,0.000000
1-3,1,0.254860,1.359443
1-3,2,0.513097,4.003362
1-3,3,0.768950,1.748099
1-3,4,1.000000,0.053236
1-4,0,0.000000,0.000000
1-4,1,0.272453,0.289550
1-4,2,0.422074,0.336050
1-4,3,0.702722,-0.146490
1-4,4,1.000000,0.319221
1-5,0,0.000000,0.000000
1-5,1,0.238382,1.099583
1-5,2,0.521436,-0.846928
1-5,3,0.813046,0.713406
1-5,4,1.000000,0.346115
1-6,0,0.000000,0.000000
1-6,1,0.352426,0.625340
1-6,2,0.556539,1.026035
1-6,3,0.760481,0.763071
1-6,4,1.000000,0.820408
1-7,0,0.000000,0.000000
1-7,1,0.367418,0.493253
1-7,2,0.552004,0.582586
1-7,3,0.780776,0.263077
1-7,4,1.000000,0.557936
1-8,0,0.000000,0.000000
1-8,1,0.314514,1.755620
1-8,2,0.509892,1.015669
1-8,3,0.730066,1.247841
1-8,4,1.000000,0.766377
1-5_sep2-1,0,0.000000,0.000000
1-5_sep2-1,1,0.039235,-0.369070
1-5_sep2-1,2,0.122987,-0.664030
1-5_sep2-1,3,0.352575,1.631147
1-5_sep2-1,4,0.514828,4.920277
1-5_sep2-1,5,0.622499,7.546903
1-5_sep2-1,6,0.757946,1.165002
1-5_sep2-1,7,0.924413,-0.034447
1-5_sep2-1,8,0.952234,-0.625185
1-5_sep2-1,9,1.000000,-1.050000
1-5_sep2-2,0,0.000000,0.000000
1-5_sep2-2,1,0.079912,1.700371
1-5_sep2-2,2,0.184247,6.560042
1-5_sep2-2,3,0.380911,800.558146
1-5_sep2-2,4,0.504408,797.903252
1-5_sep2-2,5,0.616568,8.488884
1-5_sep2-2,6,0.720795,3.530520
1-5_sep2-2,7,0.813602,3.738938
1-5_sep2-2,8,0.907008,3.139811
1-5_sep2-2,9,1.000000,2.828265
neb_1,0,0.000000,0.000000
neb_1,1,0.105628,-0.150089
neb_1,2,0.215906,0.033109
neb_1,3,0.327174,0.513523
neb_1,4,0.442308,1.034728
neb_1,5,0.544101,0.890619
neb_1,6,0.651615,0.616307
neb_1,7,0.772824,0.274585
neb_1,8,0.888485,0.082562
neb_1,9,1.000000,0.004460
neb_2,0,0.000000,0.000000
neb_2,1,0.105225,0.047067
neb_2,2,0.218568,0.315751
neb_2,3,0.335331,0.861152
neb_2,4,0.447287,1.453861
neb_2,5,0.554700,1.561262
neb_2,6,0.665318,1.209491
neb_2,7,0.776224,0.430427
neb_2,8,0.889570,-0.319168
neb_2,9,1.000000,-0.549890
neb_3,0,0.000000,0.000000
neb_3,1,0.108130,0.355113
neb_3,2,0.221103,0.716656
neb_3,3,0.342965,0.879428
neb_3,4,0.449845,1.681679
neb_3,5,0.548761,1.691053
neb_3,6,0.657552,0.892874
neb_3,7,0.779290,0.741956
neb_3,8,0.891394,0.351501
neb_3,9,1.000000,0.022856
neb_4,0,0.000000,0.000000
neb_4,1,0.111611,0.174760
neb_4,2,0.223491,0.716465
neb_4,3,0.334584,1.409193
neb_4,4,0.444272,1.899869
neb_4,5,0.550784,2.063858
neb_4,6,0.658084,1.810655
neb_4,7,0.769336,1.177348
neb_4,8,0.883174,0.703311
neb_4,9,1.000000,0.520312
neb_5,0,0.000000,0.000000
neb_5,1,0.099342,0.038717
neb_5,2,0.215528,0.169291
neb_5,3,0.336571,0.352350
neb_5,4,0.454602,0.862117
neb_5,5,0.558809,1.387379
neb_5,6,0.659739,1.414868
neb_5,7,0.769687,0.875429
neb_5,8,0.881970,0.421349
neb_5,9,1.000000,0.349037
