frame,energy_eV_raw
0,-179665.26139882064
1,-179675.48216976307
2,-179670.37454222146
3,-179673.99472424173
4,-179674.04197280674
5,-179675.03500944775
6,-179665.26139882064
7,-179676.0455251053
8,-179675.45671866694
9,-179675.9146197976
10,-179676.1237250849
11,-179676.3917466059
12,-179665.26139882064
13,-179676.83386367428
14,-179676.80961683477
15,-179676.75651984796
16,-179676.69541264372
17,-179676.7724320037
18,-179665.26139882064
19,-179677.00719169242
20,-179676.9610417437
21,-179676.82220424362
22,-179676.74446513763
23,-179676.86506627235
24,-179665.26139882064
25,-179677.05978837822
26,-179677.05381146612
27,-179676.89233572915
28,-179676.80843868307
29,-179676.91504498254
30,-179665.26139882064
31,-179677.10876823153
32,-179676.88612384902
33,-179676.8649613248
34,-179676.84954555685
35,-179676.8171930649
36,-179665.26139882064
37,-179677.09612726985
38,-179676.68437803953
39,-179676.86652555602
40,-179676.72384509572
41,-179676.7671587321
42,-179665.26139882064
43,-179677.08292102
44,-179676.54102012923
45,-179676.8819235819
46,-179676.64157249068
47,-179676.80515392538
48,-179665.26139882064
49,-179677.1210026783
50,-179676.7035970616
51,-179676.9758094785
52,-179676.75735810873
53,-179676.8579548818
54,-179665.26139882064
55,-179677.17625183938
56,-179676.89849627338
57,-179677.04332051583
58,-179676.8716876916
59,-179676.81574623898
60,-179665.26139882064
61,-179677.18713764346
62,-179677.050857129
63,-179677.09090745042
64,-179676.89568439464
65,-179676.5998459111
66,-179665.26139882064
67,-179677.17982088815
68,-179677.14999566515
69,-179677.09302935336
70,-179676.6638434106
71,-179676.33062708785
72,-179665.26139882064
73,-179677.20241744272
74,-179677.16014814225
75,-179677.087485759
76,-179676.2954134238
77,-179676.13274018283
78,-179665.26139882064
79,-179677.2048386655
80,-179677.19299938367
81,-179677.14950524413
82,-179676.44421179837
83,-179675.94350379796
84,-179665.26139882064
85,-179677.20747162352
86,-179677.18645559446
87,-179677.15310101616
88,-179676.15662072616
89,-179675.33632593593
90,-179665.26139882064
91,-179677.20485152994
92,-179677.10986859814
93,-179677.1410582055
