reaction_coord_uniform,model,energy_eV_approx,note
0.00,MACE Foundation,0.000,"digitized from PNG, approx +/-0.05 eV"
0.25,MACE Foundation,0.990,"digitized from PNG, approx +/-0.05 eV"
0.50,MACE Foundation,0.888,"digitized from PNG, approx +/-0.05 eV"
0.75,MACE Foundation,1.042,"digitized from PNG, approx +/-0.05 eV"
1.00,MACE Foundation,0.602,"digitized from PNG, approx +/-0.05 eV"
0.00,MACE Scratch,0.000,"digitized from PNG, approx +/-0.05 eV"
0.25,MACE Scratch,1.063,"digitized from PNG, approx +/-0.05 eV"
0.50,MACE Scratch,1.568,"digitized from PNG, approx +/-0.05 eV"
0.75,MACE Scratch,4.534,"digitized from PNG, approx +/-0.05 eV"
1.00,MACE Scratch,1.860,"digitized from PNG, approx +/-0.05 eV"
0.00,MACE FT - Multi-T,0.000,"digitized from PNG, approx +/-0.05 eV"
0.25,MACE FT - Multi-T,0.553,"digitized from PNG, approx +/-0.05 eV"
0.50,MACE FT - Multi-T,0.783,"digitized from PNG, approx +/-0.05 eV"
0.75,MACE FT - Multi-T,0.734,"digitized from PNG, approx +/-0.05 eV"
1.00,MACE FT - Multi-T,0.470,"digitized from PNG, approx +/-0.05 eV"
0.00,MACE FT - 600K,0.000,"digitized from PNG, approx +/-0.05 eV"
0.25,MACE FT - 600K,0.423,"digitized from PNG, approx +/-0.05 eV"
0.50,MACE FT - 600K,0.516,"digitized from PNG, approx +/-0.05 eV"
0.75,MACE FT - 600K,0.100,"digitized from PNG, approx +/-0.05 eV"
1.00,MACE FT - 600K,-0.127,"digitized from PNG, approx +/-0.05 eV"
0.00,DFT (Ground Truth),-0.004,"digitized from PNG, approx +/-0.05 eV"
0.25,DFT (Ground Truth),0.325,"digitized from PNG, approx +/-0.05 eV"
0.50,DFT (Ground Truth),0.402,"digitized from PNG, approx +/-0.05 eV"
0.75,DFT (Ground Truth),-0.152,"digitized from PNG, approx +/-0.05 eV"
1.00,DFT (Ground Truth),0.316,"digitized from PNG, approx +/-0.05 eV"
