step,image,energy_eV,rel_to_image0_eV
0,0,-179665.26139882064,0.0
0,1,-179675.48216976307,-10.220770942425588
0,2,-179670.37454222146,-5.113143400812987
0,3,-179673.99472424173,-8.733325421082554
0,4,-179674.04197280674,-8.78057398609235
0,5,-179675.03500944775,-9.773610627104063
1,0,-179665.26139882064,0.0
1,1,-179676.0455251053,-10.784126284648664
1,2,-179675.45671866694,-10.195319846301572
1,3,-179675.9146197976,-10.653220976964803
1,4,-179676.1237250849,-10.862326264264993
1,5,-179676.3917466059,-11.130347785248887
2,0,-179665.26139882064,0.0
2,1,-179676.83386367428,-11.572464853641577
2,2,-179676.80961683477,-11.548218014126178
2,3,-179676.75651984796,-11.495121027313871
2,4,-179676.69541264372,-11.434013823076384
2,5,-179676.7724320037,-11.51103318305104
3,0,-179665.26139882064,0.0
3,1,-179677.00719169242,-11.745792871777667
3,2,-179676.9610417437,-11.699642923049396
3,3,-179676.82220424362,-11.560805422981502
3,4,-179676.74446513763,-11.48306631698506
3,5,-179676.86506627235,-11.603667451709043
4,0,-179665.26139882064,0.0
4,1,-179677.05978837822,-11.79838955757441
4,2,-179677.05381146612,-11.792412645474542
4,3,-179676.89233572915,-11.630936908506555
4,4,-179676.80843868307,-11.54703986243112
4,5,-179676.91504498254,-11.653646161896177
5,0,-179665.26139882064,0.0
5,1,-179677.10876823153,-11.847369410883402
5,2,-179676.88612384902,-11.624725028377725
5,3,-179676.8649613248,-11.603562504169531
5,4,-179676.84954555685,-11.58814673620509
5,5,-179676.8171930649,-11.555794244253775
6,0,-179665.26139882064,0.0
6,1,-179677.09612726985,-11.834728449204704
6,2,-179676.68437803953,-11.422979218885303
6,3,-179676.86652555602,-11.605126735375961
6,4,-179676.72384509572,-11.462446275079856
6,5,-179676.7671587321,-11.505759911466157
7,0,-179665.26139882064,0.0
7,1,-179677.08292102,-11.821522199345054
7,2,-179676.54102012923,-11.279621308582136
7,3,-179676.8819235819,-11.620524761267006
7,4,-179676.64157249068,-11.380173670040676
7,5,-179676.80515392538,-11.543755104736192
8,0,-179665.26139882064,0.0
8,1,-179677.1210026783,-11.859603857650654
8,2,-179676.7035970616,-11.442198240954895
8,3,-179676.9758094785,-11.71441065784893
8,4,-179676.75735810873,-11.495959288091399
8,5,-179676.8579548818,-11.596556061151205
9,0,-179665.26139882064,0.0
9,1,-179677.17625183938,-11.914853018737631
9,2,-179676.89849627338,-11.63709745273809
9,3,-179677.04332051583,-11.781921695190249
9,4,-179676.8716876916,-11.610288870957447
9,5,-179676.81574623898,-11.554347418335965
10,0,-179665.26139882064,0.0
10,1,-179677.18713764346,-11.92573882281431
10,2,-179677.050857129,-11.789458308368921
10,3,-179677.09090745042,-11.829508629773045
10,4,-179676.89568439464,-11.634285573993111
10,5,-179676.5998459111,-11.338447090471163
11,0,-179665.26139882064,0.0
11,1,-179677.17982088815,-11.9184220675088
11,2,-179677.14999566515,-11.888596844510175
11,3,-179677.09302935336,-11.8316305327171
11,4,-179676.6638434106,-11.4024445899704
11,5,-179676.33062708785,-11.069228267209837
12,0,-179665.26139882064,0.0
12,1,-179677.20241744272,-11.941018622077536
12,2,-179677.16014814225,-11.898749321611831
12,3,-179677.087485759,-11.826086938352091
12,4,-179676.2954134238,-11.034014603152173
12,5,-179676.13274018283,-10.871341362188105
13,0,-179665.26139882064,0.0
13,1,-179677.2048386655,-11.943439844850218
13,2,-179677.19299938367,-11.931600563024404
13,3,-179677.14950524413,-11.888106423488352
13,4,-179676.44421179837,-11.182812977727735
13,5,-179675.94350379796,-10.68210497731343
14,0,-179665.26139882064,0.0
14,1,-179677.20747162352,-11.946072802878916
14,2,-179677.18645559446,-11.92505677381996
14,3,-179677.15310101616,-11.891702195513062
14,4,-179676.15662072616,-10.895221905520884
