log_file,line,model,surrogate_target,surrogate_mae_eV,surrogate_r2_in_sample,predictions_csv_rows,shap_samples,n_models_in_csv
0929-MultiT/slurm-12324065.out,473,FT - 600K,abs_error,0.055729,0.9576,600,150,4
0929-MultiT/slurm-12324065.out,474,FT - 600K,signed_error,0.061585,0.9711,600,150,4
0929-MultiT/slurm-12324065.out,479,FT - Multi-T,abs_error,0.037806,0.7697,600,150,4
0929-MultiT/slurm-12324065.out,480,FT - Multi-T,signed_error,0.042917,0.9148,600,150,4
0929-MultiT/slurm-12324065.out,485,Foundation,abs_error,0.120849,0.9833,600,150,4
0929-MultiT/slurm-12324065.out,486,Foundation,signed_error,0.120849,0.9833,600,150,4
0929-MultiT/slurm-12324065.out,491,Scratch,abs_error,0.039077,0.9601,600,150,4
0929-MultiT/slurm-12324065.out,492,Scratch,signed_error,0.039077,0.9601,600,150,4
0929-MultiT/slurm.12324152,56,FT - 600K,abs_error,0.055729,0.9576,450,150,3
0929-MultiT/slurm.12324152,57,FT - 600K,signed_error,0.061585,0.9711,450,150,3
0929-MultiT/slurm.12324152,62,FT - Multi-T,abs_error,0.037806,0.7697,450,150,3
0929-MultiT/slurm.12324152,63,FT - Multi-T,signed_error,0.042917,0.9148,450,150,3
0929-MultiT/slurm.12324152,68,Scratch,abs_error,0.039077,0.9601,450,150,3
0929-MultiT/slurm.12324152,69,Scratch,signed_error,0.039077,0.9601,450,150,3
0929-MultiT/slurm.12364320,58,FT - 600K,abs_error,0.000108,1.0,450,30,3
0929-MultiT/slurm.12364320,59,FT - 600K,signed_error,0.000116,1.0,450,30,3
0929-MultiT/slurm.12364320,64,FT - Multi-T,abs_error,6.2e-05,1.0,450,30,3
0929-MultiT/slurm.12364320,65,FT - Multi-T,signed_error,6.7e-05,1.0,450,30,3
0929-MultiT/slurm.12364320,70,Scratch,abs_error,8.8e-05,1.0,450,30,3
0929-MultiT/slurm.12364320,71,Scratch,signed_error,8.8e-05,1.0,450,30,3
0929-MultiT/slurm.12374140,58,FT - 600K,abs_error,0.000108,1.0,450,30,3
0929-MultiT/slurm.12374140,59,FT - 600K,signed_error,0.000116,1.0,450,30,3
0929-MultiT/slurm.12374140,64,FT - Multi-T,abs_error,6.2e-05,1.0,450,30,3
0929-MultiT/slurm.12374140,65,FT - Multi-T,signed_error,6.7e-05,1.0,450,30,3
0929-MultiT/slurm.12374140,70,Scratch,abs_error,8.8e-05,1.0,450,30,3
0929-MultiT/slurm.12374140,71,Scratch,signed_error,8.8e-05,1.0,450,30,3
0929-multiT2/slurm.12405235,58,FT - 600K,abs_error,0.000108,1.0,450,30,3
0929-multiT2/slurm.12405235,59,FT - 600K,signed_error,0.000116,1.0,450,30,3
0929-multiT2/slurm.12405235,64,FT - Multi-T,abs_error,6.2e-05,1.0,450,30,3
0929-multiT2/slurm.12405235,65,FT - Multi-T,signed_error,6.7e-05,1.0,450,30,3
0929-multiT2/slurm.12405235,70,Scratch,abs_error,8.8e-05,1.0,450,30,3
0929-multiT2/slurm.12405235,71,Scratch,signed_error,8.8e-05,1.0,450,30,3
0929-multiT2/slurm.12405607,58,FT - 600K,abs_error,0.000108,1.0,450,30,3
0929-multiT2/slurm.12405607,59,FT - 600K,signed_error,0.000116,1.0,450,30,3
0929-multiT2/slurm.12405607,64,FT - Multi-T,abs_error,6.2e-05,1.0,450,30,3
0929-multiT2/slurm.12405607,65,FT - Multi-T,signed_error,6.7e-05,1.0,450,30,3
0929-multiT2/slurm.12405607,70,Scratch,abs_error,8.8e-05,1.0,450,30,3
0929-multiT2/slurm.12405607,71,Scratch,signed_error,8.8e-05,1.0,450,30,3
