model,rank,published_label,corrected_true_label,mean_abs_shap_eV,feature_index
FT - 600K,1,Cr-Te_n42_l0,Sb-Sb_n23_l1,0.0252059078426317,225
FT - 600K,2,Sb-Te_n11_l3,Sb-Te_n44_l3,0.0242133289262103,323
FT - 600K,3,Cr-Cr_n21_l3,Cr-Cr_n14_l2,0.0225588314810005,23
FT - 600K,4,Cr-Cr_n21_l1,Cr-Cr_n12_l2,0.0191526025099439,21
FT - 600K,5,Sb-Te_n34_l4,Te-Te_n44_l3,0.0187447558815488,379
FT - 600K,6,Cr-Sb_n14_l1,Cr-Sb_n43_l2,0.0170698340394979,96
FT - 600K,7,Sb-Sb_n44_l4,Sb-Te_n34_l3,0.0166638935810045,319
FT - 600K,8,Cr-Te_n13_l3,Cr-Te_n34_l2,0.0163662113852315,173
FT - 600K,9,Sb-Sb_n12_l4,Sb-Sb_n44_l3,0.0160361529337985,249
FT - 600K,10,Cr-Te_n21_l0,Cr-Te_n13_l3,0.0141914110237396,180
FT - 600K,11,Cr-Sb_n14_l2,Cr-Sb_n44_l2,0.0141705477324639,97
FT - 600K,12,Cr-Cr_n21_l4,Cr-Cr_n22_l2,0.0141110083711197,24
FT - 600K,13,Sb-Sb_n44_l0,Sb-Te_n24_l3,0.0136630366661154,315
FT - 600K,14,Sb-Sb_n11_l4,Sb-Sb_n22_l3,0.0135955567155829,244
FT - 600K,15,Sb-Sb_n33_l1,Sb-Te_n44_l1,0.010000591597291,291
FT - 600K,16,Sb-Sb_n11_l1,Sb-Sb_n12_l3,0.009720385211131,241
FT - 600K,17,Cr-Cr_n31_l1,Cr-Cr_n12_l4,0.0096639900340975,41
FT - 600K,18,Cr-Sb_n42_l1,Cr-Te_n11_l1,0.0092141330108175,146
FT - 600K,19,Cr-Sb_n43_l4,Cr-Te_n31_l1,0.0084849819899888,154
FT - 600K,20,Cr-Sb_n43_l0,Cr-Te_n21_l1,0.0076149511110811,150
FT - 600K,21,Sb-Te_n14_l4,Sb-Te_n44_l4,0.0075317957127938,339
FT - 600K,22,Cr-Sb_n14_l0,Cr-Sb_n42_l2,0.0073643100048104,95
FT - 600K,23,Cr-Te_n22_l3,Cr-Te_n33_l3,0.006664553810243,188
FT - 600K,24,Cr-Sb_n24_l1,Cr-Sb_n13_l4,0.0065307873067756,116
FT - 600K,25,Sb-Te_n12_l1,Sb-Te_n13_l4,0.0063840979709703,326
FT - 600K,26,Cr-Sb_n44_l1,Cr-Te_n33_l1,0.0061946873939447,156
FT - 600K,27,Cr-Te_n21_l4,Cr-Te_n23_l3,0.0061054733144347,184
FT - 600K,28,Cr-Sb_n12_l4,Cr-Sb_n24_l2,0.0060163271853006,89
FT - 600K,29,Cr-Te_n21_l2,Cr-Te_n21_l3,0.0059703490599576,182
FT - 600K,30,Cr-Cr_n22_l0,Cr-Cr_n23_l2,0.0058336584419077,25
FT - 600K,31,Cr-Cr_n22_l3,Cr-Cr_n34_l2,0.0053759030886667,28
FT - 600K,32,Sb-Te_n42_l4,Te-Te_n44_l4,0.0051247152822578,389
FT - 600K,33,Cr-Cr_n32_l2,Cr-Cr_n33_l4,0.0049802288340625,47
FT - 600K,34,Sb-Te_n21_l3,Te-Te_n14_l0,0.0048790860276684,343
FT - 600K,35,Cr-Cr_n43_l3,Cr-Sb_n24_l1,0.0046869671375284,73
FT - 600K,36,Cr-Te_n43_l0,Sb-Sb_n11_l2,0.0046624298210066,230
FT - 600K,37,Cr-Cr_n32_l0,Cr-Cr_n23_l4,0.0046432841472845,45
FT - 600K,38,Cr-Sb_n24_l3,Cr-Sb_n21_l4,0.0046283871448719,118
FT - 600K,39,Cr-Cr_n23_l3,Cr-Cr_n14_l3,0.0043859702517706,33
FT - 600K,40,Sb-Te_n33_l1,Te-Te_n12_l3,0.0043750098241549,371
FT - 600K,41,Sb-Te_n21_l0,Te-Te_n11_l0,0.0041254780082157,340
FT - 600K,42,Cr-Sb_n22_l0,Cr-Sb_n24_l3,0.0040553118929071,105
FT - 600K,43,Sb-Sb_n42_l1,Sb-Te_n43_l2,0.0039974279193188,306
FT - 600K,44,Sb-Sb_n43_l3,Sb-Te_n22_l3,0.003893170248398,313
FT - 600K,45,Cr-Cr_n23_l1,Cr-Cr_n12_l3,0.0037915877480424,31
FT - 600K,46,Sb-Te_n33_l0,Te-Te_n11_l3,0.0037757401926893,370
FT - 600K,47,Cr-Cr_n14_l3,Cr-Cr_n34_l1,0.0034391680013823,18
FT - 600K,48,Cr-Te_n21_l1,Cr-Te_n14_l3,0.0033841979491082,181
FT - 600K,49,Sb-Te_n14_l3,Sb-Te_n43_l4,0.0032536393977316,338
FT - 600K,50,Cr-Sb_n44_l0,Cr-Te_n32_l1,0.0032392672958748,155
FT - Multi-T,1,Cr-Cr_n13_l3,Cr-Cr_n14_l1,0.0332946487171292,13
FT - Multi-T,2,Cr-Sb_n13_l3,Cr-Sb_n34_l2,0.0250172566745988,93
FT - Multi-T,3,Cr-Cr_n14_l1,Cr-Cr_n24_l1,0.0124453640951776,16
FT - Multi-T,4,Cr-Cr_n14_l3,Cr-Cr_n34_l1,0.0120123657479126,18
FT - Multi-T,5,Sb-Sb_n31_l3,Sb-Te_n24_l1,0.0070193218301854,283
FT - Multi-T,6,Sb-Sb_n24_l4,Sb-Te_n14_l1,0.0068372603152866,279
FT - Multi-T,7,Cr-Cr_n22_l1,Cr-Cr_n24_l2,0.0055508599494522,26
FT - Multi-T,8,Cr-Cr_n34_l3,Cr-Sb_n31_l0,0.0041426585101052,58
FT - Multi-T,9,Sb-Te_n14_l3,Sb-Te_n43_l4,0.0038642879779039,338
FT - Multi-T,10,Cr-Sb_n42_l0,Cr-Te_n44_l0,0.0035088054417123,145
FT - Multi-T,11,Cr-Sb_n41_l3,Cr-Te_n42_l0,0.003267036086034,143
FT - Multi-T,12,Cr-Cr_n31_l4,Cr-Cr_n22_l4,0.0031884733935522,44
FT - Multi-T,13,Cr-Te_n43_l0,Sb-Sb_n11_l2,0.0030701645864366,230
FT - Multi-T,14,Cr-Sb_n42_l3,Cr-Te_n13_l1,0.0030147474614279,148
FT - Multi-T,15,Cr-Te_n41_l3,Sb-Sb_n14_l1,0.0029689197397654,223
FT - Multi-T,16,Cr-Sb_n44_l0,Cr-Te_n32_l1,0.0029336201362304,155
FT - Multi-T,17,Cr-Te_n23_l1,Cr-Te_n42_l3,0.00285528514279,191
FT - Multi-T,18,Cr-Te_n22_l3,Cr-Te_n33_l3,0.0026058314456888,188
FT - Multi-T,19,Sb-Te_n11_l3,Sb-Te_n44_l3,0.0026056414634125,323
FT - Multi-T,20,Cr-Cr_n32_l2,Cr-Cr_n33_l4,0.002567949426193,47
FT - Multi-T,21,Sb-Te_n13_l4,Sb-Te_n33_l4,0.0024681448355095,334
FT - Multi-T,22,Sb-Te_n13_l1,Sb-Te_n24_l4,0.0024631202762522,331
FT - Multi-T,23,Cr-Cr_n23_l1,Cr-Cr_n12_l3,0.0023654785643793,31
FT - Multi-T,24,Cr-Cr_n34_l1,Cr-Sb_n23_l0,0.0022866165042593,56
FT - Multi-T,25,Cr-Sb_n31_l1,Cr-Sb_n24_l4,0.0021900298716234,121
FT - Multi-T,26,Cr-Te_n22_l1,Cr-Te_n31_l3,0.0021110587900028,186
FT - Multi-T,27,Cr-Sb_n14_l3,Cr-Sb_n11_l3,0.0020863217300453,98
FT - Multi-T,28,Sb-Te_n22_l4,Te-Te_n44_l0,0.0019574293278521,349
FT - Multi-T,29,Sb-Te_n22_l1,Te-Te_n24_l0,0.0018139230779619,346
