model,rank,feature,mean_abs_shap_eV,feature_index
FT - 600K,1,Cr-Sb_n13_l0,0.025976335068324103,52
FT - 600K,2,Te-Te_n44_l2,0.022649717648656392,369
FT - 600K,3,Sb-Te_n23_l1,0.02223559079222212,282
FT - 600K,4,Sb-Te_n12_l0,0.020715405959159307,261
FT - 600K,5,Cr-Cr_n24_l2,0.019635750669636368,26
FT - 600K,6,Te-Te_n12_l0,0.017773354390120948,341
FT - 600K,7,Cr-Cr_n23_l3,0.01746501301147716,35
FT - 600K,8,Sb-Sb_n12_l0,0.016446689718726353,211
FT - 600K,9,Sb-Te_n44_l4,0.01555956771954059,339
FT - 600K,10,Sb-Sb_n33_l4,0.015331031882453139,257
FT - 600K,11,Sb-Sb_n11_l0,0.014354074533979432,210
FT - 600K,12,Cr-Cr_n22_l0,0.01349315501872293,4
FT - 600K,13,Cr-Cr_n11_l3,0.012305389628830246,30
FT - 600K,14,Sb-Te_n21_l0,0.011500617589039759,264
FT - 600K,15,Sb-Sb_n11_l4,0.010857901577175113,250
FT - 600K,16,Te-Te_n11_l0,0.010607900695793069,340
FT - 600K,17,Cr-Te_n31_l2,0.01023837872364227,170
FT - 600K,18,Cr-Te_n24_l2,0.010159196945987714,169
FT - 600K,19,Cr-Cr_n14_l2,0.010141446654008568,23
FT - 600K,20,Sb-Sb_n14_l4,0.010062541734635505,253
FT - 600K,21,Cr-Te_n21_l2,0.00969795427633379,166
FT - 600K,22,Cr-Te_n42_l0,0.009553278756459237,143
FT - 600K,23,Te-Te_n44_l0,0.009362860400789036,349
FT - 600K,24,Sb-Sb_n12_l4,0.009024530519693043,251
FT - 600K,25,Sb-Sb_n14_l0,0.008909747186230804,213
FT - 600K,26,Cr-Cr_n34_l3,0.006918778043271138,38
FT - 600K,27,Cr-Cr_n34_l2,0.006680061486206532,28
FT - 600K,28,Sb-Te_n24_l4,0.006481006346158444,331
FT - 600K,29,Sb-Te_n21_l1,0.0062943076261664675,280
FT - 600K,30,Sb-Te_n43_l4,0.006007445324825852,338
FT - 600K,31,Cr-Te_n41_l0,0.00563903191238489,142
FT - 600K,32,Sb-Te_n32_l0,0.00532872981828243,269
FT - 600K,33,Cr-Sb_n14_l1,0.005306461026763808,69
FT - 600K,34,Cr-Te_n32_l2,0.005062195695671085,171
FT - 600K,35,Cr-Te_n44_l1,0.004843730802585025,161
FT - 600K,36,Te-Te_n22_l4,0.004796451144153235,384
FT - 600K,37,Cr-Te_n24_l1,0.004690960270075836,153
