optimizer_iteration,image_index,energy_eV,relative_energy_eV,true_force_fmax_eV_A,neb_force_fmax_eV_A,neb_residual_eV_A,is_endpoint
0,0,-226.4711062068417,0.0,0.9846900434041538,,,True
0,1,-222.05167775568987,4.419428451151845,17.911889996264183,6.377564145550046,6.377564145548466,False
0,2,-221.46324847319573,5.007857733645977,15.063894618923044,4.894971994942198,4.894971994940357,False
0,3,-226.0874637976523,0.38364240918940595,3.875094989902532,3.7774231592594125,3.777423159258164,False
0,4,-227.3676048869351,-0.8964986800934014,1.5979273153980915,,,True
1,0,-226.4711062068417,0.0,0.9846900434041538,,,True
1,1,-222.65325094752518,3.8178552593165307,15.885727536620434,4.592729281617612,4.592729281616266,False
1,2,-222.0319053003497,4.439200906492005,13.366020582397145,3.728059353638577,3.7280593536382636,False
1,3,-226.3656534192616,0.10545278758010568,3.0966938399295345,2.774759790122282,2.7747597901206573,False
1,4,-227.3676048869351,-0.8964986800934014,1.5979273153980915,,,True
2,0,-226.4711062068417,0.0,0.9846900434041538,,,True
2,1,-223.39212801858284,3.0789781882588727,13.20257086585134,2.4156253940434063,2.4156253940423316,False
2,2,-222.78882970475462,3.682276502087092,11.255889865582802,2.2776704730071944,2.2776704730055615,False
2,3,-226.69637342494153,-0.2252672180998161,2.132081145264303,1.5043521564466378,1.5043521564441147,False
2,4,-227.3676048869351,-0.8964986800934014,1.5979273153980915,,,True
3,0,-226.4711062068417,0.0,0.9846900434041538,,,True
3,1,-223.91168911388223,2.559417092959478,11.392777452413666,0.9353962797163431,0.8670687933498404,False
3,2,-223.3955024491476,3.075603757694097,9.861263682372835,1.2004971863206868,1.2004971863095335,False
3,3,-226.93111690511876,-0.46001069827704555,1.4127345756177776,0.860446561661821,0.8604465616552076,False
3,4,-227.3676048869351,-0.8964986800934014,1.5979273153980915,,,True
4,0,-226.4711062068417,0.0,0.9846900434041538,,,True
4,1,-224.25873104103397,2.2123751658077424,10.309091632003438,0.6905025506750991,0.533498780043566,False
4,2,-223.86946676695274,2.60163943988897,8.856009208684874,0.6677027572003252,0.5001403307352053,False
4,3,-227.10160042488872,-0.630494218047005,0.8958987141340334,0.7086203220288629,0.6995087114415055,False
4,4,-227.3676048869351,-0.8964986800934014,1.5979273153980915,,,True
5,0,-226.4711062068417,0.0,0.9846900434041538,,,True
5,1,-224.485680923945,1.9854252828966992,9.50014907477616,0.9664083990182666,0.9664083990170937,False
5,2,-224.22355913612108,2.2475470707206284,8.11033453279089,0.4132278423092467,0.36124779979312793,False
5,3,-227.23604981688658,-0.7649436100448668,0.9967576917346848,0.6318481235015039,0.5081124936570821,False
5,4,-227.3676048869351,-0.8964986800934014,1.5979273153980915,,,True
6,0,-226.4711062068417,0.0,0.9846900434041538,,,True
6,1,-224.65362317477093,1.8174830320707827,8.872567266266266,1.4955059703335074,1.495505970330947,False
6,2,-224.48061248599765,1.9904937208440572,7.551468292269652,0.6095508169454333,0.6095508169064315,False
6,3,-227.3445785872193,-0.8734723803775921,1.059865741747745,0.6200794201350108,0.6200794201348322,False
