optimizer_iteration,image_index,energy_eV,relative_energy_eV,true_force_fmax_eV_A,neb_force_fmax_eV_A,neb_residual_eV_A,is_endpoint
0,0,-224.81684307529954,0.0,1.1528039592313344,,,True
0,1,-200.0938711659436,24.722971909355948,121.94445657997659,118.76167919512366,118.76167919511008,False
0,2,-224.88303174791625,-0.06618867261670403,1.6020063524345227,1.3359619327128216,1.3359619327027934,False
0,3,-223.87633795552944,0.9405051197701084,1.4888023489627382,1.4137372831626636,1.413737283157478,False
0,4,-225.6303774259561,-0.8135343506565675,1.0726376361810814,,,True
1,0,-224.81684307529954,0.0,1.1528039592313344,,,True
1,1,-215.21436478127998,9.602478294019562,41.519142625432664,40.25489181631278,40.254891816308664,False
1,2,-224.92807278649497,-0.11122971119542058,1.5817958026753345,1.3271993168222527,1.3271993168124112,False
1,3,-223.92307829959583,0.8937647757037155,1.472343064268588,1.401096732847616,1.401096732842437,False
1,4,-225.6303774259561,-0.8135343506565675,1.0726376361810814,,,True
2,0,-224.81684307529954,0.0,1.1528039592313344,,,True
2,1,-220.2379828854659,4.578860189833648,15.48562496710105,14.335176524996468,14.33517652499563,False
2,2,-224.99954383134434,-0.1827007560447953,1.5492608366248846,1.3126844402171125,1.3126844402075664,False
2,3,-223.99712142095746,0.8197216543420893,1.4454642282360382,1.380267630531976,1.380267630526808,False
2,4,-225.6303774259561,-0.8135343506565675,1.0726376361810814,,,True
3,0,-224.81684307529954,0.0,1.1528039592313344,,,True
3,1,-222.24362592477186,2.5732171505276824,6.978342151374426,5.915567778220714,5.915567778220611,False
3,2,-225.11179326584616,-0.294950190546615,1.497570733217809,1.2859873564947173,1.2859873564856186,False
3,3,-224.11321118164642,0.7036318936531245,1.4011377008481403,1.3453879807106708,1.345387980705521,False
3,4,-225.6303774259561,-0.8135343506565675,1.0726376361810814,,,True
4,0,-224.81684307529954,0.0,1.1528039592313344,,,True
4,1,-223.31801856965782,1.4988245056417213,4.1681765871824,3.1556864808878204,3.155686480887705,False
4,2,-225.2740100952014,-0.4571670199018456,1.421765157247114,1.2414383890088805,1.2414383890004181,False
4,3,-224.28053691137012,0.5363061639294244,1.3318335360292497,1.2894830992224706,1.2894830992173474,False
4,4,-225.6303774259561,-0.8135343506565675,1.0726376361810814,,,True
5,0,-224.81684307529954,0.0,1.1528039592313344,,,True
5,1,-224.0176716009001,0.7991714743994578,2.2149362814533435,1.3994135269830867,1.2767768698235031,False
