optimizer_iteration,image_index,energy_eV,relative_energy_eV,true_force_fmax_eV_A,neb_force_fmax_eV_A,neb_residual_eV_A,is_endpoint
0,0,-224.80226104587268,0.0,1.1524520367418671,,,True
0,1,-224.19030551045478,0.6119555354179056,1.2167133798337137,1.1569605363428581,1.1421939037631372,False
0,2,-224.01167357560752,0.7905874702651658,1.2596927470915043,1.2627149719696056,1.2341075932481147,False
0,3,-224.80137896199582,0.0008820838768599515,1.2014504717214596,1.2027951738733749,1.199141282511462,False
0,4,-225.46993034923602,-0.6676693033633398,1.0771270203971015,,,True
1,0,-224.80226104587268,0.0,1.1524520367418671,,,True
1,1,-224.47254686456654,0.3297141813061444,1.0618078187671713,1.05347887804266,1.0377293757772807,False
1,2,-224.28739060850853,0.5148704373641522,1.1527234095372296,1.1555938671437636,1.1283631187457577,False
1,3,-225.04613185183393,-0.24387080596125088,1.1030603139763242,1.1047860863740804,1.100231592659866,False
1,4,-225.46993034923602,-0.6676693033633398,1.0771270203971015,,,True
2,0,-224.80226104587268,0.0,1.1524520367418671,,,True
2,1,-224.93003847812173,-0.12777743224904725,0.8795392448679069,0.8885391808308044,0.8728618454166547,False
2,2,-224.73990899378555,0.062352052087135235,0.9523880967822373,0.9549453926004999,0.9295675631647884,False
2,3,-225.45000155109287,-0.6477405052201846,0.9196113842167033,0.9221736917346317,0.9123167717069217,False
2,4,-225.46993034923602,-0.6676693033633398,1.0771270203971015,,,True
3,0,-224.80226104587268,0.0,1.1524520367418671,,,True
3,1,-225.3370484580578,-0.5347874121851248,0.7211318182282679,0.7210530496577328,0.6785509786871885,False
3,2,-225.14741424769466,-0.3451532018219723,0.7314956963608413,0.7337272616936125,0.7092572701566886,False
3,3,-225.81708272941887,-1.014821683546188,0.7174073783741565,0.7336213703705977,0.7323971333852534,False
3,4,-225.46993034923602,-0.6676693033633398,1.0771270203971015,,,True
4,0,-224.80226104587268,0.0,1.1524520367418671,,,True
4,1,-225.6400485881796,-0.837787542306927,0.591890273022596,0.5990763424580264,0.5254411635313568,False
4,2,-225.45319465623388,-0.6509336103611929,0.5286437942511419,0.5269670564663437,0.5131804826740909,False
4,3,-226.09634348253192,-1.294082436659238,0.525735471436993,0.5443355741122421,0.5416980119997055,False
4,4,-225.46993034923602,-0.6676693033633398,1.0771270203971015,,,True
5,0,-224.80226104587268,0.0,1.1524520367418671,,,True
5,1,-225.86802022595802,-1.0657591800853368,0.6962825373116468,0.6302123628658125,0.54560811830044,False
5,2,-225.68188928268384,-0.8796282368111576,0.42495667715163815,0.3823444356146745,0.3821032650230009,False
5,3,-226.30752176713128,-1.505260721258594,0.5059974448935146,0.3883616796537097,0.3882086623126846,False
5,4,-225.46993034923602,-0.6676693033633398,1.0771270203971015,,,True
6,0,-224.80226104587268,0.0,1.1524520367418671,,,True
6,1,-226.0559297368239,-1.2536686909512298,0.8003831009663434,0.6512393080182689,0.5525988874450329,False
6,2,-225.86451618741913,-1.0622551415464443,0.5074365487923483,0.5049662223731058,0.5044935498940514,False
6,3,-226.47487415070376,-1.672613104831072,0.5230348848142505,0.47847633290447544,0.4784292935030203,False
6,4,-225.46993034923602,-0.6676693033633398,1.0771270203971015,,,True
7,0,-224.80226104587268,0.0,1.1524520367418671,,,True
7,1,-226.23523731435756,-1.4329762684848788,0.8835010957988033,0.6763250038045329,0.5616986592936576,False
7,2,-226.03060386694568,-1.2283428210729994,0.5817562933369237,0.5791082021910055,0.5782852264014451,False
7,3,-226.62236431050007,-1.8201032646273916,0.5292044716771832,0.5283154794134932,0.5283041693348397,False
7,4,-225.46993034923602,-0.6676693033633398,1.0771270203971015,,,True
8,0,-224.80226104587268,0.0,1.1524520367418671,,,True
8,1,-226.42649727082755,-1.6242362249548705,0.935567742821185,0.7037631550525966,0.5872715828366326,False
8,2,-226.2005062631657,-1.3982452172930095,0.5968046200832772,0.5940371047597639,0.5929646641434696,False
8,3,-226.7687129987616,-1.9664519528889173,0.5353592057061316,0.5333763476581387,0.5333756996113591,False
8,4,-225.46993034923602,-0.6676693033633398,1.0771270203971015,,,True
9,0,-224.80226104587268,0.0,1.1524520367418671,,,True
9,1,-226.63149255758876,-1.829231511716074,0.9562099755696223,0.7321885492900568,0.624265133766276,False
9,2,-226.3767645767056,-1.5745035308329136,0.5580302898191355,0.5614372967396751,0.5526747067993848,False
9,3,-226.92014726177163,-2.117886215898949,0.531738672291611,0.4936527596313339,0.49365081898394614,False
9,4,-225.46993034923602,-0.6676693033633398,1.0771270203971015,,,True
10,0,-224.80226104587268,0.0,1.1524520367418671,,,True
10,1,-226.83664166952587,-2.034380623653192,0.9515364154416807,0.7597876047471053,0.6573357110481205,False
10,2,-226.54670742230104,-1.7444463764283569,0.48238217814780804,0.4877061271223091,0.47444880553927127,False
10,3,-227.07058718137307,-2.268326135500388,0.4925607943872407,0.4375801489409516,0.4295578731772691,False
10,4,-225.46993034923602,-0.6676693033633398,1.0771270203971015,,,True
11,0,-224.80226104587268,0.0,1.1524520367418671,,,True
11,1,-227.0225753084937,-2.220314262621031,0.9287810321409183,0.777508627718083,0.6705621189789434,False
11,2,-226.69208160048245,-1.88982055460977,0.40194914008904153,0.3807030510961148,0.3635845504937403,False
11,3,-227.20696694543196,-2.404705899559275,0.4666250336640329,0.38169434707253047,0.37025269260326127,False
11,4,-225.46993034923602,-0.6676693033633398,1.0771270203971015,,,True
12,0,-224.80226104587268,0.0,1.1524520367418671,,,True
12,1,-227.17315272460513,-2.3708916787324483,0.8918967742845304,0.771082646243652,0.652339730200424,False
12,2,-226.7983560784734,-1.9960950326007207,0.40770053846246573,0.25581352813413927,0.2330405470332702,False
12,3,-227.31552797892505,-2.513266933052364,0.4352889631172795,0.36281181393855705,0.29161581607981535,False
12,4,-225.46993034923602,-0.6676693033633398,1.0771270203971015,,,True
13,0,-224.80226104587268,0.0,1.1524520367418671,,,True
13,1,-227.28149068815418,-2.4792296422814957,0.8402739095404247,0.7272835095652037,0.5969304704160793,False
13,2,-226.86065219645997,-2.0583911505872834,0.4216490554785788,0.15427309564265904,0.14910834511730045,False
13,3,-227.3869750086226,-2.5847139627499303,0.3991669157089899,0.34936275328036187,0.22894527782732757,False
13,4,-225.46993034923602,-0.6676693033633398,1.0771270203971015,,,True
14,0,-224.80226104587268,0.0,1.1524520367418671,,,True
14,1,-227.35362076269567,-2.5513597168229865,0.7692563606600923,0.6378809869358916,0.505580719700476,False
14,2,-226.88722419940325,-2.084963153530566,0.43204859636320897,0.23239852281719656,0.23224342735224426,False
14,3,-227.42146858262495,-2.6192075367522705,0.3608311316465617,0.3141805752643127,0.22506504687174653,False
14,4,-225.46993034923602,-0.6676693033633398,1.0771270203971015,,,True
15,0,-224.80226104587268,0.0,1.1524520367418671,,,True
