optimizer_iteration,image_index,energy_eV,relative_energy_eV,true_force_fmax_eV_A,neb_force_fmax_eV_A,neb_residual_eV_A,is_endpoint
0,0,-223.8444651403962,0.0,1.204806306113894,,,True
0,1,-222.58566193357677,1.2588032068194366,1.431358167650809,1.387837322179102,1.3874278213144096,False
0,2,-222.65882627582857,1.1856388645676361,1.4433007880756994,1.4436710401872865,1.3342230702306208,False
0,3,-222.90345688148096,0.9410082589152466,1.8814941005847419,1.772556019134839,1.5344717832008894,False
0,4,-223.85224320526925,-0.007778064873036783,1.282310985367223,,,True
1,0,-223.8444651403962,0.0,1.204806306113894,,,True
1,1,-222.92883627717845,0.915628863217762,1.2713583679865765,1.265139545021162,1.2471701562364643,False
1,2,-222.97432733161313,0.8701378087830847,1.3384486700680505,1.3389040906214953,1.2350298985507049,False
1,3,-223.24304141542584,0.601423724970374,1.7176193042586676,1.5981498621412862,1.3839342616553896,False
1,4,-223.85224320526925,-0.007778064873036783,1.282310985367223,,,True
2,0,-223.8444651403962,0.0,1.204806306113894,,,True
2,1,-223.50476879137656,0.33969634901964696,1.0923578176195008,1.0873177637295786,1.0731911458316388,False
2,2,-223.51407932290223,0.3303858174939762,1.1459010774283322,1.1465450299241133,1.0507746599546708,False
2,3,-223.82974552882732,0.014719611568892788,1.4281988413806195,1.2887032600932458,1.11571039153337,False
2,4,-223.85224320526925,-0.007778064873036783,1.282310985367223,,,True
3,0,-223.8444651403962,0.0,1.204806306113894,,,True
3,1,-223.9938463635977,-0.1493812232014875,0.9209781966248833,0.9343684132538917,0.9067725035817914,False
3,2,-223.9817511352797,-0.13728599488348436,0.9623453439296563,0.9636093214950824,0.8734794882860324,False
3,3,-224.34759107713703,-0.5031259367408154,1.1737355877160793,1.0146283958008948,0.9960791297425985,False
3,4,-223.85224320526925,-0.007778064873036783,1.282310985367223,,,True
4,0,-223.8444651403962,0.0,1.204806306113894,,,True
4,1,-224.4057190670517,-0.5612539266554961,0.7624258996171054,0.7710903460864152,0.7513490471995314,False
4,2,-224.37889361928055,-0.5344284788843368,0.7931618905338192,0.7951866705784534,0.7139362469706906,False
4,3,-224.78774690904058,-0.9432817686443684,0.9710581654935768,0.9109094181630919,0.9021613618036735,False
4,4,-223.85224320526925,-0.007778064873036783,1.282310985367223,,,True
5,0,-223.8444651403962,0.0,1.204806306113894,,,True
5,1,-224.7594118676288,-0.9149467272326035,0.6642934781861451,0.6262482794964628,0.6027059560948512,False
5,2,-224.7189949451382,-0.8745298047419965,0.6501989830656867,0.6449783923553156,0.6146683193171308,False
5,3,-225.16768910087404,-1.3232239604778329,0.8134081910980228,0.8112440897140362,0.8096877865195297,False
5,4,-223.85224320526925,-0.007778064873036783,1.282310985367223,,,True
6,0,-223.8444651403962,0.0,1.204806306113894,,,True
6,1,-225.0741802094732,-1.2297150690770025,0.6561430442513819,0.631838260585543,0.5643297797435087,False
6,2,-225.0181348642499,-1.173669723853692,0.564099194270896,0.5623067790116193,0.5574864732531276,False
6,3,-225.50421645488015,-1.659751314483941,0.7030527640853634,0.7209275472608316,0.7207004919734071,False
6,4,-223.85224320526925,-0.007778064873036783,1.282310985367223,,,True
7,0,-223.8444651403962,0.0,1.204806306113894,,,True
7,1,-225.36639835892746,-1.5219332185312453,0.6598127087232317,0.6513582424644028,0.635462113282153,False
7,2,-225.291326507173,-1.446861366776801,0.6475699159548085,0.6468611330034431,0.6382670957424155,False
7,3,-225.81155978183827,-1.9670946414420598,0.6873563472540934,0.6408332631958306,0.6359355963702861,False
7,4,-223.85224320526925,-0.007778064873036783,1.282310985367223,,,True
8,0,-223.8444651403962,0.0,1.204806306113894,,,True
8,1,-225.64780799740544,-1.803342857009227,0.6702890443460259,0.6750413661946965,0.6673589936431056,False
8,2,-225.5501511567301,-1.7056860163338854,0.6897791373964474,0.6906688753723802,0.6792982849017143,False
8,3,-226.10074685139296,-2.2562817109967455,0.6605495765922714,0.5782879651123459,0.5771536528458995,False
8,4,-223.85224320526925,-0.007778064873036783,1.282310985367223,,,True
9,0,-223.8444651403962,0.0,1.204806306113894,,,True
9,1,-225.92236414846835,-2.077899008072137,0.666127338273125,0.700879154949153,0.6624811909316773,False
9,2,-225.79937180441772,-1.9549066640215074,0.6924634747720785,0.6952576244749236,0.6823399165226286,False
9,3,-226.37703406828163,-2.5325689278854213,0.6522130186412975,0.6055389328014595,0.6049795027950088,False
9,4,-223.85224320526925,-0.007778064873036783,1.282310985367223,,,True
10,0,-223.8444651403962,0.0,1.204806306113894,,,True
