optimizer_iteration,image_index,base_energy_eV,restrained_energy_eV,tether_energy_eV,base_fmax_eV_A,restrained_fmax_eV_A,max_reference_displacement_A
0,0,-223.8444651403962,-223.8444651403962,0.0,1.204806306113894,1.204806306113894,0.0
0,1,-222.58566193357677,-222.58566193357677,0.0,1.431358167650809,1.431358167650809,0.0
0,2,-222.65882627582857,-222.65882627582857,0.0,1.4433007880756994,1.4433007880756994,0.0
0,3,-222.90345688148096,-222.90345688148096,0.0,1.8814941005847419,1.8814941005847419,0.0
0,4,-223.85224320526925,-223.85224320526925,0.0,1.282310985367223,1.282310985367223,0.0
1,0,-223.8444651403962,-223.8444651403962,0.0,1.204806306113894,1.204806306113894,0.0
1,1,-222.92883627717845,-222.92760362417292,0.001232653005516724,1.2713583679865765,1.2645527569747872,0.013878373221791395
1,2,-222.97432733161313,-222.973493085026,0.0008342465871065156,1.3384486700680505,1.3312305103339561,0.014436710401873337
1,3,-223.24304141542584,-223.24161113320986,0.001430282215976818,1.7176193042586676,1.6493789263708467,0.01772556019134832
1,4,-223.85224320526925,-223.85224320526925,0.0,1.282310985367223,1.282310985367223,0.0
2,0,-223.8444651403962,-223.8444651403962,0.0,1.204806306113894,1.204806306113894,0.0
2,1,-223.50301176335722,-223.49282482817208,0.010186935185147246,1.0928225336831723,1.072919181391359,0.039816794637725444
2,2,-223.51283335029615,-223.505726428679,0.007106921617164229,1.1463975795313335,1.1253047340919162,0.04219723934516911
2,3,-223.82750481587945,-223.81550974156175,0.01199507431768405,1.4335922305326176,1.2434900917810656,0.05062385279985374
2,4,-223.85224320526925,-223.85224320526925,0.0,1.282310985367223,1.282310985367223,0.0
3,0,-223.8444651403962,-223.8444651403962,0.0,1.204806306113894,1.204806306113894,0.0
3,1,-223.9927575340506,-223.9652083941286,0.027549139922008886,0.9210941278930471,0.8877152506039976,0.06683190978200088
3,2,-223.9818923408353,-223.9619844879947,0.019907852840591437,0.9624713454911006,0.9271294869431013,0.07076407635994234
3,3,-224.3449867334578,-224.3120476257526,0.032939107705200116,1.1903853319448887,0.9422617610029705,0.08229585198145463
3,4,-223.85224320526925,-223.85224320526925,0.0,1.282310985367223,1.282310985367223,0.0
4,0,-223.8444651403962,-223.8444651403962,0.0,1.204806306113894,1.204806306113894,0.0
4,1,-224.4062166996676,-224.35413177094378,0.05208492872381882,0.762464457835033,0.7155653731320759,0.09412510817672813
4,2,-224.38083270726867,-224.34165656176276,0.03917614550590362,0.7930731830616702,0.7435147174232629,0.09945874942912877
4,3,-224.7853837072653,-224.7231163535276,0.06226735373771228,1.0047945870837691,0.8191174111415025,0.10936883229815894
4,4,-223.85224320526925,-223.85224320526925,0.0,1.282310985367223,1.282310985367223,0.0
5,0,-223.8444651403962,-223.8444651403962,0.0,1.204806306113894,1.204806306113894,0.0
5,1,-224.76299593598966,-224.67989216260747,0.08310377338218725,0.6780014804291568,0.5758065942360817,0.12130471084392219
5,2,-224.7236583103688,-224.6589623877199,0.06469592264890686,0.6502598220815371,0.5968090793599711,0.12796572563770955
5,3,-225.16667856268324,-225.06800867804597,0.09866988463728486,0.8681759771184857,0.7093404360203236,0.1321358481439188
5,4,-223.85224320526925,-223.85224320526925,0.0,1.282310985367223,1.282310985367223,0.0
6,0,-223.8444651403962,-223.8444651403962,0.0,1.204806306113894,1.204806306113894,0.0
6,1,-225.08293072583632,-224.96296776990204,0.11996295593428015,0.6698837539099134,0.5828625090535143,0.1479323740488735
6,2,-225.02707792208247,-224.9310219635982,0.09605595848428478,0.5596455954841276,0.5702788204433521,0.15588017351849182
6,3,-225.5061361722138,-225.365230156871,0.14090601534278896,0.7713958349480372,0.6113936312536917,0.15733887152978587
6,4,-223.85224320526925,-223.85224320526925,0.0,1.282310985367223,1.282310985367223,0.0
7,0,-223.8444651403962,-223.8444651403962,0.0,1.204806306113894,1.204806306113894,0.0
7,1,-225.382388237731,-225.22033011410178,0.16205812362920857,0.6722059635335037,0.627457956093234,0.1735415317536218
7,2,-225.30648486625157,-225.17379737375765,0.1326874924939061,0.6372925082697285,0.6446851825018346,0.18274443606757979
7,3,-225.81801290699937,-225.63029214203678,0.18772076496259393,0.706612321459799,0.5892241178042944,0.1851753649561377
7,4,-223.85224320526925,-223.85224320526925,0.0,1.282310985367223,1.282310985367223,0.0
8,0,-223.8444651403962,-223.8444651403962,0.0,1.204806306113894,1.204806306113894,0.0
8,1,-225.67188921682106,-225.46312250316512,0.20876671365592997,0.6764767788783783,0.6417719080608228,0.19763399738090098
8,2,-225.57309472238563,-225.39922729221695,0.17386743016869366,0.6704194457850955,0.6723144728513135,0.20806473672353598
8,3,-226.1124657767625,-225.87465852580843,0.23780725095407357,0.670126795454667,0.6285369259324771,0.21164792148231237
8,4,-223.85224320526925,-223.85224320526925,0.0,1.282310985367223,1.282310985367223,0.0
9,0,-223.8444651403962,-223.8444651403962,0.0,1.204806306113894,1.204806306113894,0.0
9,1,-225.95278395633096,-225.69307032920338,0.25971362712757456,0.6793139255902867,0.6139396741495885,0.21982478073145992
9,2,-225.8302405836942,-225.61130306577869,0.2189375179155137,0.6606820590981728,0.6549403636255776,0.23148063861225354
9,3,-226.39291912468767,-226.10268297851022,0.29023614617743865,0.6607125030510945,0.6266839678477404,0.23627355745806441
9,4,-223.85224320526925,-223.85224320526925,0.0,1.282310985367223,1.282310985367223,0.0
10,0,-223.8444651403962,-223.8444651403962,0.0,1.204806306113894,1.204806306113894,0.0
10,1,-226.21854398259543,-225.90366220315116,0.31488177944427614,0.6817422538942332,0.5499930863646627,0.23992606427023508
10,2,-226.07386059425764,-225.80637249785747,0.2674880964001614,0.6133250068125262,0.5980299576656802,0.2528630700716089
10,3,-226.6565549168335,-226.3118708214975,0.3446840953359878,0.6779445188860636,0.5875185875695227,0.2587650302704218
10,4,-223.85224320526925,-223.85224320526925,0.0,1.282310985367223,1.282310985367223,0.0
11,0,-223.8444651403962,-223.8444651403962,0.0,1.204806306113894,1.204806306113894,0.0
11,1,-226.45858192538958,-226.08393740424088,0.3746445211486815,0.687985731394215,0.45780487736294,0.2579808281877637
11,2,-226.29555242065018,-225.97606117963352,0.31949124101666254,0.5357518796255724,0.5092514057227352,0.27235124073845557
11,3,-226.8966562113691,-226.4951140173036,0.40154219406550995,0.7188520301518838,0.5167048153251156,0.2821448684849413
11,4,-223.85224320526925,-223.85224320526925,0.0,1.282310985367223,1.282310985367223,0.0
12,0,-223.8444651403962,-223.8444651403962,0.0,1.204806306113894,1.204806306113894,0.0
12,1,-226.66298395920336,-226.2232686399281,0.4397153192752413,0.7021078662362218,0.3463400342448782,0.27425333019210946
12,2,-226.486612447531,-226.11124773593642,0.37536471159459356,0.46546474537384436,0.39734520005342,0.2903439898740332
12,3,-227.1058488771876,-226.64392782056157,0.4619210566260258,0.7749795078551381,0.42077682058250687,0.30459635765880255
12,4,-223.85224320526925,-223.85224320526925,0.0,1.282310985367223,1.282310985367223,0.0
13,0,-223.8444651403962,-223.8444651403962,0.0,1.204806306113894,1.204806306113894,0.0
13,1,-226.82702920706527,-226.3159616526472,0.5110675544180637,0.7222612720458537,0.22613520088053252,0.2892326664121112
13,2,-226.64185623174646,-226.205819275275,0.4360369564714715,0.4845104576706801,0.27495385129198335,0.30751597693433447
13,3,-227.2794306014343,-226.75173236863972,0.5276982327946038,0.8306728115560956,0.3425013493521112,0.3248002444030568
13,4,-223.85224320526925,-223.85224320526925,0.0,1.282310985367223,1.282310985367223,0.0
14,0,-223.8444651403962,-223.8444651403962,0.0,1.204806306113894,1.204806306113894,0.0
14,1,-226.95537950126953,-226.36561980380162,0.5897596974679102,0.736966337127008,0.30027605805368185,0.3037256947064531
14,2,-226.76322842566807,-226.26016590865544,0.5030625170126461,0.5034101383280096,0.28088388928310054,0.3249254903767768
