path_id,image_index_qe,variant,job_id,ionic_step,energy_eV,energy_above_current_final_eV,max_atom_force_eV_A,total_force_eV_A,cumulative_scf_iterations
1-7,2,direct,30851802,0,-133598.64716096615,2.3994116021494847,0.018149320925069545,0.6662243062232782,29
1-7,2,direct,30851802,1,-133598.65622194958,2.390350618719822,0.036234828862457165,0.6536516107253165,38
1-7,2,direct,30851802,2,-133598.66612485333,2.380447714967886,0.005582403565724078,0.645526924064057,49
1-7,2,direct,30851802,3,-133598.68112649058,2.365446077717934,0.008389706499857803,0.6341112250843127,64
1-7,2,direct,30851802,4,-133598.70362826614,2.3429443021595944,0.0065846166876245,0.6238782336565237,80
1-7,2,direct,30851802,5,-133598.73687785902,2.309694709285395,0.010507680435247132,0.6174504752219832,96
1-7,2,direct,30851802,6,-133598.78499724992,2.2615753183781635,0.01204406173712145,0.6255494508495044,114
1-7,2,direct,30851802,7,-133598.8514690882,2.1951034801022615,0.010217766747799012,0.6808538844202929,132
1-7,2,direct,30851802,8,-133598.94138054247,2.105192025832366,0.011782427093883061,0.8336288468924571,151
1-7,2,direct,30851802,9,-133599.0525088506,1.9940637176914606,0.007125414684065242,1.1394873042416434,170
1-7,2,direct,30851802,10,-133599.145419816,1.901152752310736,0.006572767588669682,1.6222376737093909,191
1-7,2,direct,30851802,11,-133599.18267506096,1.86389750734088,0.015888294027531683,1.6301052500332687,208
1-7,2,direct,30851802,12,-133599.25215675068,1.7944158176251221,0.01424154289485964,1.4894658954855176,221
1-7,2,direct,30851802,13,-133599.3723570629,1.6742155053943861,0.006006177750633859,1.116218818708606,240
1-7,2,direct,30851802,14,-133599.46109529823,1.585477270069532,0.010588192317446562,0.9506654724685748,301
1-7,2,direct,30851802,15,-133599.47731777435,1.5692547939543147,0.011468532040744063,0.8534263428708425,320
1-7,2,direct,30851802,16,-133599.49496109295,1.5516114753554575,0.008241977600224753,0.764183344765679,331
1-7,2,direct,30851802,17,-133599.51095404098,1.5356185273267329,0.005098737370848684,0.715435224798122,342
1-7,2,direct,30851802,18,-133599.53227375392,1.5142988143779803,0.012022250204123007,0.6769972293595684,355
1-7,2,direct,30851802,19,-133599.56096571172,1.485606856585946,0.004867919048027107,0.6553742499857734,371
1-7,2,direct,30851802,20,-133599.59938315497,1.4471894133312162,0.0070437787217614775,0.674246148749585,387
1-7,2,direct,30851802,21,-133599.64771506682,1.3988575014809612,0.009475737647649496,0.7679114446577127,406
1-7,2,direct,30851802,22,-133599.6951673706,1.3514051976962946,0.010344863972866056,0.9832670632485654,424
1-7,2,direct,30851802,23,-133599.72623692328,1.3203356450248975,0.012867084481250452,1.1786452086248655,441
1-7,2,direct,30851802,24,-133599.76437095995,1.2822016083518974,0.011458008912647573,1.2593007214614829,458
1-7,2,direct,30851802,25,-133599.82651700414,1.2200555641611572,0.014133901020660575,1.1847644346545485,475
1-7,2,direct,30851802,26,-133599.90773183544,1.1388407328631729,0.012406073580433939,1.011446356225592,493
1-7,2,direct,30851802,27,-133599.95076637066,1.0958061976416502,0.008246851714146746,0.992343058158137,509
1-7,2,direct,30851802,28,-133599.98410875432,1.0624638139852323,0.014597804347515966,1.0059956170731015,525
1-7,2,direct,30851802,29,-133600.02005322682,1.0265193414816167,0.009979809867256894,0.9604356652890768,537
1-7,2,direct,30851802,30,-133600.0648778631,0.9816947052022442,0.010652816936654057,0.8763862959990221,554
1-7,2,direct,30851802,31,-133600.1029679534,0.9436046149057802,0.008659629362929059,0.8324204283067634,573
1-7,2,direct,30851802,32,-133600.1233922757,0.9231802925933152,0.009421024141547368,0.7505822079181907,587
1-7,2,direct,30851802,33,-133600.14301549477,0.9035570735286456,0.011543773236150969,0.6454497909628425,601
1-7,2,direct,30851802,34,-133600.15952096926,0.8870515990420245,0.012883982265914256,0.6058547990060716,618
1-7,2,direct,30851802,35,-133600.17361143325,0.8729611350572668,0.008613176109505762,0.635756731243555,635
1-7,2,direct,30851802,36,-133600.1914972053,0.8550753630115651,0.008744369331867157,0.6956891508872128,652
1-7,2,direct,30851802,37,-133600.21336155417,0.8332110141345765,0.010350279730279336,0.7305018905686855,669
1-7,2,direct,30851802,38,-133600.23846147288,0.808111095422646,0.009509155253669107,0.7853692365659253,686
1-7,2,direct,30851802,39,-133600.2588187191,0.7877538492029998,0.005404190481233979,0.7617407965605535,704
1-7,2,direct,30851802,40,-133600.28408816474,0.7624844035599381,0.008803160809531422,0.7201146329384678,721
1-7,2,direct,30851802,41,-133600.30999843858,0.7365741297253408,0.0032505962223316922,0.689389947621363,740
1-7,2,direct,30851802,42,-133600.321446813,0.725125755299814,0.0025071185617155708,0.5888340946714077,754
1-7,2,direct,30851802,43,-133600.3349477423,0.7116248260135762,0.0021310903886296133,0.4350821129171933,772
1-7,2,direct,30851802,44,-133600.3425725088,0.7040000595152378,0.008336351419999636,0.4166215906931923,786
1-7,2,direct,30851802,45,-133600.34933140894,0.6972411593596917,0.008083394158968374,0.43711328458250814,798
1-7,2,direct,30851802,46,-133600.35603180464,0.690540763665922,0.0054935108269836925,0.43734468388615166,810
1-7,2,direct,30851802,47,-133600.36437767284,0.6821948954602703,0.00868489350525761,0.44901749320327766,824
1-7,2,direct,30851802,48,-133600.37282122995,0.6737513383559417,0.0075102523074731765,0.49018085821807644,841
1-7,2,direct,30851802,49,-133600.38277542716,0.663797141140094,0.00306094120918474,0.5481335282638958,858
1-7,2,direct,30851802,50,-133600.39474204244,0.6518305258650798,0.05070808804763644,0.6118711809008017,882
1-7,2,direct,30851802,51,-133600.40149128257,0.6450812857365236,0.03992335762324417,0.46932920985642634,891
1-7,2,direct,30851802,52,-133600.40762445692,0.6389481113874353,0.006644211291954479,0.3592345633896126,902
1-7,2,direct,30851802,53,-133600.41423723192,0.6323353363841306,0.008833527225535228,0.3029273995030358,916
1-7,2,direct,30851802,54,-133600.4198936628,0.6266789055080153,0.006017411550004173,0.38283729236124625,931
1-7,2,direct,30851802,55,-133600.4234942734,0.6230782949132845,0.0032453390958759537,0.39993512979712453,943
1-7,2,direct,30851802,56,-133600.42809177318,0.6184807951212861,0.0028760100079333385,0.3789806373005218,955
1-7,2,direct,30851802,57,-133600.434735161,0.6118374073121231,0.005047214738208268,0.35998018336801935,967
1-7,2,direct,30851802,58,-133600.4422038702,0.6043686981138308,0.006743347069739257,0.4460093022559126,984
1-7,2,direct,30851802,59,-133600.44853010934,0.5980424589652102,0.006220220745858092,0.5226281827956382,996
1-7,2,direct,30851802,60,-133600.45639365574,0.5901789125637151,0.0061649199876699055,0.5690108876592841,1008
1-7,2,direct,30851802,61,-133600.46829278677,0.578279781533638,0.009399401226137166,0.601509634304322,1021
1-7,2,direct,30851802,62,-133600.4839621914,0.5626103768881876,0.008918239660027895,0.6303831251922791,1038
1-7,2,direct,30851802,63,-133600.50273832004,0.5438342482666485,0.007938918279636319,0.6838877864013961,1056
1-7,2,direct,30851802,64,-133600.51933889833,0.5272336699708831,0.006564182940110337,0.7727965410679636,1075
1-7,2,direct,30851802,65,-133600.53776413613,0.5088084321760107,0.012191557289824151,0.8037526256887116,1092
1-7,2,direct,30851802,66,-133600.56340243213,0.4831701361690648,0.01565367759426671,0.8181250935483448,1109
1-7,2,direct,30851802,67,-133600.5964842668,0.45008830149890855,0.006764696102022435,0.8824026778937523,1127
1-7,2,direct,30851802,68,-133600.61647211845,0.4301004498556722,0.007632857675251968,0.844993123804725,1139
1-7,2,direct,30851802,69,-133600.63334140918,0.4132311591238249,0.006145430577115818,0.7884031385470285,1151
1-7,2,direct,30851802,70,-133600.65893467035,0.3876378979475703,0.0031503191304101037,0.7094188429033919,1169
1-7,2,direct,30851802,71,-133600.68266245493,0.36391011337400414,0.007018824325798555,0.6997000721503663,1187
1-7,2,direct,30851802,72,-133600.7036791691,0.3428933992108796,0.007135225293049725,0.773182206574036,1204
1-7,2,direct,30851802,73,-133600.71535380618,0.3312187621195335,0.004598979579212216,0.6836049650302763,1216
1-7,2,direct,30851802,74,-133600.72898439772,0.31758817058289424,0.004199735520943746,0.5676482028711615,1228
1-7,2,direct,30851802,75,-133600.74323350406,0.30333906423766166,0.0059011330034100615,0.49087505612900695,1240
1-7,2,direct,30851802,76,-133600.7587706614,0.2878019069030415,0.006333185591807049,0.530341492917087,1257
1-7,2,direct,30851802,77,-133600.76867995982,0.2778926084865816,0.006471942711077402,0.592047973888678,1274
1-7,2,direct,30851802,78,-133600.77809632398,0.26847624432411976,0.00600617137248624,0.564742856058749,1291
1-7,2,direct,30851802,79,-133600.78659199085,0.2599805774516426,0.00478602493195785,0.47418859523293916,1309
1-7,2,direct,30851802,80,-133600.7945423416,0.252030226693023,0.007602670247588459,0.3486673285232277,1324
1-7,2,direct,30851802,81,-133600.79850636027,0.24806620803428814,0.005596451778922595,0.30503570426956517,1339
1-7,2,direct,30851802,82,-133600.80164097593,0.2449315923731774,0.004260212721804461,0.2714828052412625,1351
1-7,2,direct,30851802,83,-133600.8048774982,0.24169507011538371,0.005793695155999565,0.23561591317652522,1363
1-7,2,direct,30851802,84,-133600.80698937387,0.23958319443045184,0.004941835000068842,0.22795402512255267,1375
1-7,2,direct,30851802,85,-133600.80871688874,0.23785567955928855,0.0045928230204869865,0.21962365019138783,1389
1-7,2,direct,30851802,86,-133600.81074713028,0.23582543802331202,0.004541565515610359,0.20483980579194416,1405
1-7,2,direct,30851802,87,-133600.81225409685,0.2343184714554809,0.00562737902317384,0.18326824848562545,1420
1-7,2,direct,30851802,88,-133600.81352813393,0.2330444343679119,0.0020127632128277358,0.17087553022383092,1436
1-7,2,direct,30851802,89,-133600.81456447957,0.2320080887293443,0.0040949973039885,0.16851011511991992,1448
1-7,2,direct,30851802,90,-133600.81568409206,0.2308884762460366,0.00456429313446741,0.16827871581627646,1463
1-7,2,direct,30851802,91,-133600.81676261537,0.22980995292891748,0.003869086612734519,0.16164526911183041,1475
1-7,2,direct,30851802,92,-133600.8177907976,0.2287817707110662,0.0034293240803783378,0.16161955807809225,1487
1-7,2,direct,30851802,93,-133600.81878877518,0.22778379311785102,0.0038079993027721956,0.17272672465297864,1499
1-7,2,direct,30851802,94,-133600.82002784565,0.22654472265276127,0.005152695960067486,0.18799907869344742,1515
1-7,2,direct,30851802,95,-133600.82151549213,0.22505707616801374,0.0037336287447289574,0.1941440157568684,1532
1-7,2,direct,30851802,96,-133600.82306694935,0.2235056189529132,0.004863863834548215,0.1951210350389186,1548
1-7,2,direct,30851802,97,-133600.8244718732,0.2221006951003801,0.0009072964070484681,0.1999032873142169,1566
1-7,2,direct,30851802,98,-133600.82608237912,0.22049018918187357,0.0015133539138408798,0.215072797219733,1583
1-7,2,direct,30851802,99,-133600.82793710718,0.21863546111853793,0.003354614787286768,0.23191352431822976,1599
1-7,2,direct,30851802,100,-133600.82986190458,0.21671066372073255,0.003007675254096967,0.2261285417271431,1615
1-7,2,direct,30851802,101,-133600.8317305105,0.21484205781598575,0.002428500478486202,0.21304162555441813,1631
1-7,2,direct,30851802,102,-133600.83331883908,0.21325372922001407,0.003074962630004013,0.21278451521703654,1643
1-7,2,direct,30851802,103,-133600.8351358794,0.2114366888999939,0.004639256044920035,0.22137200048558292,1660
1-7,2,direct,30851802,104,-133600.8370244857,0.20954808261012658,0.004118225997421218,0.2197522053600787,1677
1-7,2,direct,30851802,105,-133600.83889281945,0.20767974885529839,0.004153164218232552,0.20753946433445125,1693
1-7,2,direct,30851802,106,-133600.84067475708,0.20589781121816486,0.002869968467303144,0.21162751869881918,1711
1-7,2,direct,30851802,107,-133600.8425527509,0.20401981740724295,0.0032076106984117625,0.2286996451009594,1729
1-7,2,direct,30851802,108,-133600.84439047187,0.20218209642916918,0.005476930701954341,0.2538964581643591,1746
1-7,2,direct,30851802,109,-133600.84706575933,0.1995068089745473,0.003749306943751814,0.29302865151384305,1764
1-7,2,direct,30851802,110,-133600.85095440247,0.19561816583154723,0.0030983872844346657,0.3229820058188029,1783
1-7,2,direct,30851802,111,-133600.85355186535,0.19302070295088924,0.004727267091351017,0.38620543778094557,1801
1-7,2,direct,30851802,112,-133600.85727696805,0.18929560025571845,0.001989074997869618,0.3763838228929673,1819
1-7,2,direct,30851802,113,-133600.86394253318,0.18263003512402065,0.003433389795349983,0.3837886006095582,1837
1-7,2,direct,30851802,114,-133600.86759443727,0.17897813103627414,0.005704465916756826,0.38918791769457245,1854
1-7,2,direct,30851802,115,-133600.87378529977,0.1727872685296461,0.003301600074200726,0.32930692011839097,1872
1-7,2,direct,30851802,116,-133600.88010813744,0.16646443086210638,0.00964841896902222,0.3292812090846528,1889
1-7,2,direct,30851802,117,-133600.88620076684,0.16037180146668106,0.005456223740223242,0.42351214773502,1908
1-7,2,direct,30851802,118,-133600.89171392974,0.15485863856156357,0.010236453882459825,0.5508331868064028,1926
1-7,2,direct,30851802,119,-133600.89780519856,0.14876736974110827,0.004497441576375168,0.48807255345154715,1942
1-7,2,direct,30851802,120,-133600.91025195876,0.13632060954114422,0.004744241357060368,0.28423547797539134,1959
1-7,2,direct,30851802,121,-133600.9157296108,0.13084295750013553,0.005107541440117583,0.3237276257972096,1977
1-7,2,direct,30851802,122,-133600.9197887333,0.1267838350031525,0.004349927654218077,0.3790320593679981,1995
1-7,2,direct,30851802,123,-133600.92501263917,0.12155992913176306,0.0060315604356582534,0.39260748518174815,2012
1-7,2,direct,30851802,124,-133600.93162704687,0.11494552143267356,0.006513193889167889,0.3696475320535686,2030
1-7,2,direct,30851802,125,-133600.93716157074,0.10941099756746553,0.004024679267528058,0.3938930368686563,2049
1-7,2,direct,30851802,126,-133600.94221350065,0.10435906765633263,0.005883765676787805,0.35422091181067084,2066
1-7,2,direct,30851802,127,-133600.94643153762,0.1001410306780599,0.006800339640298572,0.3257330864287863,2080
1-7,2,direct,30851802,128,-133600.9490438307,0.09752873759134673,0.0026341122961480302,0.3028502664018213,2094
1-7,2,direct,30851802,129,-133600.951745105,0.09482746329740621,0.004781411685612003,0.2765735899214187,2110
1-7,2,direct,30851802,130,-133600.95596042086,0.0906121474399697,0.004837502519519106,0.23399611805102094,2123
1-7,2,direct,30851802,131,-133600.95930619683,0.08726637146901339,0.006218645293242722,0.2381870165503415,2140
1-7,2,direct,30851802,132,-133600.96153521756,0.08503735074191354,0.004698797923542504,0.25479634434519477,2158
1-7,2,direct,30851802,133,-133600.9633781087,0.08319445961387828,0.004915997018247223,0.2347160269956895,2174
1-7,2,direct,30851802,134,-133600.96613326157,0.08043930673738942,0.005039662202907035,0.19432399299303552,2191
1-7,2,direct,30851802,135,-133600.9677931561,0.07877941220067441,0.004555515733806932,0.19221568822650617,2203
1-7,2,direct,30851802,136,-133600.96905726107,0.07751530723180622,0.003944690899116412,0.1980778039188073,2219
1-7,2,direct,30851802,137,-133600.9704224563,0.07615011199959554,0.0012783053838506433,0.19946619974066812,2236
1-7,2,direct,30851802,138,-133600.97237283242,0.074199735885486,0.0023154965149231074,0.20496836096063498,2253
1-7,2,direct,30851802,139,-133600.97461994868,0.07195261961896904,0.003220337808270021,0.23828986068529415,2270
1-7,2,direct,30851802,140,-133600.97662080193,0.06995176637428813,0.0039638506926137,0.26353809581617016,2286
1-7,2,direct,30851802,141,-133600.9788628841,0.06770968419732526,0.004104820196557318,0.27456812928984203,2303
1-7,2,direct,30851802,142,-133600.98240961618,0.06416295212693512,0.0047154656777746735,0.2880407109686394,2321
1-7,2,direct,30851802,143,-133600.9852457229,0.06132684540352784,0.0021683580593580285,0.2771906547311347,2339
1-7,2,direct,30851802,144,-133600.98807244172,0.058500126586295664,0.003376459850400139,0.24651739148150628,2351
1-7,2,direct,30851802,145,-133600.99055724943,0.056015318870777264,0.004057741288474208,0.23155356984589548,2367
1-7,2,direct,30851802,146,-133600.9924695296,0.05410303871030919,0.003171363921617589,0.22494583417518757,2379
1-7,2,direct,30851802,147,-133600.99459922875,0.05197333954856731,0.00403198536606085,0.21430146620758814,2395
1-7,2,direct,30851802,148,-133600.99647368508,0.05009888322092593,0.0017370375344917665,0.20486551682568233,2413
1-7,2,direct,30851802,149,-133600.99832596414,0.04824660415761173,0.004896342901179128,0.20663957815361558,2430
1-7,2,direct,30851802,150,-133600.9999900765,0.046582491806475446,0.0018873251872296504,0.22183479909286988,2448
1-7,2,direct,30851802,151,-133601.00214453798,0.04442803031997755,0.0011575358100195396,0.24338064536545043,2466
1-7,2,direct,30851802,152,-133601.00510568105,0.04146688725450076,0.0024880783222392447,0.264926491638031,2484
1-7,2,direct,30851802,153,-133601.0080507694,0.0385217989096418,0.0037556940244040616,0.2788361608903771,2502
1-7,2,direct,30851802,154,-133601.01055693804,0.0360156302631367,0.0032063235302614585,0.2754423044369396,2520
1-7,2,direct,30851802,155,-133601.01390271404,0.03266985426307656,0.0024149306437314024,0.28757791236135255,2538
1-7,2,direct,30851802,156,-133601.0180898661,0.028482702211476862,0.0054158102357628555,0.34293376799961733,2557
1-7,2,direct,30851802,157,-133601.02140870283,0.025163865473587066,0.0018262370800898769,0.4423069133976171,2577
1-7,2,direct,30851802,158,-133601.02614865417,0.020423914131242782,0.005856962972011191,0.3666907631736799,2594
1-7,2,direct,30851802,159,-133601.0322943458,0.014278222515713423,0.006763121183182925,0.31768553286874135,2610
1-7,2,direct,30851802,160,-133601.0368601443,0.009712424012832344,0.005326243766427052,0.3387942915677731,2628
1-7,2,direct,30851802,161,-133601.04129328724,0.0052792810602113605,0.009483981735906909,0.3528839380562864,2644
1-7,2,direct,30851802,162,-133601.0465725683,0.0,0.006917570331520612,0.37399269675531815,2662
1-7,2,transformed,30851801,0,-133598.46852978028,2.4049665345519315,0.03734441906593808,1.7260588279440927,32
1-7,2,transformed,30851801,1,-133598.5253615768,2.348134738043882,0.015674333208197323,1.4750162945246699,47
1-7,2,transformed,30851801,2,-133598.5768331384,2.296663176442962,0.01402994241532988,1.207441566411608,64
1-7,2,transformed,30851801,3,-133598.63377160355,2.2397247112821788,0.013858373483188614,0.8502381746873103,81
1-7,2,transformed,30851801,4,-133598.6749103215,2.198585993319284,0.014877891920385288,0.8981121195077697,100
1-7,2,transformed,30851801,5,-133598.69154695488,2.181949359946884,0.01718526668672473,0.9499455635239062,113
1-7,2,transformed,30851801,6,-133598.7165275517,2.1569687631272245,0.008984707455695807,0.9554220137101349,129
1-7,2,transformed,30851801,7,-133598.75915391612,2.1143423987086862,0.010558261462006821,0.9182181478910132,145
