path_id,branch_id,source_type,status,Em_eV,reverse_Em_eV,max_image_error_eV_A,max_image_error_all_eV_A,barrier_drift_last_three_eV,last_complete_iteration,n_images,job_done,has_overflow,max_abs_internal_relax_delta_eV,source_file
1-2,mb_mlff_cpu_1_2_s42_30791344,MACE/MLFF,mlff_proxy_basin_collapse_or_large_relax,9.827962143172044,,29.609216092640242,,,,5,True,False,36.7543224269466,/Users/alina/Project/26MIgrationBench/cluster/mb_mlff_cpu_1_2_s42_30791344/files/mlff_neb_manifest.json
1-2,pipeline_config_current_reference,historical_reference_or_config,unconverged,2.790171,,,,,,,,False,,/Users/alina/Project/26MIgrationBench/configs/migrationbench_pipeline.yaml
1-3,mb_mlff_cpu_1_3_s42_30791345,MACE/MLFF,mlff_proxy_basin_collapse_or_large_relax,0.8828179343254305,,2.1151369880125186,,,,5,True,False,30.10556093553896,/Users/alina/Project/26MIgrationBench/cluster/mb_mlff_cpu_1_3_s42_30791345/files/mlff_neb_manifest.json
1-3,pipeline_config_current_reference,historical_reference_or_config,unconverged,4.003362,,,,,,,,False,,/Users/alina/Project/26MIgrationBench/configs/migrationbench_pipeline.yaml
1-4,pipeline_config_current_reference,historical_reference_or_config,numerically_stationary_unconverged,0.33605,,,,,,,,False,,/Users/alina/Project/26MIgrationBench/configs/migrationbench_pipeline.yaml
1-5,mb_mlff_cpu_1_5_s42_30791346,MACE/MLFF,mlff_proxy_basin_collapse_or_large_relax,0.4990368973230943,,19.35783021662348,,,,5,True,False,124.26855505048297,/Users/alina/Project/26MIgrationBench/cluster/mb_mlff_cpu_1_5_s42_30791346/files/mlff_neb_manifest.json
1-6,mb_mlff_cpu_1_6_s42_30791347,MACE/MLFF,mlff_proxy_basin_collapse_or_large_relax,0.45275482555734925,,2.2517237682007503,,,,5,True,False,20.377220606809715,/Users/alina/Project/26MIgrationBench/cluster/mb_mlff_cpu_1_6_s42_30791347/files/mlff_neb_manifest.json
1-6,mlff_1-6_repair_idpp_s42,MACE/MLFF,mlff_proxy_basin_collapse_or_large_relax,0.45275483117438853,,2.2517237837573436,,,,5,True,False,18.940209192456678,/Users/alina/Project/26MIgrationBench/cluster/mb_mlff_cpu_1_6_repair_idpp_s42_30791499/mlff_1-6_repair_idpp_s42/mlff_neb_manifest.json
1-6,mb_qe16_direct_pf_s42_30791500,QE,stopped_unconverged,0.8204,-0.0,1.576222,1.576222,0.0,12,5,True,False,,/Users/alina/Project/26MIgrationBench/cluster/mb_qe16_direct_pf_s42_30791500/neb.out
1-6,mb_qe16_direct_r2_s42_30791828,QE,stopped_unconverged,0.8204,-0.0,0.408386,1.076934,0.0,65,5,True,False,,/Users/alina/Project/26MIgrationBench/cluster/mb_qe16_direct_r2_s42_30791828/neb.out
1-6,mb_qe16_direct_r3_s42_30812496,QE,running_unconverged,0.8204,-0.0,0.173805,3.060693,0.0,111,5,False,False,,/Users/alina/Project/26MIgrationBench/cluster/mb_qe16_direct_r3_s42_30812496/neb.out
1-6,mb_qe1_6_mace_r1_s42_30791362,QE,quarantine_overflow,,,,,,,0,False,True,,/Users/alina/Project/26MIgrationBench/cluster/mb_qe1_6_mace_r1_s42_30791362/files/neb.out
1-7,mb_qe17_direct_pf_s42_30791508,QE,stopped_unconverged,0.557933,-0.0,0.869559,0.869559,0.005534000000000039,13,5,True,False,,/Users/alina/Project/26MIgrationBench/cluster/mb_qe17_direct_pf_s42_30791508/neb.out
1-7,mb_qe17_direct_r2_s42_30791829,QE,stopped_unconverged,0.557933,0.0,0.436896,0.436896,0.0,71,5,True,False,,/Users/alina/Project/26MIgrationBench/cluster/mb_qe17_direct_r2_s42_30791829/neb.out
1-7,mb_qe17_direct_r3_s42_30812497,QE,running_unconverged,0.557933,0.0,0.669997,1.430131,0.0,115,5,False,False,,/Users/alina/Project/26MIgrationBench/cluster/mb_qe17_direct_r3_s42_30812497/neb.out
1-7,mb_qe17_mace_r1_s42_30791312,QE,quarantined,,,,,,,0,False,False,,/Users/alina/Project/26MIgrationBench/cluster/mb_qe17_mace_r1_s42_30791312/files/neb.out
1-7,pipeline_config_current_reference,historical_reference_or_config,unconverged,0.582586,,,,,,,,False,,/Users/alina/Project/26MIgrationBench/configs/migrationbench_pipeline.yaml
81_neb_1,mb_qe81n1_mace_r1_s42_30791401,QE,quarantined,,,,,,,0,False,False,,/Users/alina/Project/26MIgrationBench/cluster/mb_qe81n1_mace_r1_s42_30791401/files/neb.out
81_neb_1,mb_qe81n1_mace_r1_s42_30791401,QE,quarantined,,,,,,,0,True,False,,/Users/alina/Project/26MIgrationBench/cluster/mb_qe81n1_mace_r1_s42_30791401/neb.out
81_neb_1,historical_2D_421_neb_1,historical_QE_candidate,historical_candidate_quarantine,1.034728,1.030269,0.355916,,0.002593999999999985,54,10,True,False,,/Users/alina/Project/26MIgrationBench/data_raw/historical_neb/layer_81/neb_1/neb.out
81_neb_2,historical_2D_421_neb_2,historical_QE_candidate,historical_candidate_quarantine,1.561262,2.111153,0.63572,,0.023973000000000022,55,10,True,False,,/Users/alina/Project/26MIgrationBench/data_raw/historical_neb/layer_81/neb_2/neb.out
