path_id,n_atoms,n_images,activation_forward_qe_eV,max_image_error_eV_A,job_done,internal_basin_candidate_count,topology_status,endpoint_stability_status,configuration_tortuosity,migrant_tortuosity,minimum_pair_distance_A,geometry_gate_pass,cell_available
1-2_historical,61,5,2.790171,3.212886,False,1,hidden_basin_candidate;endpoint_dominated_segment,unverified_frozen_neb_endpoints,1.0993267752496338,1.0155894889438761,1.4101720229582146,False,True
1-3_historical,61,5,4.003362,5.364093,False,0,single_segment_candidate,unverified_frozen_neb_endpoints,1.1047393979151836,1.0000000000000002,1.376672716400214,False,True
1-4_historical,61,5,0.33605,0.482407,False,1,hidden_basin_candidate;endpoint_dominated_segment,unverified_frozen_neb_endpoints,1.5417385077956938,1.1473481910103687,2.4199889716179244,True,True
1-5_historical,61,5,1.099583,4.673162,False,1,hidden_basin_candidate,unverified_frozen_neb_endpoints,1.104928050360431,1.0000000000000002,1.4084953492002121,False,True
1-6_historical,61,5,1.026035,0.584852,False,1,hidden_basin_candidate;endpoint_dominated_segment,unverified_frozen_neb_endpoints,1.0988872886161019,1.006248633936046,2.5262500651464066,True,True
1-7_historical,61,5,0.582586,0.291742,False,1,hidden_basin_candidate;endpoint_dominated_segment,unverified_frozen_neb_endpoints,1.2167185690242854,1.0131771127939402,2.5352807173102136,True,True
1-8_historical,61,5,1.75562,0.327388,True,1,hidden_basin_candidate,unverified_frozen_neb_endpoints,2.3469023906892574,1.1809797010284682,2.4883036688010867,True,True
81_neb_1,81,10,1.034728,0.355916,True,1,hidden_basin_candidate;endpoint_dominated_segment,unverified_frozen_neb_endpoints,1.220121325849896,1.0623664883801212,2.4541015361649015,True,False
81_neb_2,81,10,1.561262,0.63572,True,0,single_segment_candidate,unverified_frozen_neb_endpoints,1.0677356426509421,1.0118662133503085,2.383028442861424,True,False
81_neb_3,81,10,1.691053,0.231831,True,0,single_segment_candidate,unverified_frozen_neb_endpoints,1.2697590196300839,1.066764347889595,2.3781465623703997,True,False
81_neb_4,81,10,2.063858,0.526984,True,0,single_segment_candidate,unverified_frozen_neb_endpoints,1.0612414550484477,1.0111869020355386,2.3729702559524717,True,False
81_neb_5,81,10,1.414868,0.319104,True,0,single_segment_candidate,unverified_frozen_neb_endpoints,1.232479833558288,1.0345319500251786,2.332867489261741,True,False
1-6_qe_r3,61,5,0.8204,2.571356,False,1,hidden_basin_candidate;endpoint_dominated_segment,unverified_frozen_neb_endpoints,1.0988872886161019,1.006248633936046,2.5262500651464066,True,True
1-7_qe_r3,61,5,0.557933,1.583026,False,1,hidden_basin_candidate;endpoint_dominated_segment,unverified_frozen_neb_endpoints,1.2167185690242854,1.0131771127939402,2.5352807173102136,True,True
