path_id,image_index_qe,variant,job_id,ionic_step,energy_eV,energy_above_current_final_eV,max_atom_force_eV_A,total_force_eV_A
1-3,2,direct,30850842,0,-133595.19839109786,2.900838537636446,0.042259683494176276,49.042022794217885
1-3,2,direct,30850842,1,-133594.55860610024,3.5406235352566,0.05415952123842809,17.06158487830755
1-3,2,direct,30850842,2,-133592.92761384102,5.171615794475656,0.04116953566369888,16.38528184685891
1-3,2,direct,30850842,3,-133595.43865947498,2.660570160514908,0.04183725120986616,22.843764966716748
1-3,2,direct,30850842,4,-133596.13289377617,1.9663358593243174,0.04088465740988563,12.885881599926241
1-3,2,direct,30850842,5,-133596.51661854074,1.5826110947527923,0.03967913306435122,3.0303795694810987
1-3,2,direct,30850842,6,-133596.82789489423,1.2713347412645817,0.04536780777328192,13.092598311181073
1-3,2,direct,30850842,7,-133597.10831435205,0.9909152834443375,0.06140187623002636,9.87388541956793
1-3,2,direct,30850842,8,-133597.27161110542,0.8276185300783254,0.0691443591667157,2.6943877805907857
1-3,2,direct,30850842,9,-133597.41442884164,0.6848007938533556,0.07261950748370513,4.188147418710576
1-3,2,direct,30850842,10,-133597.55102346986,0.5482061656366568,0.07428029463746466,6.596139994491965
1-3,2,direct,30850842,11,-133597.69845857014,0.4007710653531831,0.07542622300365219,7.255962253314441
1-3,2,direct,30850842,12,-133597.79614486167,0.30308477382641286,0.07548180821063005,4.847558300993241
1-3,2,direct,30850842,13,-133597.83014630512,0.26908333037863486,0.07439986393958833,1.7574262891046515
1-3,2,direct,30850842,14,-133597.85428239655,0.24494723894167691,0.07327897205781074,1.7124576910966045
1-3,2,direct,30850842,15,-133597.87194313045,0.2272865050472319,0.07236491587501202,3.1300355362502184
1-3,2,direct,30850842,16,-133597.88697388387,0.21225575162679888,0.07186372609332926,2.531431248758309
1-3,2,direct,30850842,17,-133597.89661637467,0.20261326082982123,0.07197732943813856,0.8309806104174263
1-3,2,direct,30850842,18,-133597.90349473283,0.19573490266338922,0.07244299777843874,0.9228204229301443
1-3,2,direct,30850842,19,-133597.9108092895,0.18842034600675106,0.07301518170682121,1.8885268501355446
1-3,2,direct,30850842,20,-133597.92133819117,0.17789144432754256,0.07375522740338246,2.6467452350739697
1-3,2,direct,30850842,21,-133597.93453095152,0.16469868397689424,0.07429667342912792,2.580359345962033
1-3,2,direct,30850842,22,-133597.95302122453,0.14620841096621007,0.07421583088540017,1.565930509822814
1-3,2,direct,30850842,23,-133597.97208280058,0.1271468349150382,0.07273434821615238,0.770019749424242
1-3,2,direct,30850842,24,-133597.98632183872,0.11290779677801766,0.07131759276589826,1.5020900130509556
1-3,2,direct,30850842,25,-133598.0069012659,0.09232836958835833,0.0695822412257413,2.535673569325106
1-3,2,direct,30850842,26,-133598.03058850553,0.06864112996845506,0.06627069124282964,2.952295160018298
1-3,2,direct,30850842,27,-133598.04133469012,0.057894945377483964,0.06040929109721405,2.995695384968317
1-3,2,direct,30850842,28,-133598.0523033278,0.046926307695684955,0.06221180743075079,1.7195282253745994
1-3,2,direct,30850842,29,-133598.06158431532,0.0376453201752156,0.06358563471078457,0.39129622246110185
1-3,2,direct,30850842,30,-133598.06726836573,0.031961269763996825,0.06354070189561722,1.0556693342552321
1-3,2,direct,30850842,31,-133598.0722717233,0.02695791219593957,0.06312028396602615,1.4161123162305387
1-3,2,direct,30850842,32,-133598.07847632756,0.02075330793741159,0.06234233794768797,1.642163724856467
1-3,2,direct,30850842,33,-133598.0843160271,0.014913608407368883,0.06118625497902399,2.2953268259407587
1-3,2,direct,30850842,34,-133598.08952020472,0.00970943077118136,0.06068527356379286,2.170936844715526
1-3,2,direct,30850842,35,-133598.0992296355,0.0,0.06134156173319402,1.3131396261091959
1-3,2,transformed,30850844,0,-133593.03286462583,6.818607804598287,0.09384733002699379,17.54297256298717
1-3,2,transformed,30850844,1,-133596.6648826359,3.1865897945244797,0.12502350109654065,3.375524486382198
1-3,2,transformed,30850844,2,-133596.91278856888,2.9386838615464512,0.12605194244606716,2.7507206555111003
1-3,2,transformed,30850844,3,-133597.17138313435,2.680089296074584,0.1264836307025309,2.263805098577771
1-3,2,transformed,30850844,4,-133597.42575081915,2.425721611274639,0.12629825414927878,2.0024781516630825
1-3,2,transformed,30850844,5,-133597.64350612802,2.2079663024051115,0.12497773545648672,2.1453029440785776
1-3,2,transformed,30850844,6,-133597.7692696721,2.0822027583199088,0.12319287549438346,2.2072151133200744
1-3,2,transformed,30850844,7,-133597.93994179962,1.9115306308085565,0.11975453895257891,1.9477907829020102
1-3,2,transformed,30850844,8,-133598.11965450202,1.73181792840478,0.11253539489957753,1.4882831879335618
1-3,2,transformed,30850844,9,-133598.1801685433,1.6713038871239405,0.10977274432441192,1.2963760321119138
1-3,2,transformed,30850844,10,-133598.23597447056,1.6154979598650243,0.10712450784938114,1.0381601202795432
1-3,2,transformed,30850844,11,-133598.271555535,1.5799168954254128,0.1044996684150521,0.8936898217048057
1-3,2,transformed,30850844,12,-133598.30848288277,1.542989547655452,0.09992259018898432,0.9079337343957479
1-3,2,transformed,30850844,13,-133598.34256868152,1.5089037489087787,0.09335059285517248,1.0261787785575593
1-3,2,transformed,30850844,14,-133598.3756794963,1.475792934128549,0.08599929408875694,1.130874107939359
1-3,2,transformed,30850844,15,-133598.41900437704,1.4324680533900391,0.07740049596536572,1.1807278023576568
1-3,2,transformed,30850844,16,-133598.47689007054,1.3745823598874267,0.07012950617080675,1.2388861606733814
1-3,2,transformed,30850844,17,-133598.54746307287,1.3040093575546052,0.06984176102576707,1.4341100398472526
1-3,2,transformed,30850844,18,-133598.64675878186,1.2047136485634837,0.06437628114368557,1.8559766814230303
1-3,2,transformed,30850844,19,-133598.75060913266,1.1008632977609523,0.05428421975510261,2.4796492268096486
1-3,2,transformed,30850844,20,-133598.87017678015,0.9812956502719317,0.054646488220453135,2.1127270643323253
1-3,2,transformed,30850844,21,-133598.97909035365,0.872382076777285,0.056760449414292265,1.6900119586431883
1-3,2,transformed,30850844,22,-133599.0923014213,0.7591710091219284,0.06041340067638415,1.2553155112320675
1-3,2,transformed,30850844,23,-133599.15455876006,0.6969136703701224,0.06482927477713334,1.2211198363603109
