path_id,start_site_id,end_site_id,start_geometry,end_geometry,delta_z_A,abs_delta_z_A,screening_energy_delta_eV,geometry_complexity_delta,transition_class,penetration_index,gap_index,priority_score,representative_rank_within_class,selection_reason
unique_064__to__unique_171,unique_064,unique_171,cn8_te4,cn8_te4,7.8659,7.8659,0.004547,0.0,in_gap_or_open_channel_candidate,0.135764,0.862948,0.773773,1,farthest_point_sampling_in_descriptor_space
unique_070__to__unique_073,unique_070,unique_073,cn6_te3,cn7_te4,0.402,0.402,-0.524017,0.15,in_gap_or_open_channel_candidate,0.098227,0.650128,0.52912,2,farthest_point_sampling_in_descriptor_space
unique_034__to__unique_100,unique_034,unique_100,cn8_te4,cn6_te3,4.136,4.136,-0.835236,-0.27,in_gap_or_open_channel_candidate,0.232286,0.62094,0.568269,3,farthest_point_sampling_in_descriptor_space
unique_098__to__unique_133,unique_098,unique_133,cn6_te3,cn7_te4,2.296,2.296,0.702392,0.15,in_gap_or_open_channel_candidate,0.13643,0.674568,0.56584,4,farthest_point_sampling_in_descriptor_space
unique_100__to__unique_139,unique_100,unique_139,cn6_te3,cn7_te4,5.9967,5.9967,-1.988129,0.15,in_gap_or_open_channel_candidate,0.240219,0.70775,0.594601,5,farthest_point_sampling_in_descriptor_space
unique_069__to__unique_183,unique_069,unique_183,cn10_te4,cn7_te3,6.9334,6.9334,1.188965,-0.3,in_gap_or_open_channel_candidate,0.306518,0.636134,0.609589,6,farthest_point_sampling_in_descriptor_space
unique_009__to__unique_067,unique_009,unique_067,cn7_te4,cn10_te4,4.9671,4.9671,0.076813,0.3,in_gap_or_open_channel_candidate,0.238031,0.625174,0.613985,7,farthest_point_sampling_in_descriptor_space
unique_063__to__unique_041,unique_063,unique_041,cn8_te4,cn7_te3,1.3493,1.3493,-3.151184,-0.12,in_gap_or_open_channel_candidate,0.181257,0.642391,0.43985,8,farthest_point_sampling_in_descriptor_space
unique_028__to__unique_066,unique_028,unique_066,cn8_te4,cn10_te4,3.2796,3.2796,-2.286438,0.18,in_gap_or_open_channel_candidate,0.217648,0.644571,0.507727,9,farthest_point_sampling_in_descriptor_space
unique_101__to__unique_015,unique_101,unique_015,octahedral,cn7_te4,-7.2551,7.2551,0.244477,0.35,in_gap_or_open_channel_candidate,0.307694,0.622942,0.645912,10,farthest_point_sampling_in_descriptor_space
unique_020__to__unique_096,unique_020,unique_096,cn8_te4,cn6_te3,5.4054,5.4054,0.356598,-0.27,in_gap_or_open_channel_candidate,0.239288,0.646621,0.620317,11,farthest_point_sampling_in_descriptor_space
unique_110__to__unique_193,unique_110,unique_193,octahedral,cn9_te4,6.6095,6.6095,-0.28833,0.25,in_gap_or_open_channel_candidate,0.247926,0.677984,0.657845,12,farthest_point_sampling_in_descriptor_space
unique_068__to__unique_173,unique_068,unique_173,cn10_te4,cn9_te4,7.7806,7.7806,-0.002503,-0.4,mixed_transition_candidate,0.33423,0.601755,0.654844,1,farthest_point_sampling_in_descriptor_space
unique_031__to__unique_062,unique_031,unique_062,octahedral,cn8_te4,0.4155,0.4155,3.869935,0.47,mixed_transition_candidate,0.362507,0.390298,0.282369,2,farthest_point_sampling_in_descriptor_space
unique_069__to__unique_099,unique_069,unique_099,cn10_te4,cn6_te3,4.0429,4.0429,1.542694,-0.45,mixed_transition_candidate,0.34268,0.491603,0.480962,3,farthest_point_sampling_in_descriptor_space
unique_079__to__unique_211,unique_079,unique_211,octahedral,cn8_te4,5.904,5.904,3.487366,0.47,mixed_transition_candidate,0.445243,0.475107,0.430036,4,farthest_point_sampling_in_descriptor_space
unique_101__to__unique_067,unique_101,unique_067,octahedral,cn10_te4,-2.4468,2.4468,-1.398559,0.65,mixed_transition_candidate,0.410678,0.340911,0.422629,5,farthest_point_sampling_in_descriptor_space
unique_067__to__unique_098,unique_067,unique_098,cn10_te4,cn6_te3,1.5416,1.5416,-1.749237,-0.45,mixed_transition_candidate,0.305976,0.452452,0.412188,6,farthest_point_sampling_in_descriptor_space
unique_111__to__unique_068,unique_111,unique_068,octahedral,cn10_te4,-4.6145,4.6145,-4.167694,0.65,mixed_transition_candidate,0.534165,0.329001,0.407934,7,farthest_point_sampling_in_descriptor_space
unique_056__to__unique_114,unique_056,unique_114,cn8_te4,octahedral,2.8444,2.8444,-0.094361,-0.47,mixed_transition_candidate,0.286977,0.483902,0.513131,8,farthest_point_sampling_in_descriptor_space
unique_025__to__unique_106,unique_025,unique_106,cn8_te4,octahedral,6.6016,6.6016,0.90097,-0.47,mixed_transition_candidate,0.376841,0.525345,0.565207,9,farthest_point_sampling_in_descriptor_space
unique_024__to__unique_108,unique_024,unique_108,cn8_te4,octahedral,5.2084,5.2084,3.145599,-0.47,mixed_transition_candidate,0.422621,0.470426,0.429221,10,farthest_point_sampling_in_descriptor_space
unique_110__to__unique_202,unique_110,unique_202,octahedral,cn8_te4,7.1679,7.1679,4.793121,0.47,mixed_transition_candidate,0.50764,0.472964,0.415711,11,farthest_point_sampling_in_descriptor_space
unique_121__to__unique_161,unique_121,unique_161,octahedral,cn8_te4,3.4923,3.4923,1.426972,0.47,mixed_transition_candidate,0.339588,0.472491,0.467367,12,farthest_point_sampling_in_descriptor_space
