path_id,system_id,start_site_id,end_site_id,start_geometry,end_geometry,delta_z_A,abs_delta_z_A,screening_energy_delta_eV,geometry_complexity_delta,transition_class,penetration_index,gap_index,priority_score
joshitha_sites::joshitha_sites::unique_001__to__joshitha_sites::joshitha_sites::unique_040,joshitha_sites,joshitha_sites::joshitha_sites::unique_001,joshitha_sites::joshitha_sites::unique_040,cn7_te4,cn7_te3,3.7056,3.7056,4.236267,0.0,in_gap_or_open_channel_candidate,0.202802,0.733788,0.470458
joshitha_sites::joshitha_sites::unique_001__to__joshitha_sites::joshitha_sites::unique_041,joshitha_sites,joshitha_sites::joshitha_sites::unique_001,joshitha_sites::joshitha_sites::unique_041,cn7_te4,cn7_te3,3.5457,3.5457,2.382996,0.0,in_gap_or_open_channel_candidate,0.139275,0.761875,0.556303
joshitha_sites::joshitha_sites::unique_001__to__joshitha_sites::joshitha_sites::unique_042,joshitha_sites,joshitha_sites::joshitha_sites::unique_001,joshitha_sites::joshitha_sites::unique_042,cn7_te4,cn7_te3,3.9453,3.9453,-0.164917,0.0,in_gap_or_open_channel_candidate,0.073432,0.803983,0.673057
joshitha_sites::joshitha_sites::unique_001__to__joshitha_sites::joshitha_sites::unique_043,joshitha_sites,joshitha_sites::joshitha_sites::unique_001,joshitha_sites::joshitha_sites::unique_043,cn7_te4,cn7_te3,3.2715,3.2715,0.584687,0.0,in_gap_or_open_channel_candidate,0.075579,0.787419,0.63678
joshitha_sites::joshitha_sites::unique_001__to__joshitha_sites::joshitha_sites::unique_044,joshitha_sites,joshitha_sites::joshitha_sites::unique_001,joshitha_sites::joshitha_sites::unique_044,cn7_te4,cn7_te3,2.211,2.211,1.70279,0.0,in_gap_or_open_channel_candidate,0.093958,0.75385,0.55756
joshitha_sites::joshitha_sites::unique_001__to__joshitha_sites::joshitha_sites::unique_046,joshitha_sites,joshitha_sites::joshitha_sites::unique_001,joshitha_sites::joshitha_sites::unique_046,cn7_te4,cn7_te3,4.2153,4.2153,2.812653,0.0,in_gap_or_open_channel_candidate,0.164909,0.764452,0.551397
joshitha_sites::joshitha_sites::unique_001__to__joshitha_sites::joshitha_sites::unique_047,joshitha_sites,joshitha_sites::joshitha_sites::unique_001,joshitha_sites::joshitha_sites::unique_047,cn7_te4,cn7_te3,3.3907,3.3907,4.708374,0.0,in_gap_or_open_channel_candidate,0.212853,0.721523,0.440158
joshitha_sites::joshitha_sites::unique_001__to__joshitha_sites::joshitha_sites::unique_048,joshitha_sites,joshitha_sites::joshitha_sites::unique_001,joshitha_sites::joshitha_sites::unique_048,cn7_te4,cn7_te3,4.4895,4.4895,4.096955,0.0,in_gap_or_open_channel_candidate,0.21175,0.747335,0.49578
joshitha_sites::joshitha_sites::unique_001__to__joshitha_sites::joshitha_sites::unique_066,joshitha_sites,joshitha_sites::joshitha_sites::unique_001,joshitha_sites::joshitha_sites::unique_066,cn7_te4,cn10_te4,4.1675,4.1675,0.557526,0.3,mixed_transition_candidate,0.240137,0.605739,0.571586
joshitha_sites::joshitha_sites::unique_001__to__joshitha_sites::joshitha_sites::unique_067,joshitha_sites,joshitha_sites::joshitha_sites::unique_001,joshitha_sites::joshitha_sites::unique_067,cn7_te4,cn10_te4,5.1765,5.1765,1.741242,0.3,mixed_transition_candidate,0.296349,0.600829,0.538255
