site_id,raw_site_id,system_id,source_namespace,geometry,migrant_z_A,screening_energy_eV,z_rank_score,geometry_complexity_score,stability_score,qe_input_path,source_csv,source_sha256
victor_sites::victor_sites::unique_004,unique_004,victor_sites,victor_sites,octahedral,15.9341,-300.256226,0.021259,0.25,0.923838,results/interstitial_search/qe_inputs/unique_004/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_005,unique_005,victor_sites,victor_sites,octahedral,16.968,-298.812805,0.08068,0.25,0.699407,results/interstitial_search/qe_inputs/unique_005/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_019,unique_019,victor_sites,victor_sites,cn8_te4,17.261,-300.350922,0.09752,0.72,0.938561,results/interstitial_search/qe_inputs/unique_019/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_020,unique_020,victor_sites,victor_sites,cn8_te4,17.9796,-298.186615,0.13882,0.72,0.602044,results/interstitial_search/qe_inputs/unique_020/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_021,unique_021,victor_sites,victor_sites,cn8_te4,17.8471,-297.254608,0.131205,0.72,0.457131,results/interstitial_search/qe_inputs/unique_021/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_022,unique_022,victor_sites,victor_sites,cn8_te4,17.335,-296.667999,0.101773,0.72,0.365922,results/interstitial_search/qe_inputs/unique_022/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_024,unique_024,victor_sites,victor_sites,cn8_te4,16.821,-298.24295,0.072232,0.72,0.610803,results/interstitial_search/qe_inputs/unique_024/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_025,unique_025,victor_sites,victor_sites,cn8_te4,18.0075,-298.908142,0.140424,0.72,0.714231,results/interstitial_search/qe_inputs/unique_025/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_027,unique_027,victor_sites,victor_sites,cn8_te4,17.2451,-300.352173,0.096606,0.72,0.938756,results/interstitial_search/qe_inputs/unique_027/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
victor_sites::victor_sites::unique_028,unique_028,victor_sites,victor_sites,cn8_te4,16.7519,-297.401306,0.068261,0.72,0.47994,results/interstitial_search/qe_inputs/unique_028/relax.in,/Users/alina/Project/26MIgrationBench/data_processed/site_assignments/victor_sites.csv,81d87d32c1f9abc689e776ae9092e1e5440bf4b8e3089e44a5228b95ed40b6ce
