path_id,system_id,start_site_id,end_site_id,start_geometry,end_geometry,delta_z_A,abs_delta_z_A,screening_energy_delta_eV,geometry_complexity_delta,transition_class,penetration_index,gap_index,priority_score,representative_rank_within_class,selection_reason
sb2te3_4x2x1::victor::unique_064__to__sb2te3_4x2x1::victor::unique_171,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_064,sb2te3_4x2x1::victor::unique_171,cn8_te4,cn8_te4,7.8659,7.8659,0.004547,0.0,in_gap_or_open_channel_candidate,0.135764,0.862948,0.773773,1,farthest_point_sampling_in_descriptor_space
sb2te3_4x2x1::joshitha::unique_070__to__sb2te3_4x2x1::joshitha::unique_073,sb2te3_4x2x1,sb2te3_4x2x1::joshitha::unique_070,sb2te3_4x2x1::joshitha::unique_073,cn6_te3,cn7_te4,0.402,0.402,-0.524017,0.15,in_gap_or_open_channel_candidate,0.098227,0.650128,0.52912,2,farthest_point_sampling_in_descriptor_space
sb2te3_4x2x1::victor::unique_034__to__sb2te3_4x2x1::joshitha::unique_100,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_034,sb2te3_4x2x1::joshitha::unique_100,cn8_te4,cn6_te3,4.136,4.136,-0.835236,-0.27,in_gap_or_open_channel_candidate,0.232286,0.62094,0.568269,3,farthest_point_sampling_in_descriptor_space
sb2te3_4x2x1::joshitha::unique_098__to__sb2te3_4x2x1::joshitha::unique_133,sb2te3_4x2x1,sb2te3_4x2x1::joshitha::unique_098,sb2te3_4x2x1::joshitha::unique_133,cn6_te3,cn7_te4,2.296,2.296,0.702392,0.15,in_gap_or_open_channel_candidate,0.13643,0.674568,0.56584,4,farthest_point_sampling_in_descriptor_space
sb2te3_4x2x1::joshitha::unique_100__to__sb2te3_4x2x1::joshitha::unique_139,sb2te3_4x2x1,sb2te3_4x2x1::joshitha::unique_100,sb2te3_4x2x1::joshitha::unique_139,cn6_te3,cn7_te4,5.9967,5.9967,-1.988129,0.15,in_gap_or_open_channel_candidate,0.240219,0.70775,0.594601,5,farthest_point_sampling_in_descriptor_space
sb2te3_4x2x1::joshitha::unique_069__to__sb2te3_4x2x1::joshitha::unique_183,sb2te3_4x2x1,sb2te3_4x2x1::joshitha::unique_069,sb2te3_4x2x1::joshitha::unique_183,cn10_te4,cn7_te3,6.9334,6.9334,1.188965,-0.3,in_gap_or_open_channel_candidate,0.306518,0.636134,0.609589,6,farthest_point_sampling_in_descriptor_space
sb2te3_4x2x1::joshitha::unique_009__to__sb2te3_4x2x1::joshitha::unique_067,sb2te3_4x2x1,sb2te3_4x2x1::joshitha::unique_009,sb2te3_4x2x1::joshitha::unique_067,cn7_te4,cn10_te4,4.9671,4.9671,0.076813,0.3,in_gap_or_open_channel_candidate,0.238031,0.625174,0.613985,7,farthest_point_sampling_in_descriptor_space
sb2te3_4x2x1::victor::unique_063__to__sb2te3_4x2x1::joshitha::unique_041,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_063,sb2te3_4x2x1::joshitha::unique_041,cn8_te4,cn7_te3,1.3493,1.3493,-3.151184,-0.12,in_gap_or_open_channel_candidate,0.181257,0.642391,0.43985,8,farthest_point_sampling_in_descriptor_space
sb2te3_4x2x1::victor::unique_028__to__sb2te3_4x2x1::joshitha::unique_066,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_028,sb2te3_4x2x1::joshitha::unique_066,cn8_te4,cn10_te4,3.2796,3.2796,-2.286438,0.18,in_gap_or_open_channel_candidate,0.217648,0.644571,0.507727,9,farthest_point_sampling_in_descriptor_space
sb2te3_4x2x1::victor::unique_101__to__sb2te3_4x2x1::joshitha::unique_015,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_101,sb2te3_4x2x1::joshitha::unique_015,octahedral,cn7_te4,-7.2551,7.2551,0.244477,0.35,in_gap_or_open_channel_candidate,0.307694,0.622942,0.645912,10,farthest_point_sampling_in_descriptor_space
sb2te3_4x2x1::victor::unique_020__to__sb2te3_4x2x1::joshitha::unique_096,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_020,sb2te3_4x2x1::joshitha::unique_096,cn8_te4,cn6_te3,5.4054,5.4054,0.356598,-0.27,in_gap_or_open_channel_candidate,0.239288,0.646621,0.620317,11,farthest_point_sampling_in_descriptor_space
sb2te3_4x2x1::victor::unique_110__to__sb2te3_4x2x1::joshitha::unique_193,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_110,sb2te3_4x2x1::joshitha::unique_193,octahedral,cn9_te4,6.6095,6.6095,-0.28833,0.25,in_gap_or_open_channel_candidate,0.247926,0.677984,0.657845,12,farthest_point_sampling_in_descriptor_space
sb2te3_4x2x1::joshitha::unique_068__to__sb2te3_4x2x1::joshitha::unique_173,sb2te3_4x2x1,sb2te3_4x2x1::joshitha::unique_068,sb2te3_4x2x1::joshitha::unique_173,cn10_te4,cn9_te4,7.7806,7.7806,-0.002503,-0.4,mixed_transition_candidate,0.33423,0.601755,0.654844,1,farthest_point_sampling_in_descriptor_space
sb2te3_4x2x1::victor::unique_031__to__sb2te3_4x2x1::victor::unique_062,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_031,sb2te3_4x2x1::victor::unique_062,octahedral,cn8_te4,0.4155,0.4155,3.869935,0.47,mixed_transition_candidate,0.362507,0.390298,0.282369,2,farthest_point_sampling_in_descriptor_space
sb2te3_4x2x1::joshitha::unique_069__to__sb2te3_4x2x1::joshitha::unique_099,sb2te3_4x2x1,sb2te3_4x2x1::joshitha::unique_069,sb2te3_4x2x1::joshitha::unique_099,cn10_te4,cn6_te3,4.0429,4.0429,1.542694,-0.45,mixed_transition_candidate,0.34268,0.491603,0.480962,3,farthest_point_sampling_in_descriptor_space
sb2te3_4x2x1::victor::unique_079__to__sb2te3_4x2x1::victor::unique_211,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_079,sb2te3_4x2x1::victor::unique_211,octahedral,cn8_te4,5.904,5.904,3.487366,0.47,mixed_transition_candidate,0.445243,0.475107,0.430036,4,farthest_point_sampling_in_descriptor_space
sb2te3_4x2x1::victor::unique_101__to__sb2te3_4x2x1::joshitha::unique_067,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_101,sb2te3_4x2x1::joshitha::unique_067,octahedral,cn10_te4,-2.4468,2.4468,-1.398559,0.65,mixed_transition_candidate,0.410678,0.340911,0.422629,5,farthest_point_sampling_in_descriptor_space
sb2te3_4x2x1::joshitha::unique_067__to__sb2te3_4x2x1::joshitha::unique_098,sb2te3_4x2x1,sb2te3_4x2x1::joshitha::unique_067,sb2te3_4x2x1::joshitha::unique_098,cn10_te4,cn6_te3,1.5416,1.5416,-1.749237,-0.45,mixed_transition_candidate,0.305976,0.452452,0.412188,6,farthest_point_sampling_in_descriptor_space
sb2te3_4x2x1::victor::unique_111__to__sb2te3_4x2x1::joshitha::unique_068,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_111,sb2te3_4x2x1::joshitha::unique_068,octahedral,cn10_te4,-4.6145,4.6145,-4.167694,0.65,mixed_transition_candidate,0.534165,0.329001,0.407934,7,farthest_point_sampling_in_descriptor_space
sb2te3_4x2x1::victor::unique_056__to__sb2te3_4x2x1::victor::unique_114,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_056,sb2te3_4x2x1::victor::unique_114,cn8_te4,octahedral,2.8444,2.8444,-0.094361,-0.47,mixed_transition_candidate,0.286977,0.483902,0.513131,8,farthest_point_sampling_in_descriptor_space
sb2te3_4x2x1::victor::unique_025__to__sb2te3_4x2x1::victor::unique_106,sb2te3_4x2x1,sb2te3_4x2x1::victor::unique_025,sb2te3_4x2x1::victor::unique_106,cn8_te4,octahedral,6.6016,6.6016,0.90097,-0.47,mixed_transition_candidate,0.376841,0.525345,0.565207,9,farthest_point_sampling_in_descriptor_space
