unique_id,geometry,cr_z,mace_energy_eV,qe_input_path
unique_001,cn7_te4,15.864,-300.24527,results/interstitial_search/qe_inputs/unique_001/relax.in
unique_002,cn7_te4,15.8909,-298.454895,results/interstitial_search/qe_inputs/unique_002/relax.in
unique_007,cn7_te4,15.6744,-299.302063,results/interstitial_search/qe_inputs/unique_007/relax.in
unique_009,cn7_te4,16.0734,-298.580841,results/interstitial_search/qe_inputs/unique_009/relax.in
unique_010,cn7_te4,15.5642,-298.584686,results/interstitial_search/qe_inputs/unique_010/relax.in
unique_012,cn7_te4,15.8707,-297.982605,results/interstitial_search/qe_inputs/unique_012/relax.in
unique_014,cn7_te4,15.959,-300.251251,results/interstitial_search/qe_inputs/unique_014/relax.in
unique_015,cn7_te4,16.2322,-296.860992,results/interstitial_search/qe_inputs/unique_015/relax.in
unique_016,cn7_te4,15.5979,-296.993378,results/interstitial_search/qe_inputs/unique_016/relax.in
unique_017,cn7_te4,16.1046,-298.248871,results/interstitial_search/qe_inputs/unique_017/relax.in
unique_040,cn7_te3,19.5696,-296.009003,results/interstitial_search/qe_inputs/unique_040/relax.in
unique_041,cn7_te3,19.4097,-297.862274,results/interstitial_search/qe_inputs/unique_041/relax.in
unique_042,cn7_te3,19.8093,-300.410187,results/interstitial_search/qe_inputs/unique_042/relax.in
unique_043,cn7_te3,19.1355,-299.660583,results/interstitial_search/qe_inputs/unique_043/relax.in
unique_044,cn7_te3,18.075,-298.54248,results/interstitial_search/qe_inputs/unique_044/relax.in
unique_046,cn7_te3,20.0793,-297.432617,results/interstitial_search/qe_inputs/unique_046/relax.in
unique_047,cn7_te3,19.2547,-295.536896,results/interstitial_search/qe_inputs/unique_047/relax.in
unique_048,cn7_te3,20.3535,-296.148315,results/interstitial_search/qe_inputs/unique_048/relax.in
unique_066,cn10_te4,20.0315,-299.687744,results/interstitial_search/qe_inputs/unique_066/relax.in
unique_067,cn10_te4,21.0405,-298.504028,results/interstitial_search/qe_inputs/unique_067/relax.in
unique_068,cn10_te4,19.8298,-300.411346,results/interstitial_search/qe_inputs/unique_068/relax.in
unique_069,cn10_te4,19.9887,-298.785614,results/interstitial_search/qe_inputs/unique_069/relax.in
unique_070,cn6_te3,20.0016,-298.8638,results/interstitial_search/qe_inputs/unique_070/relax.in
unique_071,cn7_te4,20.1486,-299.543915,results/interstitial_search/qe_inputs/unique_071/relax.in
unique_072,cn7_te4,21.0379,-300.267242,results/interstitial_search/qe_inputs/unique_072/relax.in
unique_073,cn7_te4,20.4036,-299.387817,results/interstitial_search/qe_inputs/unique_073/relax.in
unique_074,cn7_te4,19.7685,-300.408752,results/interstitial_search/qe_inputs/unique_074/relax.in
unique_077,cn7_te4,21.0609,-300.284821,results/interstitial_search/qe_inputs/unique_077/relax.in
unique_078,cn7_te4,22.6371,-300.241516,results/interstitial_search/qe_inputs/unique_078/relax.in
unique_080,cn7_te4,21.0911,-298.510803,results/interstitial_search/qe_inputs/unique_080/relax.in
