unique_id,geometry,cr_z,mace_energy_eV,qe_input_path
unique_004,octahedral,15.9341,-300.256226,results/interstitial_search/qe_inputs/unique_004/relax.in
unique_005,octahedral,16.968,-298.812805,results/interstitial_search/qe_inputs/unique_005/relax.in
unique_019,cn8_te4,17.261,-300.350922,results/interstitial_search/qe_inputs/unique_019/relax.in
unique_020,cn8_te4,17.9796,-298.186615,results/interstitial_search/qe_inputs/unique_020/relax.in
unique_021,cn8_te4,17.8471,-297.254608,results/interstitial_search/qe_inputs/unique_021/relax.in
unique_022,cn8_te4,17.335,-296.667999,results/interstitial_search/qe_inputs/unique_022/relax.in
unique_024,cn8_te4,16.821,-298.24295,results/interstitial_search/qe_inputs/unique_024/relax.in
unique_025,cn8_te4,18.0075,-298.908142,results/interstitial_search/qe_inputs/unique_025/relax.in
unique_027,cn8_te4,17.2451,-300.352173,results/interstitial_search/qe_inputs/unique_027/relax.in
unique_028,cn8_te4,16.7519,-297.401306,results/interstitial_search/qe_inputs/unique_028/relax.in
unique_031,octahedral,17.2503,-300.352448,results/interstitial_search/qe_inputs/unique_031/relax.in
unique_033,cn8_te4,17.2621,-300.349365,results/interstitial_search/qe_inputs/unique_033/relax.in
unique_034,cn8_te4,16.68,-295.267303,results/interstitial_search/qe_inputs/unique_034/relax.in
unique_036,cn8_te4,18.3602,-296.26532,results/interstitial_search/qe_inputs/unique_036/relax.in
unique_037,cn8_te4,18.2386,-297.814331,results/interstitial_search/qe_inputs/unique_037/relax.in
unique_038,cn8_te4,17.2461,-300.350128,results/interstitial_search/qe_inputs/unique_038/relax.in
unique_039,cn8_te4,18.2294,-297.892609,results/interstitial_search/qe_inputs/unique_039/relax.in
unique_051,cn8_te4,19.8255,-300.4104,results/interstitial_search/qe_inputs/unique_051/relax.in
unique_052,cn8_te4,19.0749,-298.304108,results/interstitial_search/qe_inputs/unique_052/relax.in
unique_053,cn8_te4,18.7575,-296.454437,results/interstitial_search/qe_inputs/unique_053/relax.in
unique_055,cn8_te4,19.9688,-297.12677,results/interstitial_search/qe_inputs/unique_055/relax.in
unique_056,cn8_te4,20.2067,-298.726013,results/interstitial_search/qe_inputs/unique_056/relax.in
unique_057,cn8_te4,19.8308,-300.414124,results/interstitial_search/qe_inputs/unique_057/relax.in
unique_058,cn8_te4,19.3985,-297.629028,results/interstitial_search/qe_inputs/unique_058/relax.in
unique_059,cn8_te4,19.3391,-295.940521,results/interstitial_search/qe_inputs/unique_059/relax.in
unique_060,cn8_te4,19.117,-295.557373,results/interstitial_search/qe_inputs/unique_060/relax.in
unique_062,cn8_te4,17.6658,-296.482513,results/interstitial_search/qe_inputs/unique_062/relax.in
unique_063,cn8_te4,18.0604,-294.71109,results/interstitial_search/qe_inputs/unique_063/relax.in
