calculation,calculator_identity,cell_fingerprint,composition,conv_thr_Ry,degauss_Ry,ecutrho_Ry,ecutwfc_Ry,identity_complete,identity_missing_fields,kpoints,lspinorb,noncolin,nspin,occupations,path,pseudopotentials,root_label,sha256,smearing,soc_enabled,vdw_corr
relax,03738b164d4bdccb,01792f8de661,Cr1Sb32Te48,1e-06,0.0146997236,280.0,70.0,True,,automatic:2 2 2 1 1 1,False,False,2,smearing,/Users/alina/Project/26MIgrationBench/data_processed/site_stability_proposer/prospective_dft_v5_s42/site_proposer_control_01_unique_104_s42/relax.in,Cr:Cr_PBE_FR.SG15v1.2.UPF;Sb:Sb_PBE_FR.SG15v1.2.UPF;Te:Te_PBE_FR.SG15v1.2.UPF,direct,8d9209c301231df1897f7b2541bfd076525a6ca716fa2182f558e26678b5cd9c,cold,False,DFT-D3
relax,03738b164d4bdccb,01792f8de661,Cr1Sb32Te48,1e-06,0.0146997236,280.0,70.0,True,,automatic:2 2 2 1 1 1,False,False,2,smearing,/Users/alina/Project/26MIgrationBench/data_processed/site_stability_proposer/prospective_dft_v5_s42/site_proposer_control_02_unique_135_s42/relax.in,Cr:Cr_PBE_FR.SG15v1.2.UPF;Sb:Sb_PBE_FR.SG15v1.2.UPF;Te:Te_PBE_FR.SG15v1.2.UPF,direct,487a62f675c9f9985904b1057b1ad04c125c65b3eb3933fcd288a737bbd16915,cold,False,DFT-D3
relax,03738b164d4bdccb,01792f8de661,Cr1Sb32Te48,1e-06,0.0146997236,280.0,70.0,True,,automatic:2 2 2 1 1 1,False,False,2,smearing,/Users/alina/Project/26MIgrationBench/data_processed/site_stability_proposer/prospective_dft_v5_s42/site_proposer_control_03_unique_078_s42/relax.in,Cr:Cr_PBE_FR.SG15v1.2.UPF;Sb:Sb_PBE_FR.SG15v1.2.UPF;Te:Te_PBE_FR.SG15v1.2.UPF,direct,1ca72b2434d1e966e2d0265c1a95812cf6f37553fe576bc18812629777a317d7,cold,False,DFT-D3
relax,03738b164d4bdccb,01792f8de661,Cr1Sb32Te48,1e-06,0.0146997236,280.0,70.0,True,,automatic:2 2 2 1 1 1,False,False,2,smearing,/Users/alina/Project/26MIgrationBench/data_processed/site_stability_proposer/prospective_dft_v5_s42/site_proposer_control_04_unique_204_s42/relax.in,Cr:Cr_PBE_FR.SG15v1.2.UPF;Sb:Sb_PBE_FR.SG15v1.2.UPF;Te:Te_PBE_FR.SG15v1.2.UPF,direct,b67db1f66f6e68e05802ab710131990a35139130fee6092dd409629ba465ae2d,cold,False,DFT-D3
relax,03738b164d4bdccb,01792f8de661,Cr1Sb32Te48,1e-06,0.0146997236,280.0,70.0,True,,automatic:2 2 2 1 1 1,False,False,2,smearing,/Users/alina/Project/26MIgrationBench/data_processed/site_stability_proposer/prospective_dft_v5_s42/site_proposer_control_05_unique_042_s42/relax.in,Cr:Cr_PBE_FR.SG15v1.2.UPF;Sb:Sb_PBE_FR.SG15v1.2.UPF;Te:Te_PBE_FR.SG15v1.2.UPF,direct,3ba040b68dec34f1104958b522140b9a3b8c93da7daf4e522c18af26f4a25811,cold,False,DFT-D3
relax,03738b164d4bdccb,01792f8de661,Cr1Sb32Te48,1e-06,0.0146997236,280.0,70.0,True,,automatic:2 2 2 1 1 1,False,False,2,smearing,/Users/alina/Project/26MIgrationBench/data_processed/site_stability_proposer/prospective_dft_v5_s42/site_proposer_control_06_unique_129_s42/relax.in,Cr:Cr_PBE_FR.SG15v1.2.UPF;Sb:Sb_PBE_FR.SG15v1.2.UPF;Te:Te_PBE_FR.SG15v1.2.UPF,direct,372570fd02be8283fb91cd5eafd83ac6e0a7d4b90c5b78ab077021f2cd26df26,cold,False,DFT-D3
relax,03738b164d4bdccb,01792f8de661,Cr1Sb32Te48,1e-06,0.0146997236,280.0,70.0,True,,automatic:2 2 2 1 1 1,False,False,2,smearing,/Users/alina/Project/26MIgrationBench/data_processed/site_stability_proposer/prospective_dft_v5_s42/site_proposer_proposal_01_unique_119_s42/relax.in,Cr:Cr_PBE_FR.SG15v1.2.UPF;Sb:Sb_PBE_FR.SG15v1.2.UPF;Te:Te_PBE_FR.SG15v1.2.UPF,direct,af6227efcb1f5b44e9a49cc843690d581e6581d767d5c48df273bcbeebe2d7d0,cold,False,DFT-D3
relax,03738b164d4bdccb,01792f8de661,Cr1Sb32Te48,1e-06,0.0146997236,280.0,70.0,True,,automatic:2 2 2 1 1 1,False,False,2,smearing,/Users/alina/Project/26MIgrationBench/data_processed/site_stability_proposer/prospective_dft_v5_s42/site_proposer_proposal_02_unique_093_s42/relax.in,Cr:Cr_PBE_FR.SG15v1.2.UPF;Sb:Sb_PBE_FR.SG15v1.2.UPF;Te:Te_PBE_FR.SG15v1.2.UPF,direct,a8dbc992138c688e19c93385a05f4ecd194eb22e05e9e70c40fc4bab8f40d397,cold,False,DFT-D3
relax,03738b164d4bdccb,01792f8de661,Cr1Sb32Te48,1e-06,0.0146997236,280.0,70.0,True,,automatic:2 2 2 1 1 1,False,False,2,smearing,/Users/alina/Project/26MIgrationBench/data_processed/site_stability_proposer/prospective_dft_v5_s42/site_proposer_proposal_03_unique_088_s42/relax.in,Cr:Cr_PBE_FR.SG15v1.2.UPF;Sb:Sb_PBE_FR.SG15v1.2.UPF;Te:Te_PBE_FR.SG15v1.2.UPF,direct,5b2c1918333daaca152d7b22d0dbf03f4fa6655e8e95801e14153e907c0a872f,cold,False,DFT-D3
relax,03738b164d4bdccb,01792f8de661,Cr1Sb32Te48,1e-06,0.0146997236,280.0,70.0,True,,automatic:2 2 2 1 1 1,False,False,2,smearing,/Users/alina/Project/26MIgrationBench/data_processed/site_stability_proposer/prospective_dft_v5_s42/site_proposer_proposal_04_unique_200_s42/relax.in,Cr:Cr_PBE_FR.SG15v1.2.UPF;Sb:Sb_PBE_FR.SG15v1.2.UPF;Te:Te_PBE_FR.SG15v1.2.UPF,direct,0d7452a94a8262c35c8644aa1e3b73d6a6e9999b9932bc21e03e513062d05cd6,cold,False,DFT-D3
