path,directory,file,suffix,size_bytes,kind,calculation,nat,ntyp,prefix,num_of_images,job_done,has_error_hint,error_hints,final_total_energy_Ry,n_total_energy_lines,neb_first_activation_forward_eV,neb_activation_overflow,neb_initial_path_length_bohr,classification,content_scan_limited,content_skipped_large
/scratch16/pclancy3/victor/Ba-Cs/bands_1/slurm-16308256.out,/scratch16/pclancy3/victor/Ba-Cs/bands_1,slurm-16308256.out,.out,2169,qe_output_unknown,,,,,,False,False,,,0,,False,,partial_or_unknown_qe_output,False,False
/scratch16/pclancy3/victor/Ba-Cs/bands_1/1_scf.out,/scratch16/pclancy3/victor/Ba-Cs/bands_1,1_scf.out,.out,99948,qe_output_unknown,,,,,,False,False,,,0,,False,,partial_or_unknown_qe_output,True,False
/scratch16/pclancy3/victor/Ba-Cs/bands_1/1_scf.in,/scratch16/pclancy3/victor/Ba-Cs/bands_1,1_scf.in,.in,5691,scf,scf,81,3,cs1-sb2te3,,False,False,,,0,,False,,qe_input_template_candidate,False,False
/scratch16/pclancy3/victor/Ba-Cs/caesium/Bulk-NoSOC-NonREL-2K-VCRelax_60_2.in,/scratch16/pclancy3/victor/Ba-Cs/caesium,Bulk-NoSOC-NonREL-2K-VCRelax_60_2.in,.in,4767,vc-relax,vc-relax,60,2,sb2te3_vcr_convergence,,False,False,,,0,,False,,qe_input_template_candidate,False,False
/scratch16/pclancy3/victor/Ba-Cs/caesium/Bulk-NoSOC-NonREL-k2.xyz,/scratch16/pclancy3/victor/Ba-Cs/caesium,Bulk-NoSOC-NonREL-k2.xyz,.xyz,3448,structure_or_other,,,,,,False,False,,,0,,False,,structure_candidate,False,False
/scratch16/pclancy3/victor/Ba-Cs/caesium/V-TMi1_Pos2.out,/scratch16/pclancy3/victor/Ba-Cs/caesium,V-TMi1_Pos2.out,.out,2013180,qe_output_unknown,,,,,,False,False,,-5538.29363754,1,,False,,partial_or_unknown_qe_output,True,False
/scratch16/pclancy3/victor/Ba-Cs/caesium/V-TMi4.in,/scratch16/pclancy3/victor/Ba-Cs/caesium,V-TMi4.in,.in,4419,relax,relax,61,3,interstitial_tmi4,,False,False,,,0,,False,,qe_input_template_candidate,False,False
/scratch16/pclancy3/victor/Ba-Cs/caesium/V-TMi4.out,/scratch16/pclancy3/victor/Ba-Cs/caesium,V-TMi4.out,.out,2096478,qe_output_unknown,,,,,,False,False,,-5538.18033962,1,,False,,partial_or_unknown_qe_output,True,False
/scratch16/pclancy3/victor/Ba-Cs/caesium/V-TMi1+TMi4-vdW2.out,/scratch16/pclancy3/victor/Ba-Cs/caesium,V-TMi1+TMi4-vdW2.out,.out,3570482,qe_output_unknown,,,,,,False,False,,-5683.16219833,1,,False,,partial_or_unknown_qe_output,True,False
/scratch16/pclancy3/victor/Ba-Cs/caesium/slurm-1108781.out,/scratch16/pclancy3/victor/Ba-Cs/caesium,slurm-1108781.out,.out,2268,qe_output_unknown,,,,,,False,False,,,0,,False,,partial_or_unknown_qe_output,False,False
