path,directory,file,suffix,size_bytes,kind,calculation,nat,ntyp,prefix,num_of_images,job_done,has_error_hint,error_hints,final_total_energy_Ry,n_total_energy_lines,neb_first_activation_forward_eV,neb_activation_overflow,neb_initial_path_length_bohr,classification
/scratch16/pclancy3/victor/V-ST/convergence/kpts_D3/Bulk-NoSOC-D3-kPts_6.in,/scratch16/pclancy3/victor/V-ST/convergence/kpts_D3,Bulk-NoSOC-D3-kPts_6.in,.in,4753,scf,scf,60,2,sb2te3_convergence,,False,False,,,0,,False,,qe_input_template_candidate
/scratch16/pclancy3/victor/V-ST/convergence/kpts_D3/Bulk-NoSOC-D3-kPts_8.in,/scratch16/pclancy3/victor/V-ST/convergence/kpts_D3,Bulk-NoSOC-D3-kPts_8.in,.in,4753,scf,scf,60,2,sb2te3_convergence,,False,False,,,0,,False,,qe_input_template_candidate
/scratch16/pclancy3/victor/V-ST/convergence/kpts_D3/slurm-811404.out,/scratch16/pclancy3/victor/V-ST/convergence/kpts_D3,slurm-811404.out,.out,706,qe_output_unknown,,,,,,False,False,,,0,,False,,partial_or_unknown_qe_output
/scratch16/pclancy3/victor/V-ST/convergence/kpts_D3/slurm-721343.out,/scratch16/pclancy3/victor/V-ST/convergence/kpts_D3,slurm-721343.out,.out,564,qe_output_unknown,,,,,,False,False,,-5391.57408553,5,,False,,partial_or_unknown_qe_output
/scratch16/pclancy3/victor/V-ST/convergence/kpts_D3/Bulk-NoSOC-D3-kPts_1.out,/scratch16/pclancy3/victor/V-ST/convergence/kpts_D3,Bulk-NoSOC-D3-kPts_1.out,.out,42457,qe_output_unknown,,,,,,True,False,,-9653.26626195,1,,False,,completed_qe_output_candidate
/scratch16/pclancy3/victor/V-ST/convergence/kpts_D3/Bulk-NoSOC-D3-kPts_6.out,/scratch16/pclancy3/victor/V-ST/convergence/kpts_D3,Bulk-NoSOC-D3-kPts_6.out,.out,714362,qe_output_unknown,,,,,,True,False,,-9652.91516183,1,,False,,completed_qe_output_candidate
/scratch16/pclancy3/victor/V-ST/convergence/kpts_D3/Bulk-NoSOC-D3-kPts_2.in,/scratch16/pclancy3/victor/V-ST/convergence/kpts_D3,Bulk-NoSOC-D3-kPts_2.in,.in,4753,scf,scf,60,2,sb2te3_convergence,,False,False,,,0,,False,,qe_input_template_candidate
/scratch16/pclancy3/victor/V-ST/convergence/kpts_D3/slurm-8135090.out,/scratch16/pclancy3/victor/V-ST/convergence/kpts_D3,slurm-8135090.out,.out,539,qe_output_unknown,,,,,,False,False,,-9652.91516183,4,,False,,partial_or_unknown_qe_output
/scratch16/pclancy3/victor/V-ST/convergence/kpts_D3/slurm-720583.out,/scratch16/pclancy3/victor/V-ST/convergence/kpts_D3,slurm-720583.out,.out,744,qe_output_unknown,,,,,,False,False,,,0,,False,,partial_or_unknown_qe_output
/scratch16/pclancy3/victor/V-ST/convergence/kpts_D3/Bulk-NoSOC-D3-kPts_2.out,/scratch16/pclancy3/victor/V-ST/convergence/kpts_D3,Bulk-NoSOC-D3-kPts_2.out,.out,64111,qe_output_unknown,,,,,,True,False,,-9652.90238185,1,,False,,completed_qe_output_candidate
/scratch16/pclancy3/victor/V-ST/convergence/kpts_D3/Bulk-NoSOC-D3-kPts_4.out,/scratch16/pclancy3/victor/V-ST/convergence/kpts_D3,Bulk-NoSOC-D3-kPts_4.out,.out,248643,qe_output_unknown,,,,,,True,False,,-9652.91479721,1,,False,,completed_qe_output_candidate
/scratch16/pclancy3/victor/V-ST/convergence/kpts_D3/Bulk-NoSOC-D3-kPts_8.out,/scratch16/pclancy3/victor/V-ST/convergence/kpts_D3,Bulk-NoSOC-D3-kPts_8.out,.out,46569,qe_output_unknown,,,,,,False,False,,,0,,False,,partial_or_unknown_qe_output
/scratch16/pclancy3/victor/V-ST/convergence/kpts_D3/slurm-720534.out,/scratch16/pclancy3/victor/V-ST/convergence/kpts_D3,slurm-720534.out,.out,774,qe_output_unknown,,,,,,False,False,,,0,,False,,partial_or_unknown_qe_output
/scratch16/pclancy3/victor/V-ST/convergence/kpts_D3/Bulk-NoSOC-D3-kPts_4.in,/scratch16/pclancy3/victor/V-ST/convergence/kpts_D3,Bulk-NoSOC-D3-kPts_4.in,.in,4753,scf,scf,60,2,sb2te3_convergence,,False,False,,,0,,False,,qe_input_template_candidate
/scratch16/pclancy3/victor/V-ST/convergence/kpts_D3/Bulk-NoSOC-D3-kPts_1.in,/scratch16/pclancy3/victor/V-ST/convergence/kpts_D3,Bulk-NoSOC-D3-kPts_1.in,.in,4753,scf,scf,60,2,sb2te3_convergence,,False,False,,,0,,False,,qe_input_template_candidate
/scratch16/pclancy3/victor/V-ST/convergence/ecutwfc3/Bulk-NoSOC-NonREL-2K_20.in,/scratch16/pclancy3/victor/V-ST/convergence/ecutwfc3,Bulk-NoSOC-NonREL-2K_20.in,.in,4512,scf,scf,60,2,sb2te3_convergence,,False,False,,,0,,False,,qe_input_template_candidate
/scratch16/pclancy3/victor/V-ST/convergence/ecutwfc3/Bulk-NoSOC-NonREL-2K_56.out,/scratch16/pclancy3/victor/V-ST/convergence/ecutwfc3,Bulk-NoSOC-NonREL-2K_56.out,.out,30440,qe_output_unknown,,,,,,True,False,,-5393.37120344,1,,False,,completed_qe_output_candidate
/scratch16/pclancy3/victor/V-ST/convergence/ecutwfc3/Bulk-NoSOC-NonREL-2K_68.out,/scratch16/pclancy3/victor/V-ST/convergence/ecutwfc3,Bulk-NoSOC-NonREL-2K_68.out,.out,27022,qe_output_unknown,,,,,,True,False,,-5393.37676344,1,,False,,completed_qe_output_candidate
/scratch16/pclancy3/victor/V-ST/convergence/ecutwfc3/Bulk-NoSOC-NonREL-2K_16.out,/scratch16/pclancy3/victor/V-ST/convergence/ecutwfc3,Bulk-NoSOC-NonREL-2K_16.out,.out,27967,qe_output_unknown,,,,,,True,False,,-5273.51957029,1,,False,,completed_qe_output_candidate
/scratch16/pclancy3/victor/V-ST/convergence/ecutwfc3/Bulk-NoSOC-NonREL-2K_12.in,/scratch16/pclancy3/victor/V-ST/convergence/ecutwfc3,Bulk-NoSOC-NonREL-2K_12.in,.in,4512,scf,scf,60,2,sb2te3_convergence,,False,False,,,0,,False,,qe_input_template_candidate
/scratch16/pclancy3/victor/V-ST/convergence/ecutwfc3/Bulk-NoSOC-NonREL-2K_24.in,/scratch16/pclancy3/victor/V-ST/convergence/ecutwfc3,Bulk-NoSOC-NonREL-2K_24.in,.in,4512,scf,scf,60,2,sb2te3_convergence,,False,False,,,0,,False,,qe_input_template_candidate
/scratch16/pclancy3/victor/V-ST/convergence/ecutwfc3/Bulk-NoSOC-NonREL-2K_72.out,/scratch16/pclancy3/victor/V-ST/convergence/ecutwfc3,Bulk-NoSOC-NonREL-2K_72.out,.out,29180,qe_output_unknown,,,,,,True,False,,-5393.37784035,1,,False,,completed_qe_output_candidate
/scratch16/pclancy3/victor/V-ST/convergence/ecutwfc3/Bulk-NoSOC-NonREL-2K_20.out,/scratch16/pclancy3/victor/V-ST/convergence/ecutwfc3,Bulk-NoSOC-NonREL-2K_20.out,.out,28597,qe_output_unknown,,,,,,True,False,,-5360.74046317,1,,False,,completed_qe_output_candidate
/scratch16/pclancy3/victor/V-ST/convergence/ecutwfc3/Bulk-NoSOC-NonREL-2K_16.in,/scratch16/pclancy3/victor/V-ST/convergence/ecutwfc3,Bulk-NoSOC-NonREL-2K_16.in,.in,4512,scf,scf,60,2,sb2te3_convergence,,False,False,,,0,,False,,qe_input_template_candidate
/scratch16/pclancy3/victor/V-ST/convergence/ecutwfc3/Bulk-NoSOC-NonREL-2K_56.in,/scratch16/pclancy3/victor/V-ST/convergence/ecutwfc3,Bulk-NoSOC-NonREL-2K_56.in,.in,4512,scf,scf,60,2,sb2te3_convergence,,False,False,,,0,,False,,qe_input_template_candidate
/scratch16/pclancy3/victor/V-ST/convergence/ecutwfc3/Bulk-NoSOC-NonREL-2K_12.out,/scratch16/pclancy3/victor/V-ST/convergence/ecutwfc3,Bulk-NoSOC-NonREL-2K_12.out,.out,30842,qe_output_unknown,,,,,,True,False,,-4980.12310102,1,,False,,completed_qe_output_candidate
/scratch16/pclancy3/victor/V-ST/convergence/ecutwfc3/Bulk-NoSOC-NonREL-2K_64.out,/scratch16/pclancy3/victor/V-ST/convergence/ecutwfc3,Bulk-NoSOC-NonREL-2K_64.out,.out,29857,qe_output_unknown,,,,,,True,False,,-5393.37451676,1,,False,,completed_qe_output_candidate
/scratch16/pclancy3/victor/V-ST/convergence/ecutwfc3/slurm-1316421.out,/scratch16/pclancy3/victor/V-ST/convergence/ecutwfc3,slurm-1316421.out,.out,453,qe_output_unknown,,,,,,False,False,,-5393.37784035,4,,False,,partial_or_unknown_qe_output
/scratch16/pclancy3/victor/V-ST/convergence/ecutwfc3/slurm-664057.out,/scratch16/pclancy3/victor/V-ST/convergence/ecutwfc3,slurm-664057.out,.out,638,qe_output_unknown,,,,,,False,False,,-5393.37120344,5,,False,,partial_or_unknown_qe_output
/scratch16/pclancy3/victor/V-ST/convergence/ecutwfc3/Bulk-NoSOC-NonREL-2K_60.in,/scratch16/pclancy3/victor/V-ST/convergence/ecutwfc3,Bulk-NoSOC-NonREL-2K_60.in,.in,4512,scf,scf,60,2,sb2te3_convergence,,False,False,,,0,,False,,qe_input_template_candidate
/scratch16/pclancy3/victor/V-ST/convergence/ecutwfc3/Bulk-NoSOC-NonREL-2K_64.in,/scratch16/pclancy3/victor/V-ST/convergence/ecutwfc3,Bulk-NoSOC-NonREL-2K_64.in,.in,4512,scf,scf,60,2,sb2te3_convergence,,False,False,,,0,,False,,qe_input_template_candidate
/scratch16/pclancy3/victor/V-ST/convergence/ecutwfc3/Bulk-NoSOC-NonREL-2K_60.out,/scratch16/pclancy3/victor/V-ST/convergence/ecutwfc3,Bulk-NoSOC-NonREL-2K_60.out,.out,27967,qe_output_unknown,,,,,,True,False,,-5393.37218749,1,,False,,completed_qe_output_candidate
/scratch16/pclancy3/victor/V-ST/convergence/ecutwfc3/Bulk-NoSOC-NonREL-2K_72.in,/scratch16/pclancy3/victor/V-ST/convergence/ecutwfc3,Bulk-NoSOC-NonREL-2K_72.in,.in,4512,scf,scf,60,2,sb2te3_convergence,,False,False,,,0,,False,,qe_input_template_candidate
/scratch16/pclancy3/victor/V-ST/convergence/ecutwfc3/Bulk-NoSOC-NonREL-2K_24.out,/scratch16/pclancy3/victor/V-ST/convergence/ecutwfc3,Bulk-NoSOC-NonREL-2K_24.out,.out,28597,qe_output_unknown,,,,,,True,False,,-5384.93913822,1,,False,,completed_qe_output_candidate
