queue_rank,queue_decision,inventory_source,classification,path_key,path,companion_neb_in,companion_images,engine_template_source,ready_for_standard_qe_input,neb_first_activation_forward_eV,neb_initial_path_length_bohr,job_done,has_error_hint,error_hints,review_notes
1,standardize_and_preflight,,partial_neb_candidate,neb2,/scratch16/pclancy3/victor/V-ST/neb2/neb2.out,/scratch16/pclancy3/victor/V-ST/neb2/neb2.in,/scratch16/pclancy3/victor/V-ST/neb2/v-sb2te3.xyz,/scratch16/pclancy3/victor/V-ST/neb2/pw_1.in,True,4.178365,20.1492,False,False,,
2,standardize_and_preflight,,partial_neb_candidate,neb3,/scratch16/pclancy3/victor/V-ST/neb2/neb3.out,/scratch16/pclancy3/victor/V-ST/neb2/neb3.in,/scratch16/pclancy3/victor/V-ST/neb2/v-sb2te3.xyz,/scratch16/pclancy3/victor/V-ST/neb2/pw_1.in,True,4.177595,20.1492,False,False,,
3,standardize_and_preflight,,partial_neb_candidate,neb4,/scratch16/pclancy3/victor/V-ST/neb2/neb4.out,/scratch16/pclancy3/victor/V-ST/neb2/neb4.in,/scratch16/pclancy3/victor/V-ST/neb2/v-sb2te3.xyz,/scratch16/pclancy3/victor/V-ST/neb2/pw_1.in,True,4.074833,20.1492,False,False,,
4,standardize_and_preflight,,partial_neb_candidate,01,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/01_neb_run1.out,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/01_neb.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/01_v-sb2te3_v2.xyz,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/pw_1.in,True,4.115818,6.3389,False,False,,
5,standardize_and_preflight,,partial_neb_candidate,01,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/01_neb_run2.out,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/01_neb.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/01_v-sb2te3_v2.xyz,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/pw_1.in,True,1.075851,,False,False,,
6,standardize_and_preflight,,partial_neb_candidate,01,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/01_neb_run3.out,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/01_neb.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/01_v-sb2te3_v2.xyz,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/pw_1.in,True,1.040537,,False,False,,
7,standardize_and_preflight,,partial_neb_candidate,01,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/01_neb_v2.out,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/01_neb_v2.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/01_v-sb2te3_v2.xyz,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/pw_1.in,True,0.288848,,False,False,,"existing Victor input uses 2 images; treat as endpoint/path preflight, not barrier benchmark, until regenerated with intermediates"
8,standardize_and_preflight,,partial_neb_candidate,12,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/12_neb_parallel.out,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/12_neb_parallel.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/v-sb2te3.xyz,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/pw_1.in,True,5.218393,5.6618,False,False,,
9,standardize_and_preflight,,partial_neb_candidate,23,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/23_neb.out,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/23_neb.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/v-sb2te3.xyz,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/pw_1.in,True,4.597821,6.0992,False,False,,
10,standardize_and_preflight,,partial_neb_candidate,34,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/34_neb.out,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/34_neb.in,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/v-sb2te3.xyz,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/pw_1.in,True,5.003261,5.6425,False,False,,
