priority_rank,inventory_source,classification,path,directory,file,size_bytes,num_of_images,neb_initial_path_length_bohr,neb_first_activation_forward_eV,neb_activation_overflow,job_done,has_error_hint,error_hints,content_scan_limited,content_skipped_large
1,V-ST,partial_neb_candidate,/scratch16/pclancy3/victor/V-ST/neb2 copy/neb.out,/scratch16/pclancy3/victor/V-ST/neb2 copy,neb.out,10176,33,20.1492,627.040883,False,False,False,,False,False
2,V-ST,partial_neb_candidate,/scratch16/pclancy3/victor/V-ST/neb2/neb.out,/scratch16/pclancy3/victor/V-ST/neb2,neb.out,33507,33,20.1492,627.040883,False,False,False,,False,False
3,V-ST,partial_neb_candidate,/scratch16/pclancy3/victor/V-ST/neb2/neb2.out,/scratch16/pclancy3/victor/V-ST/neb2,neb2.out,70543,3,20.1492,4.178365,False,False,False,,True,False
4,V-ST,partial_neb_candidate,/scratch16/pclancy3/victor/V-ST/neb2/neb3.out,/scratch16/pclancy3/victor/V-ST/neb2,neb3.out,98653,3,20.1492,4.177595,False,False,False,,True,False
5,V-ST,partial_neb_candidate,/scratch16/pclancy3/victor/V-ST/neb2/neb4.out,/scratch16/pclancy3/victor/V-ST/neb2,neb4.out,37642,3,20.1492,4.074833,False,False,False,,False,False
6,V-ST,partial_neb_candidate,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/01_neb_run1.out,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb,01_neb_run1.out,79761,3,6.3389,4.115818,False,False,False,,True,False
7,V-ST,partial_neb_candidate,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/01_neb_run2.out,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb,01_neb_run2.out,78030,3,,1.075851,False,False,False,,True,False
8,V-ST,partial_neb_candidate,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/01_neb_run3.out,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb,01_neb_run3.out,96718,3,,1.040537,False,False,False,,True,False
9,V-ST,partial_neb_candidate,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/01_neb_v2.out,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb,01_neb_v2.out,20229,2,,0.288848,False,False,False,,False,False
10,V-ST,partial_neb_candidate,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/12_neb_parallel.out,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb,12_neb_parallel.out,20649,3,5.6618,5.218393,False,False,False,,False,False
11,V-ST,partial_neb_candidate,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/23_neb.out,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb,23_neb.out,64133,3,6.0992,4.597821,False,False,False,,False,False
12,V-ST,partial_neb_candidate,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/34_neb.out,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb,34_neb.out,2921,3,5.6425,5.003261,False,False,False,,False,False
13,V-ST,partial_neb_candidate,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb/34_neb_parallel.out,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb,34_neb_parallel.out,58769,3,5.6425,5.003261,False,False,False,,False,False
14,V-ST,partial_neb_candidate,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/01_neb.out,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2,01_neb.out,32752,10,6.3389,4.319435,False,False,False,,False,False
15,V-ST,partial_neb_candidate,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/12_neb.out,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2,12_neb.out,17556,10,5.6618,5.078892,False,False,False,,False,False
16,V-ST,partial_neb_candidate,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/23_neb.out,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2,23_neb.out,41527,10,,1.588739,False,False,False,,False,False
17,V-ST,partial_neb_candidate,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/23_neb_run1.out,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2,23_neb_run1.out,8177,10,6.0992,4.503927,False,False,False,,False,False
18,V-ST,partial_neb_candidate,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/34_neb.out,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2,34_neb.out,15837,10,5.6425,4.997499,False,False,False,,False,False
19,V-ST,partial_neb_candidate,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/45_neb.out,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2,45_neb.out,67026,10,8.0789,28.478909,False,False,False,,True,False
20,V-ST,partial_neb_candidate,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/55_neb_cr.out,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2,55_neb_cr.out,61172,10,8.0789,25.885592,False,False,False,,False,False
21,V-ST,partial_neb_candidate,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2/55_neb_run1.out,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_2,55_neb_run1.out,16068,10,8.0789,28.478909,False,False,False,,False,False
22,V-ST,partial_neb_candidate,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_3/55_neb copy.out,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_3,55_neb copy.out,13015,10,8.0789,28.478909,False,False,False,,False,False
23,V-ST,partial_neb_candidate,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_3/55_neb.out,/scratch16/pclancy3/victor/V-ST/new_interstitial/Diffusion_Traj/neb_3,55_neb.out,20574,10,,2.920645,False,False,False,,False,False
