neb_out,parent,n_images,act_fwd_eV,act_rev_eV,dat_peak_eV,job_done,reached_max_steps,tail,xyz_atoms
/data/pclancy3/yi/flare-data/1-Cr-Sb2Te3/3.neb/1.no_corr/03-01/neb.out,03-01,5,1.063016,1.149030,1.0630164086,False,False,===================================================================================,61
/data/pclancy3/yi/flare-data/1-Cr-Sb2Te3/3.neb/1.no_corr/03-01/new/neb.out,new,5,1.790781,1.952468,1.7907806114,True,True,=------------------------------------------------------------------------------=,61
/data/pclancy3/yi/flare-data/1-Cr-Sb2Te3/3.neb/1.no_corr/03-07/neb.out,03-07,5,2.637186,1.909274,2.6371861816,False,False,stopping ...,61
/data/pclancy3/yi/flare-data/1-Cr-Sb2Te3/3.neb/1.no_corr/03-07/new/neb.out,new,5,1.222289,1.020835,1.222288727,True,True,=------------------------------------------------------------------------------=,61
/data/pclancy3/yi/flare-data/1-Cr-Sb2Te3/3.neb/1.no_corr/1-3.1_old/neb.out,1-3.1_old,10,1.304244,1.263207,1.3042435813,False,False,tcpu =  23594.7    self-consistency for image   5,61
/data/pclancy3/yi/flare-data/1-Cr-Sb2Te3/3.neb/1.no_corr/1-4.2/neb.out,1-4.2,10,1.266158,0.460298,1.266157721,False,False,===================================================================================,61
/data/pclancy3/yi/flare-data/1-Cr-Sb2Te3/3.neb/1.no_corr/2.05-03/neb.out,2.05-03,5,1.008518,1.005331,1.008517615,False,False,tcpu =  31895.0    self-consistency for image   4,61
/data/pclancy3/yi/flare-data/1-Cr-Sb2Te3/3.neb/1.no_corr/2.05-03/new/neb.out,new,5,,,,False,False,stopping ...,
/data/pclancy3/yi/flare-data/1-Cr-Sb2Te3/3.neb/1.no_corr/3.06-04/neb.out,3.06-04,5,0.000000,0.775120,0.0,False,False,===================================================================================,61
/data/pclancy3/yi/flare-data/1-Cr-Sb2Te3/3.neb/1.no_corr/3.06-04/new/neb.out,new,5,0.000106,0.000000,0.0001064189,True,True,=------------------------------------------------------------------------------=,61
/data/pclancy3/yi/flare-data/1-Cr-Sb2Te3/3.neb/1.no_corr/4.01-04/neb.out,4.01-04,5,1.175762,1.132788,1.1757616083,False,False,===================================================================================,61
/data/pclancy3/yi/flare-data/1-Cr-Sb2Te3/3.neb/1.no_corr/4.01-04/new/neb.out,new,5,0.981566,0.618476,0.9815656084,True,True,=------------------------------------------------------------------------------=,61
/data/pclancy3/yi/flare-data/1-Cr-Sb2Te3/3.neb/1.no_corr/4.01-06/new/neb.out,new,5,0.977741,0.614674,0.9777407947,True,True,=------------------------------------------------------------------------------=,61
/data/pclancy3/yi/flare-data/1-Cr-Sb2Te3/3.neb/1.no_corr/4.2-4.1/neb.out,4.2-4.1,10,0.716006,0.716024,0.7160058755,False,False,===================================================================================,61
/data/pclancy3/yi/flare-data/1-Cr-Sb2Te3/3.neb/1.no_corr/5.06-02/neb.out,5.06-02,5,0.749892,1.172610,0.7498922831,False,False,===================================================================================,61
/data/pclancy3/yi/flare-data/1-Cr-Sb2Te3/3.neb/1.no_corr/5.06-02/new/neb.out,new,5,0.932715,1.216585,0.9327151166,True,True,=------------------------------------------------------------------------------=,61
/data/pclancy3/yi/flare-data/1-Cr-Sb2Te3/3.neb/1.no_corr/6.04-02/neb.out,6.04-02,5,1.004894,1.062338,1.0048936919,False,False,===================================================================================,61
/data/pclancy3/yi/flare-data/1-Cr-Sb2Te3/3.neb/1.no_corr/6.04-02/new/neb.out,new,5,0.932252,1.216159,0.9322517762,True,True,=------------------------------------------------------------------------------=,61
/data/pclancy3/yi/flare-data/1-Cr-Sb2Te3/3.neb/1.vdw_corr_DFT_D3/1-2/neb.out,1-2,5,2.790171,1.015330,2.790170572,False,False,"using ibrav=0 with symmetry is DISCOURAGED, use correct ibrav instead",61
/data/pclancy3/yi/flare-data/1-Cr-Sb2Te3/3.neb/1.vdw_corr_DFT_D3/1-3/neb.out,1-3,5,4.003362,3.950126,4.0033621964,False,False,"using ibrav=0 with symmetry is DISCOURAGED, use correct ibrav instead",61
/data/pclancy3/yi/flare-data/1-Cr-Sb2Te3/3.neb/1.vdw_corr_DFT_D3/1-4/neb.out,1-4,5,0.336050,0.016829,0.3360499862,False,False,"using ibrav=0 with symmetry is DISCOURAGED, use correct ibrav instead",61
/data/pclancy3/yi/flare-data/1-Cr-Sb2Te3/3.neb/1.vdw_corr_DFT_D3/1-5/1.sep2-1_10img_ea/neb.out,1.sep2-1_10img_ea,10,7.546903,8.596903,7.5469032485,False,False,"using ibrav=0 with symmetry is DISCOURAGED, use correct ibrav instead",61
/data/pclancy3/yi/flare-data/1-Cr-Sb2Te3/3.neb/1.vdw_corr_DFT_D3/1-5/1.sep2-2_10img_ea/neb.out,1.sep2-2_10img_ea,10,800.558146,797.729881,800.5581460304,False,False,"using ibrav=0 with symmetry is DISCOURAGED, use correct ibrav instead",61
/data/pclancy3/yi/flare-data/1-Cr-Sb2Te3/3.neb/1.vdw_corr_DFT_D3/1-5/neb.out,1-5,5,1.099583,0.753468,1.0995831736,False,False,"using ibrav=0 with symmetry is DISCOURAGED, use correct ibrav instead",61
/data/pclancy3/yi/flare-data/1-Cr-Sb2Te3/3.neb/1.vdw_corr_DFT_D3/1-6/neb.out,1-6,5,1.026035,0.205627,1.0260347686,False,False,"using ibrav=0 with symmetry is DISCOURAGED, use correct ibrav instead",61
/data/pclancy3/yi/flare-data/1-Cr-Sb2Te3/3.neb/1.vdw_corr_DFT_D3/1-7/neb.out,1-7,5,0.582586,0.024650,0.5825860632,False,False,"using ibrav=0 with symmetry is DISCOURAGED, use correct ibrav instead",61
/data/pclancy3/yi/flare-data/1-Cr-Sb2Te3/3.neb/1.vdw_corr_DFT_D3/1-8/neb.out,1-8,5,1.755620,0.989243,1.7556195531,True,True,=------------------------------------------------------------------------------=,61
/data/pclancy3/yi/flare-data/1-Cr-Sb2Te3/3.neb/2.2-layer-diffusion/1.Gap-Center/441/Cr3/1+2-2+1/neb.out,1+2-2+1,10,,,,False,False,tcpu =  72210.9    self-consistency for image   4,
/data/pclancy3/yi/flare-data/1-Cr-Sb2Te3/3.neb/2.2-layer-diffusion/1.Gap-Center/441/Cr3/2+1-3/neb.out,2+1-3,10,,,,False,False,tcpu =      0.4    self-consistency for image   1,
/data/pclancy3/yi/flare-data/1-Cr-Sb2Te3/3.neb/2.2-layer-diffusion/1.Gap-Center/441/Cr5/3+2-4+1/neb.out,3+2-4+1,10,,,,False,False,tcpu =      0.4    self-consistency for image   1,
/data/pclancy3/yi/flare-data/1-Cr-Sb2Te3/3.neb/2.2-layer-diffusion/1.Gap-Center/441/Cr5/4+1-5/neb.out,4+1-5,10,,,,False,False,tcpu =  62294.3    self-consistency for image   3,
/data/pclancy3/yi/flare-data/1-Cr-Sb2Te3/3.neb/2.2-layer-diffusion/1.Gap-Center/neb.out,1.Gap-Center,10,,,1.680841315,False,False,===================================================================================,82
/data/pclancy3/yi/flare-data/1-Cr-Sb2Te3/3.neb/2.2-layer-diffusion/2D_421_Diffusion_traj/neb-0-1/neb.out,neb-0-1,10,,,,False,False,"using ibrav=0 with symmetry is DISCOURAGED, use correct ibrav instead",
/data/pclancy3/yi/flare-data/1-Cr-Sb2Te3/3.neb/2.2-layer-diffusion/2D_421_Diffusion_traj/neb_1/neb.out,neb_1,10,1.034728,1.030269,1.0347284345,True,False,=------------------------------------------------------------------------------=,81
/data/pclancy3/yi/flare-data/1-Cr-Sb2Te3/3.neb/2.2-layer-diffusion/2D_421_Diffusion_traj/neb_2/neb.out,neb_2,10,1.561262,2.111153,1.5612623986,True,False,=------------------------------------------------------------------------------=,81
/data/pclancy3/yi/flare-data/1-Cr-Sb2Te3/3.neb/2.2-layer-diffusion/2D_421_Diffusion_traj/neb_3/neb.out,neb_3,10,1.691053,1.668197,1.6910526103,True,False,=------------------------------------------------------------------------------=,81
/data/pclancy3/yi/flare-data/1-Cr-Sb2Te3/3.neb/2.2-layer-diffusion/2D_421_Diffusion_traj/neb_4/neb.out,neb_4,10,2.063858,1.543546,2.0638575975,True,False,=------------------------------------------------------------------------------=,81
/data/pclancy3/yi/flare-data/1-Cr-Sb2Te3/3.neb/2.2-layer-diffusion/2D_421_Diffusion_traj/neb_5/neb.out,neb_5,10,1.414868,1.065830,1.414867624,True,False,=------------------------------------------------------------------------------=,81
/data/pclancy3/yi/flare-data/1-Cr-Sb2Te3/3.neb/2.2-layer-dislocation/1.bulk/neb.out,1.bulk,10,1.560776,0.000000,1.5607755254,False,False,"using ibrav=0 with symmetry is DISCOURAGED, use correct ibrav instead",80
/data/pclancy3/yi/flare-data/1-Cr-Sb2Te3/3.neb/2.2-layer-dislocation/2.cr-in-gap/neb.out,2.cr-in-gap,10,3.820331,0.000000,3.8203305451,False,False,tcpu =  43965.9    self-consistency for image   3,81
/data/pclancy3/yi/flare-data/1-Cr-Sb2Te3/3.neb/2.2-layer-dislocation/b-path2/1.bulk/neb.out,1.bulk,10,1.653835,1.640097,1.653834726,False,False,"using ibrav=0 with symmetry is DISCOURAGED, use correct ibrav instead",80
/data/pclancy3/yi/flare-data/1-Cr-Sb2Te3/3.neb/2.2-layer-dislocation/b-path2/2.cr-in-gap/neb.out,2.cr-in-gap,10,2.570830,2.590399,2.5708301675,False,False,"using ibrav=0 with symmetry is DISCOURAGED, use correct ibrav instead",81
/data/pclancy3/yi/flare-data/1-Cr-Sb2Te3/3.neb/2.2-layer-dislocation/c-after_aimd/2.cr-in-gap/neb.out,2.cr-in-gap,10,,,,False,False,"using ibrav=0 with symmetry is DISCOURAGED, use correct ibrav instead",
/data/pclancy3/yi/flare-data/1-Cr-Sb2Te3/3.neb/hpc_collaboration_20260306/collaborative_dataset/pmastra2/H2O/PDAD/ace/neb.out,ace,9,5.445018,5.445014,,False,False,tcpu = 259200.9    self-consistency for image   7,
/data/pclancy3/yi/flare-data/1-Cr-Sb2Te3/3.neb/hpc_collaboration_20260306/collaborative_dataset/pmastra2/H2O/PDAD/lac/neb.out,lac,9,1.234272,1.234264,,True,False,=------------------------------------------------------------------------------=,
/data/pclancy3/yi/flare-data/1-Cr-Sb2Te3/3.neb/hpc_collaboration_20260306/collaborative_dataset/pmastra2/H2O/PDAD/per/neb.out,per,9,0.932242,0.664064,,True,False,=------------------------------------------------------------------------------=,
/data/pclancy3/yi/flare-data/1-Cr-Sb2Te3/3.neb/hpc_collaboration_20260306/collaborative_dataset/pmastra2/H2O/PDAD/sbf/neb.out,sbf,9,0.790089,0.790083,,True,False,=------------------------------------------------------------------------------=,
/data/pclancy3/yi/flare-data/1-Cr-Sb2Te3/3.neb/hpc_collaboration_20260306/collaborative_dataset/pmastra2/H2O/mad/ace/cis_1/neb.out,cis_1,7,1.049246,1.049251,,True,False,=------------------------------------------------------------------------------=,
/data/pclancy3/yi/flare-data/1-Cr-Sb2Te3/3.neb/hpc_collaboration_20260306/collaborative_dataset/pmastra2/H2O/mad/ace/cis_2/neb.out,cis_2,7,0.994445,0.994451,,True,False,=------------------------------------------------------------------------------=,
/data/pclancy3/yi/flare-data/1-Cr-Sb2Te3/3.neb/hpc_collaboration_20260306/collaborative_dataset/pmastra2/H2O/mad/ace/trans_1/neb.out,trans_1,7,0.804784,0.804775,,True,False,=------------------------------------------------------------------------------=,
/data/pclancy3/yi/flare-data/1-Cr-Sb2Te3/3.neb/hpc_collaboration_20260306/collaborative_dataset/pmastra2/H2O/mad/ace/trans_2/neb.out,trans_2,7,0.000000,-0.000006,,True,False,=------------------------------------------------------------------------------=,
/data/pclancy3/yi/flare-data/1-Cr-Sb2Te3/3.neb/hpc_collaboration_20260306/collaborative_dataset/pmastra2/H2O/mad/lac/cis/failed run/neb.out,failed run,7,0.640931,0.640933,,False,False,tcpu = 259178.1    self-consistency for image   3,
