      Step     Time          Energy          fmax
FIRE:    0 02:56:44     -193.567028        2.851159
FIRE:    1 02:56:44     -194.873557        2.632300
FIRE:    2 02:56:45     -196.087485        2.443198
FIRE:    3 02:56:45     -197.192303        2.299083
FIRE:    4 02:56:45     -198.182322        2.390374
FIRE:    5 02:56:46     -199.051480        2.382746
FIRE:    6 02:56:46     -199.794775        2.254701
FIRE:    7 02:56:46     -200.409673        2.015279
FIRE:    8 02:56:46     -200.897922        1.692710
FIRE:    9 02:56:46     -201.267473        1.325673
FIRE:   10 02:56:46     -201.533183        0.959125
FIRE:   11 02:56:46     -201.713863        0.802288
FIRE:   12 02:56:46     -201.757403        0.949688
FIRE:   13 02:56:46     -201.810614        1.148580
FIRE:   14 02:56:47     -201.916466        1.169137
FIRE:   15 02:56:47     -201.982893        0.998931
FIRE:   16 02:56:47     -202.065745        0.907645
FIRE:   17 02:56:47     -202.201418        0.951064
FIRE:   18 02:56:47     -202.386068        0.914579
FIRE:   19 02:56:47     -202.595685        0.796176
FIRE:   20 02:56:47     -202.794657        0.611227
FIRE:   21 02:56:47     -202.873279        0.560104
FIRE:   22 02:56:47     -202.945748        0.511944
FIRE:   23 02:56:47     -203.015551        0.413471
FIRE:   24 02:56:48     -203.087819        0.450873
FIRE:   25 02:56:48     -203.171665        0.529927
FIRE:   26 02:56:48     -203.273228        0.581435
FIRE:   27 02:56:48     -203.387276        0.694358
FIRE:   28 02:56:48     -203.505128        0.818413
FIRE:   29 02:56:48     -203.630920        0.941736
FIRE:   30 02:56:48     -203.779964        1.021088
FIRE:   31 02:56:48     -203.962200        1.123602
FIRE:   32 02:56:48     -204.134993        1.065633
FIRE:   33 02:56:49     -204.259698        0.887283
FIRE:   34 02:56:49     -204.405804        1.045958
FIRE:   35 02:56:49     -204.416816        1.749591
FIRE:   36 02:56:49     -204.347836        2.437096
FIRE:   37 02:56:49     -204.398537        2.605543
FIRE:   38 02:56:49     -204.596696        1.789853
FIRE:   39 02:56:49     -204.569795        2.061069
FIRE:   40 02:56:49     -204.622645        1.990094
FIRE:   41 02:56:49     -204.763602        1.393132
FIRE:   42 02:56:49     -204.891718        1.207941
FIRE:   43 02:56:50     -204.960593        1.302627
FIRE:   44 02:56:50     -204.991257        1.605285
FIRE:   45 02:56:50     -205.099524        0.573718
FIRE:   46 02:56:50     -205.160550        0.542196
FIRE:   47 02:56:50     -205.213900        0.573133
FIRE:   48 02:56:50     -205.306749        0.561859
FIRE:   49 02:56:50     -205.401607        0.445473
FIRE:   50 02:56:50     -205.427324        0.410336
FIRE:   51 02:56:50     -205.413020        0.732913
FIRE:   52 02:56:50     -205.427083        0.635818
FIRE:   53 02:56:51     -205.455957        0.675477
FIRE:   54 02:56:51     -205.474617        0.806794
FIRE:   55 02:56:51     -205.484876        0.910578
FIRE:   56 02:56:51     -205.492300        0.953207
FIRE:   57 02:56:51     -205.497833        0.739616
FIRE:   58 02:56:51     -205.500729        0.401333
FIRE:   59 02:56:51     -205.500619        1.222264
FIRE:   60 02:56:51     -205.504524        0.357027
FIRE:   61 02:56:51     -205.504917        0.594108
FIRE:   62 02:56:52     -205.504834        0.517628
FIRE:   63 02:56:52     -205.504542        0.368450
FIRE:   64 02:56:52     -205.503865        0.163285
FIRE:   65 02:56:52     -205.502671        0.161031
FIRE:   66 02:56:52     -205.501035        0.333714
FIRE:   67 02:56:52     -205.500977        0.319436
FIRE:   68 02:56:52     -205.500859        0.291826
FIRE:   69 02:56:52     -205.500673        0.252726
FIRE:   70 02:56:52     -205.500414        0.204737
FIRE:   71 02:56:52     -205.500069        0.151087
FIRE:   72 02:56:53     -205.499630        0.130163
FIRE:   73 02:56:53     -205.499091        0.129368
FIRE:   74 02:56:53     -205.498377        0.127827
FIRE:   75 02:56:53     -205.497462        0.140460
FIRE:   76 02:56:53     -205.496323        0.167322
FIRE:   77 02:56:53     -205.494932        0.177240
FIRE:   78 02:56:53     -205.493248        0.164944
FIRE:   79 02:56:53     -205.491202        0.125689
FIRE:   80 02:56:53     -205.488695        0.092110
FIRE:   81 02:56:53     -205.485615        0.091298
FIRE:   82 02:56:54     -205.481929        0.127697
FIRE:   83 02:56:54     -205.477701        0.122144
FIRE:   84 02:56:54     -205.473056        0.088653
FIRE:   85 02:56:54     -205.468326        0.083600
FIRE:   86 02:56:54     -205.464585        0.114016
FIRE:   87 02:56:54     -205.464288        0.128008
FIRE:   88 02:56:54     -205.473367        0.177481
FIRE:   89 02:56:54     -205.503433        0.241575
FIRE:   90 02:56:54     -205.563126        0.277820
FIRE:   91 02:56:55     -205.651847        0.259125
FIRE:   92 02:56:55     -205.748717        0.409902
FIRE:   93 02:56:55     -205.856137        0.635980
FIRE:   94 02:56:55     -206.059391        0.849877
FIRE:   95 02:56:55     -206.348819        0.728572
FIRE:   96 02:56:55     -206.527182        0.278828
FIRE:   97 02:56:55     -206.552106        0.150932
FIRE:   98 02:56:55     -206.569333        0.184561
FIRE:   99 02:56:55     -206.584642        0.222931
FIRE:  100 02:56:56     -206.607040        0.149640
