      Step     Time          Energy          fmax
FIRE:    0 03:53:02     -265.380765        2.625262
FIRE:    1 03:53:04     -266.236228        2.415075
FIRE:    2 03:53:06     -267.054805        2.748363
FIRE:    3 03:53:08     -267.837825        3.437449
FIRE:    4 03:53:10     -268.586505        4.082085
FIRE:    5 03:53:12     -269.301537        4.415603
FIRE:    6 03:53:14     -269.983013        4.466717
FIRE:    7 03:53:16     -270.552432        4.286738
FIRE:    8 03:53:17     -270.992121        3.933522
FIRE:    9 03:53:19     -271.379299        3.462792
FIRE:   10 03:53:21     -271.718264        2.923966
