evaluation_pathway,evaluation_frame_index,path_iteration,image_index,reference_split,soap_reference_frame_index,soap_reference_cr_index,soap_cosine_distance,rmsd_reference_frame_index,rmsd_reference_cr_index,cr_local_species_rmsd_A,exact_global_fingerprint_match,exact_reference_frame_indices,exact_local_fingerprint_match,exact_local_reference_centers
1-6,0,1,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,1,1,2,train,1300,80,0.0008563437239770266,,,,False,[],False,[]
1-6,2,1,3,train,546,80,0.003948438695209999,,,,False,[],False,[]
1-6,3,1,4,train,980,80,0.005016696909921681,,,,False,[],False,[]
1-6,4,1,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,5,2,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,6,2,2,train,1823,80,0.0012158835749527253,,,,False,[],False,[]
1-6,7,2,3,train,546,80,0.004608279543076632,,,,False,[],False,[]
1-6,8,2,4,train,980,80,0.004935161926942877,,,,False,[],False,[]
1-6,9,2,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,10,3,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,11,3,2,train,546,80,0.0015919637662816788,698,80,2.6112517355408476,False,[],False,[]
1-6,12,3,3,train,546,80,0.004880381861829597,,,,False,[],False,[]
1-6,13,3,4,train,980,80,0.0049079475553956975,,,,False,[],False,[]
1-6,14,3,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,15,4,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,16,4,2,train,546,80,0.0015738578122401758,698,80,2.611499596756274,False,[],False,[]
1-6,17,4,3,train,546,80,0.004874572273365074,,,,False,[],False,[]
1-6,18,4,4,train,980,80,0.0049101026302219575,,,,False,[],False,[]
1-6,19,4,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,20,5,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,21,5,2,train,546,80,0.0015825373307343238,698,80,2.6114122323047804,False,[],False,[]
1-6,22,5,3,train,546,80,0.004883510985263628,,,,False,[],False,[]
1-6,23,5,4,train,980,80,0.004910285987004603,,,,False,[],False,[]
1-6,24,5,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,25,6,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,26,6,2,train,546,80,0.0015834751860912544,698,80,2.6114610465535337,False,[],False,[]
1-6,27,6,3,train,546,80,0.0048949515662072285,,,,False,[],False,[]
1-6,28,6,4,train,980,80,0.004912500795104302,,,,False,[],False,[]
1-6,29,6,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,30,7,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,31,7,2,train,546,80,0.0015844906057520536,698,80,2.611510408102624,False,[],False,[]
1-6,32,7,3,train,546,80,0.004906248417440695,,,,False,[],False,[]
1-6,33,7,4,train,980,80,0.004914707411945107,,,,False,[],False,[]
1-6,34,7,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,35,8,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,36,8,2,train,546,80,0.001586644302672191,698,80,2.611609842910988,False,[],False,[]
1-6,37,8,3,train,546,80,0.004928442562311064,,,,False,[],False,[]
1-6,38,8,4,train,980,80,0.00491914809470928,,,,False,[],False,[]
1-6,39,8,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
1-6,40,9,1,train,662,80,0.00036302195795756553,,,,False,[],False,[]
1-6,41,9,2,train,156,80,0.0015880094400586575,698,80,2.6118719891417896,False,[],False,[]
1-6,42,9,3,train,546,80,0.004980284220351794,,,,False,[],False,[]
1-6,43,9,4,train,980,80,0.004930197670026892,,,,False,[],False,[]
1-6,44,9,5,train,980,80,0.0073445726743749384,,,,False,[],False,[]
