optimizer_iteration,image_index,energy_eV,relative_energy_eV,true_force_fmax_eV_A,neb_force_fmax_eV_A,neb_residual_eV_A,is_endpoint
0,0,-199.94432686527367,0.0,1.7759272846392213,,,True
0,1,-194.35633565356042,5.587991211713245,18.319856026796412,6.169725602148005,6.110125478073261,False
0,2,-194.16631827106409,5.778008594209581,15.615329302187337,4.729720269238847,4.6664053359092055,False
0,3,-198.0730257406344,1.871301124639274,4.440461957859891,4.70006420403851,4.599764833658741,False
0,4,-199.04203415664497,0.9022927086286927,1.8787432888577487,,,True
1,0,-199.94432686527367,0.0,1.7759272846392213,,,True
1,1,-195.6318268147715,4.312500050502166,16.456480527562142,4.495710456810487,4.429956146385102,False
1,2,-195.4435781392044,4.500748726069276,14.122072059771458,3.4810748323696314,3.4526982708308354,False
1,3,-199.27617206878466,0.6681547964890058,3.3254381080437403,3.3459648642679602,3.222357067467024,False
1,4,-199.04203415664497,0.9022927086286927,1.8787432888577487,,,True
2,0,-199.94432686527367,0.0,1.7759272846392213,,,True
2,1,-196.79411573944535,3.1502111258283207,15.038323159107785,3.21836059054529,3.1453848697589577,False
2,2,-196.6115413311491,3.332785534124554,12.954251159261325,2.5269994344805924,2.5187174723187513,False
2,3,-200.36240918695808,-0.41808232168440895,2.5330522423769586,2.2250571217118726,2.0694578460468676,False
2,4,-199.04203415664497,0.9022927086286927,1.8787432888577487,,,True
3,0,-199.94432686527367,0.0,1.7759272846392213,,,True
3,1,-197.85462679619604,2.0897000690776224,14.01544315234678,2.247115069893896,2.1659371874899733,False
3,2,-197.67885740718992,2.265469458083743,12.102786331327568,1.8147323917930656,1.813594703168437,False
3,3,-201.35671109024148,-1.4123842249678091,1.957185540565893,1.7365972525343916,1.726918355435318,False
3,4,-199.04203415664497,0.9022927086286927,1.8787432888577487,,,True
4,0,-199.94432686527367,0.0,1.7759272846392213,,,True
4,1,-198.82291728799854,1.1214095772751307,13.278267629598835,1.5817989059609718,1.405913728908644,False
4,2,-198.65407515588137,1.2902517093922938,11.492741403210347,1.5801527740311554,1.3374591194717862,False
4,3,-202.27297581665596,-2.3286489513822914,1.6094361984764645,1.623403283403565,1.6147819196443416,False
4,4,-199.04203415664497,0.9022927086286927,1.8787432888577487,,,True
5,0,-199.94432686527367,0.0,1.7759272846392213,,,True
5,1,-199.7033726771137,0.24095418815997505,12.728685429149644,1.4952507290436596,1.2605641569491302,False
5,2,-199.54134686305022,0.402980002223444,11.054277680303162,1.4935420693796122,1.259256519752498,False
5,3,-203.1166850164502,-3.1723581511765246,1.512671940006122,1.5086947271688582,1.4930881856991454,False
5,4,-199.04203415664497,0.9022927086286927,1.8787432888577487,,,True
6,0,-199.94432686527367,0.0,1.7759272846392213,,,True
