optimizer_iteration,image_index,energy_eV,relative_energy_eV,true_force_fmax_eV_A,neb_force_fmax_eV_A,neb_residual_eV_A,is_endpoint
0,0,-200.46618232831565,0.0,1.689185873978655,,,True
0,1,-175.36015765182967,25.106024676485987,125.34081102060354,122.37103602838853,122.35327771342502,False
0,2,-200.09878695232268,0.36739537599297023,1.7851204387367732,1.7723774288546728,1.5104375813364794,False
0,3,-199.306579312558,1.1596030157576536,1.8773759320962984,1.8633440373377015,1.7588201052864127,False
0,4,-199.74765241971934,0.7185299085963095,1.7717059769015175,,,True
1,0,-200.46618232831565,0.0,1.689185873978655,,,True
1,1,-190.70609858421062,9.760083744105032,42.79362377719113,41.55114712434822,41.5142177339386,False
1,2,-200.21766798266765,0.24851434564800456,1.7747481519548898,1.7629675836038483,1.5013492714050036,False
1,3,-199.43617947856532,1.030002849750332,1.863953365562437,1.8466421658170336,1.7404322943560275,False
1,4,-199.74765241971934,0.7185299085963095,1.7717059769015175,,,True
2,0,-200.46618232831565,0.0,1.689185873978655,,,True
2,1,-196.05716552638185,4.409016801933802,17.01495310897758,15.706137839598801,15.648085334195445,False
2,2,-200.40678481256097,0.05939751575468222,1.7579074142467899,1.747722223413713,1.4865447718859708,False
2,3,-199.6423486912466,0.8238336370690433,1.84223681739436,1.8170802701091346,1.7078577966291817,False
2,4,-199.74765241971934,0.7185299085963095,1.7717059769015175,,,True
3,0,-200.46618232831565,0.0,1.689185873978655,,,True
3,1,-198.34125076574412,2.1249315625715326,8.126937630112657,6.720483925755724,6.6195517721359645,False
3,2,-200.694398826149,-0.2282164978333583,1.7314120884578934,1.723254997021191,1.4624797030492889,False
3,3,-199.95596890112094,0.5102134271947136,1.8083235257441148,1.774010015991847,1.660106568654815,False
3,4,-199.74765241971934,0.7185299085963095,1.7717059769015175,,,True
4,0,-200.46618232831565,0.0,1.689185873978655,,,True
4,1,-199.7260082328024,0.7401740955132539,5.188124731168892,3.1925403077335432,2.9890450976805836,False
4,2,-201.09043249439057,-0.6242501660749156,1.6929789755311826,1.687216692073835,1.4265012755955786,False
4,3,-200.38776623156252,0.07841609675313066,1.759719871141865,1.7184352000176997,1.5978738007789313,False
4,4,-199.74765241971934,0.7185299085963095,1.7717059769015175,,,True
5,0,-200.46618232831565,0.0,1.689185873978655,,,True
5,1,-200.7733628488288,-0.3071805205131568,3.1956071966661748,1.9629230538118108,1.958176737011889,False
5,2,-201.57995688306713,-1.1137745547514726,1.6418677343091688,1.638764704498275,1.3773293460470997,False
5,3,-200.92116299842158,-0.45498067010592536,1.696128019969205,1.6458217200459453,1.5158408227843228,False
5,4,-199.74765241971934,0.7185299085963095,1.7717059769015175,,,True
6,0,-200.46618232831565,0.0,1.689185873978655,,,True
6,1,-201.60810947941377,-1.1419271510981162,1.8248331382926652,1.7359648188292167,1.7293764738755169,False
6,2,-202.14276942509062,-1.6765870967749663,1.5771658088957736,1.576082494837416,1.3124097899312765,False
6,3,-201.53385247419519,-1.0676701458795321,1.617206904359611,1.5562693720808642,1.4135999006013595,False
6,4,-199.74765241971934,0.7185299085963095,1.7717059769015175,,,True
7,0,-200.46618232831565,0.0,1.689185873978655,,,True
7,1,-202.3019701815245,-1.835787853208842,1.5028054494906382,1.5710533834496607,1.5631041012270517,False
7,2,-202.74213719131475,-2.2759548629991,1.4993752501410766,1.4989244247165237,1.2510604616276424,False
7,3,-202.18555523880366,-1.719372910488005,1.5242969462626383,1.4523398506755891,1.2936486496710604,False
7,4,-199.74765241971934,0.7185299085963095,1.7717059769015175,,,True
8,0,-200.46618232831565,0.0,1.689185873978655,,,True
8,1,-202.91665933394617,-2.4504770056305176,1.427835422309567,1.4569342539317756,1.448375311785052,False
8,2,-203.346787553296,-2.880605224980343,1.4134604118494936,1.4140633326608474,1.1793828886233857,False
8,3,-202.84193602973502,-2.37575370141937,1.417592729598858,1.3358842548321779,1.16643178223765,False
8,4,-199.74765241971934,0.7185299085963095,1.7717059769015175,,,True
9,0,-200.46618232831565,0.0,1.689185873978655,,,True
9,1,-203.47751396318006,-3.011331634864405,1.3450006118083684,1.36770805198669,1.3587450874327438,False
9,2,-203.92867447125525,-3.4624921429395954,1.3113200202180053,1.3115434270826234,1.0867185021593766,False
9,3,-203.4722938693127,-3.00611154099704,1.29628971327364,1.2082019649799327,1.0891007465807327,False
9,4,-199.74765241971934,0.7185299085963095,1.7717059769015175,,,True
10,0,-200.46618232831565,0.0,1.689185873978655,,,True
10,1,-203.98636616882905,-3.520183840513397,1.3068570007574134,1.360927284792652,1.282907410136162,False
10,2,-204.464390869957,-3.9982085416413327,1.196788379985535,1.179080341231131,0.9756105686408556,False
10,3,-204.05114338416334,-3.5849610558476854,1.1582523106925373,1.0695278788286795,1.0031136103726688,False
10,4,-199.74765241971934,0.7185299085963095,1.7717059769015175,,,True
11,0,-200.46618232831565,0.0,1.689185873978655,,,True
11,1,-204.438225599524,-3.9720432712083493,1.4256206217675294,1.3722393919082563,1.2154241114704694,False
11,2,-204.93546133479174,-4.469279006476086,1.1835016926301527,1.0308321702717076,0.8589272773116502,False
11,3,-204.55866134183555,-4.092479013519892,0.9997854693622497,0.9185291789046838,0.9098951196295916,False
11,4,-199.74765241971934,0.7185299085963095,1.7717059769015175,,,True
12,0,-200.46618232831565,0.0,1.689185873978655,,,True
12,1,-204.8268495496688,-4.36066722135314,1.5327065812342962,1.3521160927862512,1.2040313903312383,False
12,2,-205.3287885503487,-4.862606222033037,1.1734491335591473,0.8572609885789811,0.7656534356019785,False
12,3,-204.98144209874303,-4.515259770427377,0.877343906049405,0.8190276257314862,0.8108108031023362,False
12,4,-199.74765241971934,0.7185299085963095,1.7717059769015175,,,True
13,0,-200.46618232831565,0.0,1.689185873978655,,,True
13,1,-205.14808661876594,-4.681904290450291,1.6202583938235682,1.2960151276751453,1.192128501767925,False
13,2,-205.63760423884617,-5.171421910530512,1.160775996207563,0.6748581924007314,0.6616583521952906,False
13,3,-205.31386299064397,-4.847680662328315,0.7539755551309183,0.7203106637246698,0.7065866608184062,False
13,4,-199.74765241971934,0.7185299085963095,1.7717059769015175,,,True
14,0,-200.46618232831565,0.0,1.689185873978655,,,True
14,1,-205.40240081099702,-4.936218482681369,1.6748150297539581,1.199605468835946,1.1202374949660656,False
14,2,-205.8630108392288,-5.396828510913139,1.1395492154980496,0.8154775090518329,0.6736293971446503,False
14,3,-205.55968519067653,-5.093502862360879,0.7435479016147805,0.744295109175175,0.6436198643432844,False
14,4,-199.74765241971934,0.7185299085963095,1.7717059769015175,,,True
15,0,-200.46618232831565,0.0,1.689185873978655,,,True
15,1,-205.59617008022974,-5.129987751914086,1.681358287666279,1.060718682385717,0.9901876971291645,False
15,2,-206.0156200335849,-5.549437705269241,1.1047558272238562,0.8723798855314049,0.7859321394168346,False
15,3,-205.73203923081422,-5.2658569024985695,0.8925867175378907,0.8673530559830762,0.7174672892606341,False
15,4,-199.74765241971934,0.7185299085963095,1.7717059769015175,,,True
16,0,-200.46618232831565,0.0,1.689185873978655,,,True
16,1,-205.74264577828865,-5.276463449972994,1.6294993201752763,1.0996938953462363,1.096704415606646,False
16,2,-206.1167624984387,-5.65058017012305,1.0533300954825118,0.8863905922460446,0.886046442527746,False
16,3,-205.8501896616479,-5.384007333332249,1.047774199662347,0.9744011034242503,0.7821678281008076,False
16,4,-199.74765241971934,0.7185299085963095,1.7717059769015175,,,True
17,0,-200.46618232831565,0.0,1.689185873978655,,,True
17,1,-205.8639733190245,-5.397790990708842,1.517758369277073,1.1725198576956901,1.1675422130432682,False
17,2,-206.1988378046098,-5.7326554762941555,1.1010650485459517,1.098742484646368,0.9606268026254274,False
17,3,-205.93585569390956,-5.469673365593906,1.0794197104340504,0.9721333603542375,0.8328628553373537,False
17,4,-199.74765241971934,0.7185299085963095,1.7717059769015175,,,True
18,0,-200.46618232831565,0.0,1.689185873978655,,,True
18,1,-205.99152990789284,-5.525347579577186,1.3544232379701437,1.2428262539532242,1.1787883247488669,False
18,2,-206.30149228901112,-5.835309960695469,1.2476244307278441,1.2461999844029192,0.9944064750349186,False
18,3,-206.01279504116513,-5.54661271284948,1.0833975611431088,0.9416692211182078,0.9328958143070004,False
18,4,-199.74765241971934,0.7185299085963095,1.7717059769015175,,,True
19,0,-200.46618232831565,0.0,1.689185873978655,,,True
