      Step     Time          Energy          fmax
FIRE:    0 08:18:22     -200.093871      118.761679
FIRE:    1 08:18:24     -215.214365       40.254892
FIRE:    2 08:18:25     -220.237983       14.335177
FIRE:    3 08:18:26     -222.243626        5.915568
FIRE:    4 08:18:27     -223.318019        3.155686
FIRE:    5 08:18:28     -224.017672        1.399414
FIRE:    6 08:18:30     -224.458662        1.291914
FIRE:    7 08:18:31     -224.740764        1.201777
FIRE:    8 08:18:32     -224.938293        1.114836
FIRE:    9 08:18:33     -225.077303        1.001479
FIRE:   10 08:18:34     -225.174946        0.867279
FIRE:   11 08:18:35     -225.250586        0.952794
FIRE:   12 08:18:36     -225.326297        1.078490
FIRE:   13 08:18:37     -225.423301        1.161048
FIRE:   14 08:18:38     -225.555320        1.156773
FIRE:   15 08:18:40     -225.722161        1.061661
FIRE:   16 08:18:41     -225.909916        0.893661
FIRE:   17 08:18:42     -226.097308        0.793070
FIRE:   18 08:18:43     -226.263027        0.631128
FIRE:   19 08:18:44     -226.390903        0.409937
FIRE:   20 08:18:45     -226.473047        0.484374
FIRE:   21 08:18:46     -226.512001        0.540126
FIRE:   22 08:18:47     -226.519510        0.553938
FIRE:   23 08:18:48     -226.511640        0.531874
FIRE:   24 08:18:50     -226.630103        0.396533
FIRE:   25 08:18:51     -226.725488        0.284147
FIRE:   26 08:18:52     -226.747103        0.494945
FIRE:   27 08:18:53     -226.760409        0.425186
FIRE:   28 08:18:54     -226.781556        0.298469
FIRE:   29 08:18:55     -226.802551        0.200913
FIRE:   30 08:18:56     -226.817362        0.155149
FIRE:   31 08:18:57     -226.825763        0.150067
FIRE:   32 08:18:58     -226.832733        0.198317
FIRE:   33 08:19:00     -226.843218        0.199828
FIRE:   34 08:19:01     -226.860596        0.198640
FIRE:   35 08:19:02     -226.883041        0.168134
FIRE:   36 08:19:03     -226.905159        0.133873
FIRE:   37 08:19:04     -226.923601        0.230547
FIRE:   38 08:19:05     -226.922713        0.213955
FIRE:   39 08:19:06     -226.922300        0.170873
FIRE:   40 08:19:07     -226.910880        0.172983
FIRE:   41 08:19:09     -226.896916        0.130551
FIRE:   42 08:19:10     -226.885485        0.101916
FIRE:   43 08:19:11     -226.870690        0.112827
FIRE:   44 08:19:12     -226.857905        0.114751
FIRE:   45 08:19:13     -226.851287        0.097019
