      Step     Time          Energy          fmax
FIRE:    0 08:19:09     -220.213253       15.176882
FIRE:    1 08:19:10     -222.149170        7.171979
FIRE:    2 08:19:10     -223.338887        3.780340
FIRE:    3 08:19:11     -224.133998        1.981611
FIRE:    4 08:19:12     -224.700378        0.926942
FIRE:    5 08:19:12     -225.121764        0.782066
FIRE:    6 08:19:13     -225.445836        0.636343
FIRE:    7 08:19:14     -225.704643        0.528818
FIRE:    8 08:19:14     -225.888347        0.495579
FIRE:    9 08:19:15     -226.037035        0.607892
FIRE:   10 08:19:16     -226.192652        0.710016
FIRE:   11 08:19:16     -226.354690        0.708282
FIRE:   12 08:19:17     -226.513281        0.606712
FIRE:   13 08:19:17     -226.653711        0.421567
FIRE:   14 08:19:18     -226.762013        0.339007
FIRE:   15 08:19:19     -226.830415        0.259905
FIRE:   16 08:19:19     -226.861631        0.272611
FIRE:   17 08:19:20     -226.866676        0.379427
FIRE:   18 08:19:21     -226.855274        0.369300
FIRE:   19 08:19:21     -226.868197        0.272021
FIRE:   20 08:19:22     -226.884331        0.215125
FIRE:   21 08:19:23     -226.892844        0.185728
FIRE:   22 08:19:23     -226.893080        0.314524
FIRE:   23 08:19:24     -226.894917        0.396585
FIRE:   24 08:19:25     -226.905220        0.352854
FIRE:   25 08:19:25     -226.920055        0.205821
FIRE:   26 08:19:26     -226.930063        0.123953
FIRE:   27 08:19:27     -226.928695        0.174890
FIRE:   28 08:19:27     -226.925319        0.204661
FIRE:   29 08:19:28     -226.923238        0.088488
