      Step     Time          Energy          fmax
FIRE:    0 10:49:15     -224.011674        1.262715
FIRE:    1 10:49:16     -224.287391        1.155594
FIRE:    2 10:49:17     -224.739909        0.954945
FIRE:    3 10:49:18     -225.147414        0.733727
FIRE:    4 10:49:19     -225.453195        0.599076
FIRE:    5 10:49:20     -225.681889        0.630212
FIRE:    6 10:49:21     -225.864516        0.651239
FIRE:    7 10:49:22     -226.030604        0.676325
FIRE:    8 10:49:23     -226.200506        0.703763
FIRE:    9 10:49:23     -226.376765        0.732189
FIRE:   10 10:49:24     -226.546707        0.759788
FIRE:   11 10:49:25     -226.692082        0.777509
FIRE:   12 10:49:26     -226.798356        0.771083
FIRE:   13 10:49:27     -226.860652        0.727284
FIRE:   14 10:49:28     -226.887224        0.637881
FIRE:   15 10:49:29     -226.894815        0.500421
FIRE:   16 10:49:30     -226.896750        0.318467
FIRE:   17 10:49:30     -226.895924        0.285343
FIRE:   18 10:49:31     -226.886177        0.412696
FIRE:   19 10:49:32     -226.894769        0.359488
FIRE:   20 10:49:33     -226.909449        0.267749
FIRE:   21 10:49:34     -226.926670        0.253223
FIRE:   22 10:49:35     -226.943388        0.249918
FIRE:   23 10:49:36     -226.957389        0.247938
FIRE:   24 10:49:36     -226.967006        0.244090
FIRE:   25 10:49:37     -226.971315        0.237737
FIRE:   26 10:49:38     -226.970739        0.230807
FIRE:   27 10:49:39     -226.967417        0.227971
FIRE:   28 10:49:40     -226.965653        0.229398
FIRE:   29 10:49:41     -226.968495        0.229684
FIRE:   30 10:49:42     -226.976349        0.230007
FIRE:   31 10:49:43     -226.985407        0.223224
FIRE:   32 10:49:43     -226.990755        0.188891
FIRE:   33 10:49:44     -226.992619        0.147066
FIRE:   34 10:49:45     -226.994706        0.131292
FIRE:   35 10:49:46     -227.000639        0.229655
FIRE:   36 10:49:47     -227.013060        0.276710
FIRE:   37 10:49:48     -227.031700        0.147993
FIRE:   38 10:49:49     -227.055058        0.135454
FIRE:   39 10:49:49     -227.082121        0.237427
FIRE:   40 10:49:50     -227.110851        0.141772
FIRE:   41 10:49:51     -227.141795        0.128009
FIRE:   42 10:49:52     -227.175924        0.145756
FIRE:   43 10:49:53     -227.212075        0.108495
FIRE:   44 10:49:54     -227.249386        0.152477
FIRE:   45 10:49:55     -227.287336        0.128991
FIRE:   46 10:49:56     -227.326610        0.131228
FIRE:   47 10:49:56     -227.368285        0.138373
FIRE:   48 10:49:57     -227.412422        0.142657
FIRE:   49 10:49:58     -227.458331        0.144796
FIRE:   50 10:49:59     -227.504589        0.143207
FIRE:   51 10:50:00     -227.548189        0.134428
FIRE:   52 10:50:01     -227.585514        0.116608
FIRE:   53 10:50:02     -227.613610        0.090400
