      Step     Time          Energy          fmax
FIRE:    0 02:30:57     -223.059472        1.578656
FIRE:    1 02:30:58     -223.482401        1.420849
FIRE:    2 02:30:59     -224.120992        1.151153
FIRE:    3 02:31:00     -224.630556        0.920175
FIRE:    4 02:31:01     -225.032649        0.707873
FIRE:    5 02:31:01     -225.354922        0.595917
FIRE:    6 02:31:02     -225.627874        0.570028
FIRE:    7 02:31:03     -225.878647        0.653078
FIRE:    8 02:31:04     -226.126338        0.683059
FIRE:    9 02:31:05     -226.375893        0.670556
FIRE:   10 02:31:06     -226.619734        0.704810
FIRE:   11 02:31:07     -226.843783        0.786525
FIRE:   12 02:31:08     -227.034015        0.847443
FIRE:   13 02:31:09     -227.181136        0.881084
FIRE:   14 02:31:10     -227.283559        0.887108
FIRE:   15 02:31:10     -227.348026        0.869235
FIRE:   16 02:31:11     -227.384713        0.829805
FIRE:   17 02:31:12     -227.400845        0.761190
FIRE:   18 02:31:13     -227.397848        0.644524
FIRE:   19 02:31:14     -227.373941        0.461047
FIRE:   20 02:31:15     -227.332400        0.218128
FIRE:   21 02:31:16     -227.351038        0.225189
FIRE:   22 02:31:16     -227.380816        0.237225
FIRE:   23 02:31:17     -227.411636        0.248106
FIRE:   24 02:31:18     -227.435711        0.247332
FIRE:   25 02:31:19     -227.448450        0.223510
FIRE:   26 02:31:20     -227.447967        0.168965
FIRE:   27 02:31:21     -227.438233        0.086554
FIRE:   28 02:31:22     -227.438928        0.085237
FIRE:   29 02:31:23     -227.440223        0.082642
FIRE:   30 02:31:23     -227.441947        0.078854
FIRE:   31 02:31:24     -227.443896        0.074010
FIRE:   32 02:31:25     -227.445879        0.068315
FIRE:   33 02:31:26     -227.447741        0.062044
FIRE:   34 02:31:27     -227.449381        0.055537
FIRE:   35 02:31:28     -227.450846        0.054958
FIRE:   36 02:31:29     -227.451921        0.052678
FIRE:   37 02:31:30     -227.452288        0.049396
