optimizer_iteration,image_index,base_energy_eV,restrained_energy_eV,tether_energy_eV,base_fmax_eV_A,restrained_fmax_eV_A,max_reference_displacement_A
0,0,-223.69820950287865,-223.69820950287865,0.0,1.488405944804918,1.488405944804918,0.0
0,1,-223.1665285802137,-223.1665285802137,0.0,1.4561440534111905,1.4561440534111905,0.0
0,2,-223.05947246721354,-223.05947246721354,0.0,1.5781215261843997,1.5781215261843997,0.0
0,3,-223.8266406064774,-223.8266406064774,0.0,1.5035374833875257,1.5035374833875257,0.0
0,4,-224.5000799362657,-224.5000799362657,0.0,1.3418718009396498,1.3418718009396498,0.0
1,0,-223.69820950287865,-223.69820950287865,0.0,1.488405944804918,1.488405944804918,0.0
1,1,-223.58560864692052,-223.58560864692052,0.0,1.31315264445656,1.31315264445656,0.0
1,2,-223.48240083937134,-223.48240083937134,0.0,1.4201380499601202,1.4201380499601202,0.0
1,3,-224.1903222022795,-224.1903222022795,0.0,1.3588082920521327,1.3588082920521327,0.0
1,4,-224.5000799362657,-224.5000799362657,0.0,1.3418718009396498,1.3418718009396498,0.0
2,0,-223.69820950287865,-223.69820950287865,0.0,1.488405944804918,1.488405944804918,0.0
2,1,-224.2159187133071,-224.2159187133071,0.0,1.0681950752979497,1.0681950752979497,0.0
2,2,-224.12099221848445,-224.12099221848445,0.0,1.1502768470997653,1.1502768470997653,0.0
2,3,-224.74487922149416,-224.74487922149416,0.0,1.1125897661449125,1.1125897661449125,0.0
2,4,-224.5000799362657,-224.5000799362657,0.0,1.3418718009396498,1.3418718009396498,0.0
3,0,-223.69820950287865,-223.69820950287865,0.0,1.488405944804918,1.488405944804918,0.0
3,1,-224.71567540256865,-224.71567540256865,0.0,0.8392174297732744,0.8392174297732744,0.0
3,2,-224.63055628428867,-224.63055628428867,0.0,0.8983801218491598,0.8983801218491598,0.0
3,3,-225.19467198677467,-225.19467198677467,0.0,0.8969486268816661,0.8969486268816661,0.0
3,4,-224.5000799362657,-224.5000799362657,0.0,1.3418718009396498,1.3418718009396498,0.0
4,0,-223.69820950287865,-223.69820950287865,0.0,1.488405944804918,1.488405944804918,0.0
4,1,-225.1066722032399,-225.1066722032399,0.0,0.6441854434410488,0.6441854434410488,0.0
4,2,-225.03264931154527,-225.03264931154527,0.0,0.695322031981204,0.695322031981204,0.0
4,3,-225.5577777916781,-225.5577777916781,0.0,0.7050019721229277,0.7050019721229277,0.0
4,4,-224.5000799362657,-224.5000799362657,0.0,1.3418718009396498,1.3418718009396498,0.0
5,0,-223.69820950287865,-223.69820950287865,0.0,1.488405944804918,1.488405944804918,0.0
5,1,-225.4181066536979,-225.4181066536979,0.0,0.49763551062611516,0.49763551062611516,0.0
5,2,-225.35492232053556,-225.35492232053556,0.0,0.5522413954798098,0.5522413954798098,0.0
5,3,-225.85567506563888,-225.85567506563888,0.0,0.5289592403273069,0.5289592403273069,0.0
5,4,-224.5000799362657,-224.5000799362657,0.0,1.3418718009396498,1.3418718009396498,0.0
6,0,-223.69820950287865,-223.69820950287865,0.0,1.488405944804918,1.488405944804918,0.0
6,1,-225.68227417635362,-225.68227417635362,0.0,0.5447855021708742,0.5447855021708742,0.0
6,2,-225.62787410470634,-225.62787410470634,0.0,0.5712612401454942,0.5712612401454942,0.0
6,3,-226.1121215230346,-226.1121215230346,0.0,0.5317116468755383,0.5317116468755383,0.0
6,4,-224.5000799362657,-224.5000799362657,0.0,1.3418718009396498,1.3418718009396498,0.0
7,0,-223.69820950287865,-223.69820950287865,0.0,1.488405944804918,1.488405944804918,0.0
7,1,-225.92723304884186,-225.92723304884186,0.0,0.6163661636252347,0.6163661636252347,0.0
7,2,-225.87864734326124,-225.87864734326124,0.0,0.6543884502912647,0.6543884502912647,0.0
7,3,-226.34831802564563,-226.34831802564563,0.0,0.5811450642699506,0.5811450642699506,0.0
7,4,-224.5000799362657,-224.5000799362657,0.0,1.3418718009396498,1.3418718009396498,0.0
8,0,-223.69820950287865,-223.69820950287865,0.0,1.488405944804918,1.488405944804918,0.0
8,1,-226.1718649776821,-226.1718649776821,0.0,0.6356974293534179,0.6356974293534179,0.0
8,2,-226.12633833765602,-226.12633833765602,0.0,0.6847547857865108,0.6847547857865108,0.0
8,3,-226.57926764695483,-226.57926764695483,0.0,0.6097212615504229,0.6097212615504229,0.0
8,4,-224.5000799362657,-224.5000799362657,0.0,1.3418718009396498,1.3418718009396498,0.0
9,0,-223.69820950287865,-223.69820950287865,0.0,1.488405944804918,1.488405944804918,0.0
9,1,-226.4204726224715,-226.4204726224715,0.0,0.6067155228191711,0.6067155228191711,0.0
9,2,-226.3758927789193,-226.3758927789193,0.0,0.672228631610253,0.672228631610253,0.0
9,3,-226.80892327881187,-226.80892327881187,0.0,0.6104715043615356,0.6104715043615356,0.0
9,4,-224.5000799362657,-224.5000799362657,0.0,1.3418718009396498,1.3418718009396498,0.0
10,0,-223.69820950287865,-223.69820950287865,0.0,1.488405944804918,1.488405944804918,0.0
10,1,-226.66499977964833,-226.66499977964833,0.0,0.5372377921476565,0.5372377921476565,0.0
10,2,-226.61973396022833,-226.61973396022833,0.0,0.6130580975986019,0.6130580975986019,0.0
10,3,-227.03140976074053,-227.03140976074053,0.0,0.5693303452597643,0.5693303452597643,0.0
10,4,-224.5000799362657,-224.5000799362657,0.0,1.3418718009396498,1.3418718009396498,0.0
11,0,-223.69820950287865,-223.69820950287865,0.0,1.488405944804918,1.488405944804918,0.0
11,1,-226.89130404550195,-226.89130404550195,0.0,0.4766348933822812,0.4766348933822812,0.0
11,2,-226.8437833210264,-226.8437833210264,0.0,0.5174154663437367,0.5174154663437367,0.0
11,3,-227.235363419002,-227.235363419002,0.0,0.493747082167603,0.493747082167603,0.0
11,4,-224.5000799362657,-224.5000799362657,0.0,1.3418718009396498,1.3418718009396498,0.0
12,0,-223.69820950287865,-223.69820950287865,0.0,1.488405944804918,1.488405944804918,0.0
12,1,-227.08595621844904,-227.08595621844904,0.0,0.509052189019475,0.509052189019475,0.0
12,2,-227.0340145938292,-227.0340145938292,0.0,0.3966925542996975,0.3966925542996975,0.0
12,3,-227.40886674652862,-227.40886674652862,0.0,0.3919037125850957,0.3919037125850957,0.0
12,4,-224.5000799362657,-224.5000799362657,0.0,1.3418718009396498,1.3418718009396498,0.0
13,0,-223.69820950287865,-223.69820950287865,0.0,1.488405944804918,1.488405944804918,0.0
13,1,-227.2416493720095,-227.2416493720095,0.0,0.5435951790609262,0.5435951790609262,0.0
13,2,-227.18113603057168,-227.18113603057168,0.0,0.2781782594144947,0.2781782594144947,0.0
13,3,-227.5434841528349,-227.5434841528349,0.0,0.27282037041606655,0.27282037041606655,0.0
13,4,-224.5000799362657,-224.5000799362657,0.0,1.3418718009396498,1.3418718009396498,0.0
14,0,-223.69820950287865,-223.69820950287865,0.0,1.488405944804918,1.488405944804918,0.0
14,1,-227.36158836661377,-227.36158836661377,0.0,0.5866757005703123,0.5866757005703123,0.0
14,2,-227.28355924720645,-227.28355924720645,0.0,0.2774082467003865,0.2774082467003865,0.0
14,3,-227.63777716392823,-227.63777716392823,0.0,0.21028480476891964,0.21028480476891964,0.0
14,4,-224.5000799362657,-224.5000799362657,0.0,1.3418718009396498,1.3418718009396498,0.0
15,0,-223.69820950287865,-223.69820950287865,0.0,1.488405944804918,1.488405944804918,0.0
15,1,-227.4606351925441,-227.4606351925441,0.0,0.6376206204302394,0.6376206204302394,0.0
15,2,-227.34802646544935,-227.34802646544935,0.0,0.2805256338699517,0.2805256338699517,0.0
15,3,-227.69973956862881,-227.69973956862881,0.0,0.22380262139656293,0.22380262139656293,0.0
15,4,-224.5000799362657,-224.5000799362657,0.0,1.3418718009396498,1.3418718009396498,0.0
16,0,-223.69820950287865,-223.69820950287865,0.0,1.488405944804918,1.488405944804918,0.0
16,1,-227.55636060567195,-227.55636060567195,0.0,0.6841107094467522,0.6841107094467522,0.0
16,2,-227.38471293487112,-227.38471293487112,0.0,0.28584819138903805,0.28584819138903805,0.0
16,3,-227.7429213925198,-227.7429213925198,0.0,0.2195145084089941,0.2195145084089941,0.0
16,4,-224.5000799362657,-224.5000799362657,0.0,1.3418718009396498,1.3418718009396498,0.0
17,0,-223.69820950287865,-223.69820950287865,0.0,1.488405944804918,1.488405944804918,0.0
17,1,-227.65716225772684,-227.65716225772684,0.0,0.7036462529941374,0.7036462529941374,0.0
17,2,-227.4008454443445,-227.4008454443445,0.0,0.2923500346752076,0.2923500346752076,0.0
17,3,-227.77814964170872,-227.77814964170872,0.0,0.22678451261139376,0.22678451261139376,0.0
17,4,-224.5000799362657,-224.5000799362657,0.0,1.3418718009396498,1.3418718009396498,0.0
18,0,-223.69820950287865,-223.69820950287865,0.0,1.488405944804918,1.488405944804918,0.0
18,1,-227.75574155544146,-227.75574155544146,0.0,0.6681117663250086,0.6681117663250086,0.0
18,2,-227.39784807197762,-227.39784807197762,0.0,0.30006634279332695,0.30006634279332695,0.0
18,3,-227.80754930109086,-227.80754930109086,0.0,0.2017857566307388,0.2017857566307388,0.0
18,4,-224.5000799362657,-224.5000799362657,0.0,1.3418718009396498,1.3418718009396498,0.0
19,0,-223.69820950287865,-223.69820950287865,0.0,1.488405944804918,1.488405944804918,0.0
19,1,-227.83120163453276,-227.83120163453276,0.0,0.553672010492978,0.553672010492978,0.0
19,2,-227.3739409455357,-227.3739409455357,0.0,0.30835116883954955,0.30835116883954955,0.0
19,3,-227.82416974146105,-227.82416974146105,0.0,0.13734288388790072,0.13734288388790072,0.0
19,4,-224.5000799362657,-224.5000799362657,0.0,1.3418718009396498,1.3418718009396498,0.0
20,0,-223.69820950287865,-223.69820950287865,0.0,1.488405944804918,1.488405944804918,0.0
20,1,-227.8599181178492,-227.8599181178492,0.0,0.3551194249519455,0.3551194249519455,0.0
20,2,-227.3324002238877,-227.3324002238877,0.0,0.314019933029945,0.314019933029945,0.0
20,3,-227.8185853698466,-227.8185853698466,0.0,0.13405403202398986,0.13405403202398986,0.0
20,4,-224.5000799362657,-224.5000799362657,0.0,1.3418718009396498,1.3418718009396498,0.0
21,0,-223.69820950287865,-223.69820950287865,0.0,1.488405944804918,1.488405944804918,0.0
21,1,-227.86981692503338,-227.86981692503338,0.0,0.3578125153488043,0.3578125153488043,0.0
21,2,-227.35103750145882,-227.35103750145882,0.0,0.30961172220633904,0.30961172220633904,0.0
21,3,-227.82394642496968,-227.82394642496968,0.0,0.1221990508430408,0.1221990508430408,0.0
21,4,-224.5000799362657,-224.5000799362657,0.0,1.3418718009396498,1.3418718009396498,0.0
22,0,-223.69820950287865,-223.69820950287865,0.0,1.488405944804918,1.488405944804918,0.0
22,1,-227.88574657483937,-227.88574657483937,0.0,0.361795625510193,0.361795625510193,0.0
22,2,-227.38081589779298,-227.38081589779298,0.0,0.30515678089823556,0.30515678089823556,0.0
22,3,-227.83150055214858,-227.83150055214858,0.0,0.10131922661286755,0.10131922661286755,0.0
22,4,-224.5000799362657,-224.5000799362657,0.0,1.3418718009396498,1.3418718009396498,0.0
23,0,-223.69820950287865,-223.69820950287865,0.0,1.488405944804918,1.488405944804918,0.0
23,1,-227.90357346349072,-227.90357346349072,0.0,0.3629698507426178,0.3629698507426178,0.0
23,2,-227.411635559359,-227.411635559359,0.0,0.30327240199716116,0.30327240199716116,0.0
23,3,-227.83816366768556,-227.83816366768556,0.0,0.07611458820341725,0.07611458820341725,0.0
23,4,-224.5000799362657,-224.5000799362657,0.0,1.3418718009396498,1.3418718009396498,0.0
24,0,-223.69820950287865,-223.69820950287865,0.0,1.488405944804918,1.488405944804918,0.0
24,1,-227.9221621375734,-227.9221621375734,0.0,0.35343601933279034,0.35343601933279034,0.0
24,2,-227.4357111980439,-227.4357111980439,0.0,0.3009166045185666,0.3009166045185666,0.0
24,3,-227.84380570487284,-227.84380570487284,0.0,0.06931616991446521,0.06931616991446521,0.0
24,4,-224.5000799362657,-224.5000799362657,0.0,1.3418718009396498,1.3418718009396498,0.0
25,0,-223.69820950287865,-223.69820950287865,0.0,1.488405944804918,1.488405944804918,0.0
25,1,-227.94198176869676,-227.94198176869676,0.0,0.32309205034623123,0.32309205034623123,0.0
25,2,-227.4484500043788,-227.4484500043788,0.0,0.2946491904683769,0.2946491904683769,0.0
25,3,-227.8497341711813,-227.8497341711813,0.0,0.07851819871968331,0.07851819871968331,0.0
25,4,-224.5000799362657,-224.5000799362657,0.0,1.3418718009396498,1.3418718009396498,0.0
26,0,-223.69820950287865,-223.69820950287865,0.0,1.488405944804918,1.488405944804918,0.0
26,1,-227.96137179865877,-227.96137179865877,0.0,0.26335339487326803,0.26335339487326803,0.0
26,2,-227.44796730243598,-227.44796730243598,0.0,0.2864206183690011,0.2864206183690011,0.0
26,3,-227.85530304986526,-227.85530304986526,0.0,0.07388637157696105,0.07388637157696105,0.0
26,4,-224.5000799362657,-224.5000799362657,0.0,1.3418718009396498,1.3418718009396498,0.0
27,0,-223.69820950287865,-223.69820950287865,0.0,1.488405944804918,1.488405944804918,0.0
27,1,-227.9767847426693,-227.9767847426693,0.0,0.17418613025166224,0.17418613025166224,0.0
27,2,-227.4382327269309,-227.4382327269309,0.0,0.28003041359133607,0.28003041359133607,0.0
27,3,-227.8588035592347,-227.8588035592347,0.0,0.059580736062342314,0.059580736062342314,0.0
27,4,-224.5000799362657,-224.5000799362657,0.0,1.3418718009396498,1.3418718009396498,0.0
28,0,-223.69820950287865,-223.69820950287865,0.0,1.488405944804918,1.488405944804918,0.0
28,1,-227.97728578671084,-227.97728578671084,0.0,0.1722314544768269,0.1722314544768269,0.0
28,2,-227.4389280705199,-227.4389280705199,0.0,0.2799490181654152,0.2799490181654152,0.0
28,3,-227.8590319501827,-227.8590319501827,0.0,0.058803721133739995,0.058803721133739995,0.0
28,4,-224.5000799362657,-224.5000799362657,0.0,1.3418718009396498,1.3418718009396498,0.0
29,0,-223.69820950287865,-223.69820950287865,0.0,1.488405944804918,1.488405944804918,0.0
29,1,-227.9782520897038,-227.9782520897038,0.0,0.16839459485396963,0.16839459485396963,0.0
