optimizer_iteration,image_index,energy_eV,relative_energy_eV,true_force_fmax_eV_A,neb_force_fmax_eV_A,neb_residual_eV_A,is_endpoint
0,0,-223.69820950287865,0.0,1.488405944804918,,,True
0,1,-223.1665285802137,0.5316809226649468,1.4561440534111905,1.4541924666665265,1.4337428002609494,False
0,2,-223.05947246721354,0.6387370356651161,1.5781215261843997,1.5786563672483476,1.5414699535008742,False
0,3,-223.8266406064774,-0.1284311035987571,1.5035374833875257,1.5051046649350108,1.4308550692354887,False
0,4,-224.5000799362657,-0.8018704333870517,1.3418718009396498,,,True
1,0,-223.69820950287865,0.0,1.488405944804918,,,True
1,1,-223.58560864692052,0.11260085595813507,1.31315264445656,1.311171436344483,1.292027220031846,False
1,2,-223.48240083937134,0.21580866350731753,1.4201380499601202,1.4208494570305208,1.3869083818415762,False
1,3,-224.1903222022795,-0.4921126994008489,1.3588082920521327,1.3606406271326705,1.311296884216837,False
1,4,-224.5000799362657,-0.8018704333870517,1.3418718009396498,,,True
2,0,-223.69820950287865,0.0,1.488405944804918,,,True
2,1,-224.2159187133071,-0.5177092104284498,1.0681950752979497,1.0538481626404579,1.0350171089851719,False
2,2,-224.12099221848445,-0.4227827156057913,1.1502768470997653,1.1511527021525465,1.121764459775345,False
2,3,-224.74487922149416,-1.0466697186155045,1.1125897661449125,1.1227518493529014,1.1216182622669533,False
2,4,-224.5000799362657,-0.8018704333870517,1.3418718009396498,,,True
3,0,-223.69820950287865,0.0,1.488405944804918,,,True
3,1,-224.71567540256865,-1.017465899689995,0.8392174297732744,0.8225137394471705,0.8221615065923471,False
3,2,-224.63055628428867,-0.9323467814100184,0.8983801218491598,0.8992747377175948,0.872937303404608,False
3,3,-225.19467198677467,-1.4964624838960106,0.8969486268816661,0.9201752607623279,0.9197028863289556,False
3,4,-224.5000799362657,-0.8018704333870517,1.3418718009396498,,,True
4,0,-223.69820950287865,0.0,1.488405944804918,,,True
4,1,-225.1066722032399,-1.408462700361241,0.6441854434410488,0.6730683049617646,0.6406926344478076,False
4,2,-225.03264931154527,-1.334439808666616,0.695322031981204,0.6969244864499691,0.6465092290559874,False
4,3,-225.5577777916781,-1.8595682887994371,0.7050019721229277,0.7078731846674967,0.7076397369080527,False
4,4,-224.5000799362657,-0.8018704333870517,1.3418718009396498,,,True
5,0,-223.69820950287865,0.0,1.488405944804918,,,True
5,1,-225.4181066536979,-1.7198971508192358,0.49763551062611516,0.5959166491357547,0.48190861164055276,False
5,2,-225.35492232053556,-1.65671281765691,0.5522413954798098,0.5547218968162312,0.5070496578167539,False
5,3,-225.85567506563888,-2.1574655627602226,0.5289592403273069,0.5205945466319382,0.520523660024801,False
5,4,-224.5000799362657,-0.8018704333870517,1.3418718009396498,,,True
6,0,-223.69820950287865,0.0,1.488405944804918,,,True
6,1,-225.68227417635362,-1.9840646734749612,0.5447855021708742,0.5523380642808696,0.5516091509768635,False
6,2,-225.62787410470634,-1.9296646018276817,0.5712612401454942,0.5700284192194927,0.5691933256380405,False
6,3,-226.1121215230346,-2.413912020155948,0.5317116468755383,0.5316602892459482,0.5316553917464164,False
6,4,-224.5000799362657,-0.8018704333870517,1.3418718009396498,,,True
7,0,-223.69820950287865,0.0,1.488405944804918,,,True
7,1,-225.92723304884186,-2.2290235459632015,0.6163661636252347,0.6213947545051974,0.6197281335692837,False
7,2,-225.87864734326124,-2.180437840382581,0.6543884502912647,0.6530782141749035,0.6516218244525506,False
7,3,-226.34831802564563,-2.6501085227669705,0.5811450642699506,0.5808689653308408,0.5808637731070484,False
7,4,-224.5000799362657,-0.8018704333870517,1.3418718009396498,,,True
8,0,-223.69820950287865,0.0,1.488405944804918,,,True
8,1,-226.1718649776821,-2.4736554748034507,0.6356974293534179,0.6383624051740764,0.6358213813392324,False
8,2,-226.12633833765602,-2.428128834777368,0.6847547857865108,0.6830586318024329,0.6786556571843935,False
8,3,-226.57926764695483,-2.881058144076178,0.6097212615504229,0.6210259647412552,0.6173279197423318,False
8,4,-224.5000799362657,-0.8018704333870517,1.3418718009396498,,,True
9,0,-223.69820950287865,0.0,1.488405944804918,,,True
9,1,-226.4204726224715,-2.7222631195928386,0.6067155228191711,0.6156754814117313,0.603145181061303,False
9,2,-226.3758927789193,-2.6776832760406535,0.672228631610253,0.6705563175121296,0.6590536410805276,False
9,3,-226.80892327881187,-3.1107137759332204,0.6104715043615356,0.633871350798362,0.628199198642451,False
9,4,-224.5000799362657,-0.8018704333870517,1.3418718009396498,,,True
10,0,-223.69820950287865,0.0,1.488405944804918,,,True
10,1,-226.66499977964833,-2.9667902767696717,0.5372377921476565,0.7048104931454107,0.5999433703429993,False
10,2,-226.61973396022833,-2.921524457349676,0.6130580975986019,0.611191593219668,0.5962396441644946,False
10,3,-227.03140976074053,-3.3332002578618756,0.5693303452597643,0.605973026586502,0.5988034414970435,False
10,4,-224.5000799362657,-0.8018704333870517,1.3418718009396498,,,True
11,0,-223.69820950287865,0.0,1.488405944804918,,,True
11,1,-226.89130404550195,-3.1930945426232995,0.4766348933822812,0.7865249831218918,0.6647417020769378,False
11,2,-226.8437833210264,-3.1455738181477386,0.5174154663437367,0.515079823416181,0.49705580537461536,False
11,3,-227.235363419002,-3.5371539161233443,0.493747082167603,0.5389143832982045,0.5306863908442302,False
11,4,-224.5000799362657,-0.8018704333870517,1.3418718009396498,,,True
12,0,-223.69820950287865,0.0,1.488405944804918,,,True
12,1,-227.08595621844904,-3.387746715570387,0.509052189019475,0.8474425381213707,0.7072225961036415,False
12,2,-227.0340145938292,-3.3358050909505437,0.3966925542996975,0.3936008242523484,0.37253788539941024,False
12,3,-227.40886674652862,-3.710657243649962,0.3919037125850957,0.43753474693014655,0.4285547944917588,False
12,4,-224.5000799362657,-0.8018704333870517,1.3418718009396498,,,True
13,0,-223.69820950287865,0.0,1.488405944804918,,,True
13,1,-227.2416493720095,-3.54343986913085,0.5435951790609262,0.8810836969571426,0.7227288235280643,False
13,2,-227.18113603057168,-3.4829265276930244,0.2781782594144947,0.2596195693984246,0.23445791252035802,False
13,3,-227.5434841528349,-3.8452746499562522,0.27282037041606655,0.41323827741975133,0.32706775018383255,False
13,4,-224.5000799362657,-0.8018704333870517,1.3418718009396498,,,True
14,0,-223.69820950287865,0.0,1.488405944804918,,,True
14,1,-227.36158836661377,-3.663378863735119,0.5866757005703123,0.8871076955088362,0.7131449800066976,False
14,2,-227.28355924720645,-3.5853497443278,0.2774082467003865,0.20714555946873112,0.20714551753743315,False
14,3,-227.63777716392823,-3.93956766104958,0.21028480476891964,0.3682427070788268,0.28820308774198494,False
14,4,-224.5000799362657,-0.8018704333870517,1.3418718009396498,,,True
15,0,-223.69820950287865,0.0,1.488405944804918,,,True
15,1,-227.4606351925441,-3.7624256896654344,0.6376206204302394,0.8692349292860875,0.6849861192779664,False
15,2,-227.34802646544935,-3.6498169625706964,0.2805256338699517,0.20178105149160996,0.20175918950118824,False
