      Step     Time          Energy          fmax
FIRE:    0 10:49:14     -218.409199        1.819003
FIRE:    1 10:49:16     -218.777187        1.673445
FIRE:    2 10:49:17     -219.393010        1.434921
FIRE:    3 10:49:18     -219.936057        1.226000
FIRE:    4 10:49:19     -220.412934        1.119934
FIRE:    5 10:49:20     -220.833955        1.018792
FIRE:    6 10:49:21     -221.210006        0.921146
FIRE:    7 10:49:22     -221.551763        0.827502
FIRE:    8 10:49:23     -221.869433        0.738733
FIRE:    9 10:49:24     -222.170869        0.796351
FIRE:   10 10:49:25     -222.460957        0.838531
FIRE:   11 10:49:26     -222.741674        0.859087
FIRE:   12 10:49:27     -223.012790        0.860639
FIRE:   13 10:49:28     -223.272934        0.845703
FIRE:   14 10:49:29     -223.520628        0.816759
FIRE:   15 10:49:30     -223.755023        0.776375
FIRE:   16 10:49:32     -223.976194        0.727305
FIRE:   17 10:49:33     -224.185024        0.679305
FIRE:   18 10:49:34     -224.382784        0.635450
FIRE:   19 10:49:35     -224.570641        0.589641
FIRE:   20 10:49:36     -224.749289        0.543296
FIRE:   21 10:49:37     -224.918846        0.497733
FIRE:   22 10:49:38     -225.079030        0.454028
FIRE:   23 10:49:39     -225.229482        0.415832
FIRE:   24 10:49:40     -225.370096        0.401976
FIRE:   25 10:49:41     -225.501168        0.420670
FIRE:   26 10:49:42     -225.623301        0.435789
FIRE:   27 10:49:43     -225.737152        0.446679
FIRE:   28 10:49:44     -225.843175        0.452719
FIRE:   29 10:49:45     -225.941525        0.453387
FIRE:   30 10:49:46     -226.032179        0.448264
FIRE:   31 10:49:47     -226.115200        0.436955
FIRE:   32 10:49:48     -226.190849        0.419092
FIRE:   33 10:49:49     -226.259724        0.394148
FIRE:   34 10:49:50     -226.322635        0.373173
FIRE:   35 10:49:51     -226.380432        0.418779
FIRE:   36 10:49:52     -226.433929        0.469483
FIRE:   37 10:49:53     -226.483928        0.522591
FIRE:   38 10:49:54     -226.531292        0.574370
FIRE:   39 10:49:55     -226.576977        0.619127
FIRE:   40 10:49:56     -226.622016        0.649990
FIRE:   41 10:49:57     -226.667513        0.659980
FIRE:   42 10:49:58     -226.714682        0.641574
FIRE:   43 10:49:59     -226.764883        0.588671
FIRE:   44 10:50:00     -226.819587        0.520969
FIRE:   45 10:50:01     -226.880168        0.555196
FIRE:   46 10:50:02     -226.947522        0.576055
FIRE:   47 10:50:03     -227.021518        0.575193
FIRE:   48 10:50:04     -227.100414        0.545200
FIRE:   49 10:50:04     -227.180951        0.659276
FIRE:   50 10:50:05     -227.258989        0.793731
FIRE:   51 10:50:06     -227.329917        0.805381
FIRE:   52 10:50:07     -227.389382        0.736811
FIRE:   53 10:50:08     -227.434147        0.564423
FIRE:   54 10:50:09     -227.465685        0.672161
FIRE:   55 10:50:10     -227.493078        0.812822
FIRE:   56 10:50:11     -227.527080        0.805557
FIRE:   57 10:50:12     -227.623502        0.263884
FIRE:   58 10:50:13     -227.648265        0.395176
FIRE:   59 10:50:14     -227.670418        0.387404
FIRE:   60 10:50:15     -227.671441        0.250043
FIRE:   61 10:50:16     -227.661472        0.155176
FIRE:   62 10:50:16     -227.646103        0.218272
FIRE:   63 10:50:17     -227.626447        0.239294
FIRE:   64 10:50:18     -227.603847        0.172797
FIRE:   65 10:50:19     -227.576905        0.135805
FIRE:   66 10:50:20     -227.540393        0.170316
FIRE:   67 10:50:21     -227.496539        0.148788
FIRE:   68 10:50:22     -227.452209        0.108245
FIRE:   69 10:50:23     -227.407765        0.130375
FIRE:   70 10:50:24     -227.364176        0.115481
FIRE:   71 10:50:25     -227.318895        0.090679
