optimizer_iteration,image_index,energy_eV,relative_energy_eV,true_force_fmax_eV_A,neb_force_fmax_eV_A,neb_residual_eV_A,is_endpoint
0,0,-217.89994260805094,0.0,1.593523680141983,,,True
0,1,-218.97580506381362,-1.0758624557626888,1.815696079460185,1.8190029725821926,1.595900781837689,False
0,2,-219.13123735889565,-1.231294750844711,1.5716617962117918,1.5778177491286922,1.3262445089019106,False
0,3,-218.40919887365706,-0.5092562656061261,1.5524314247419708,1.5516929108719304,1.3995433416065115,False
0,4,-219.93070465965855,-2.03076205160761,1.6178752134798473,,,True
1,0,-217.89994260805094,0.0,1.593523680141983,,,True
1,1,-219.3801355047612,-1.480192896710264,1.670025035032764,1.673444956733695,1.4672338626808326,False
1,2,-219.4987631094263,-1.5988205013753714,1.4539397039389725,1.4556699213138231,1.2433930648174472,False
1,3,-218.7771867489472,-0.8772441408962663,1.470213555349307,1.4715259596727892,1.3368191958086764,False
1,4,-219.93070465965855,-2.03076205160761,1.6178752134798473,,,True
2,0,-217.89994260805094,0.0,1.593523680141983,,,True
2,1,-220.04275363459573,-2.1428110265447913,1.4318293644657962,1.4349212936102398,1.2536419913368428,False
2,2,-220.1070275732446,-2.2070849651936726,1.2893458897901087,1.296407041536839,1.1341563666520094,False
2,3,-219.39301045641034,-1.4930678483594022,1.3411765563306337,1.3312930860995844,1.23500426035115,False
2,4,-219.93070465965855,-2.03076205160761,1.6178752134798473,,,True
3,0,-217.89994260805094,0.0,1.593523680141983,,,True
3,1,-220.61076046783424,-2.7108178597833046,1.223475399643331,1.2259998821216638,1.064083581431318,False
3,2,-220.63737369126238,-2.7374310832114475,1.15522589914023,1.1631261243872602,1.0256141393722729,False
3,3,-219.9360571828135,-2.036114574762564,1.2234714994521083,1.2243639978175853,1.175398453293573,False
3,4,-219.93070465965855,-2.03076205160761,1.6178752134798473,,,True
4,0,-217.89994260805094,0.0,1.593523680141983,,,True
4,1,-221.09827078871015,-3.1983281806592174,1.0613762996677096,1.061176460229838,0.9044704874936544,False
4,2,-221.10229433545703,-3.2023517274060964,1.0341455164186624,1.0421281875998367,0.9189333903853251,False
4,3,-220.4129341697101,-2.512991561659163,1.1108030052511957,1.119934258390281,1.0753546190987335,False
4,4,-219.93070465965855,-2.03076205160761,1.6178752134798473,,,True
5,0,-217.89994260805094,0.0,1.593523680141983,,,True
5,1,-221.5198198181138,-3.6198772100628673,0.9252178263594315,0.9253515258646235,0.7890791136091924,False
5,2,-221.51380149435022,-3.6138588862992833,0.925359855957358,0.9326966151718542,0.8156205177319238,False
5,3,-220.83395486175556,-2.9340122537046227,1.003225900453918,1.0187916215074602,0.9778488481140984,False
5,4,-219.93070465965855,-2.03076205160761,1.6178752134798473,,,True
6,0,-217.89994260805094,0.0,1.593523680141983,,,True
6,1,-221.8906309743408,-3.9906883662898736,0.8053293564988676,0.8056931621158484,0.6879950891173967,False
6,2,-221.88381842871533,-3.9838758206643945,0.8277781267588513,0.8341845841254731,0.716810330638688,False
6,3,-221.21000568506133,-3.3100630770103976,0.9009712789071794,0.9211464461661506,0.8831247632845345,False
6,4,-219.93070465965855,-2.03076205160761,1.6178752134798473,,,True
7,0,-217.89994260805094,0.0,1.593523680141983,,,True
7,1,-222.22515575369118,-4.325213145640248,0.7000569366869555,0.7006284307127129,0.6238122478092993,False
7,2,-222.22307949003715,-4.3231368819862155,0.7406060828599511,0.745914377034527,0.6245615500433058,False
7,3,-221.55176276030102,-3.6518201522500817,0.8047725915118495,0.8275022988516034,0.7916922228850222,False
7,4,-219.93070465965855,-2.03076205160761,1.6178752134798473,,,True
8,0,-217.89994260805094,0.0,1.593523680141983,,,True
8,1,-222.53644418805544,-4.636501580004506,0.7313633772334405,0.7297958943898095,0.7183382899254852,False
8,2,-222.54091335799836,-4.640970749947428,0.7185962756351478,0.6980689655546217,0.6978575310035916,False
8,3,-221.8694331839268,-3.9694905758758523,0.7159933030735796,0.7387327003435252,0.7044357336686673,False
8,4,-219.93070465965855,-2.03076205160761,1.6178752134798473,,,True
9,0,-217.89994260805094,0.0,1.593523680141983,,,True
9,1,-222.83391790966553,-4.933975301614595,0.7973866413999809,0.7963514274193891,0.7858288260712796,False
9,2,-222.84361589331942,-4.943673285268488,0.7716347519112061,0.7509540973177482,0.7508450833835173,False
9,3,-222.17086854416897,-4.270925936118033,0.6361345099867565,0.6557964001661662,0.6512091358681755,False
9,4,-219.93070465965855,-2.03076205160761,1.6178752134798473,,,True
10,0,-217.89994260805094,0.0,1.593523680141983,,,True
10,1,-223.12267048788596,-5.22272787983502,0.8386901618290192,0.8385307660197112,0.8292082419112574,False
10,2,-223.1342994871106,-5.234356879059675,0.8068529185482328,0.7857283028540433,0.7856605654534764,False
10,3,-222.4609571546809,-4.561014546629963,0.6576812936807472,0.6748776084651279,0.6737208485515501,False
10,4,-219.93070465965855,-2.03076205160761,1.6178752134798473,,,True
11,0,-217.89994260805094,0.0,1.593523680141983,,,True
11,1,-223.40378760048512,-5.503844992434182,0.85815051792071,0.8590873449083856,0.8510805636348249,False
11,2,-223.41342307957785,-5.513480471526918,0.8262595511586333,0.804334126798123,0.8042771583400508,False
11,3,-222.74167402727306,-4.841731419222128,0.6665319716167545,0.6820901199947746,0.6813424781302306,False
11,4,-219.93070465965855,-2.03076205160761,1.6178752134798473,,,True
12,0,-217.89994260805094,0.0,1.593523680141983,,,True
12,1,-223.67556609017413,-5.775623482123194,0.8585984010203999,0.8606392372320192,0.8538820829564157,False
12,2,-223.6798524819575,-5.7799098739065755,0.8316549565680773,0.8086050740293219,0.8085411894837901,False
12,3,-223.01279004452397,-5.112847436473032,0.6621239015846746,0.6754089728109651,0.6749421700248931,False
12,4,-219.93070465965855,-2.03076205160761,1.6178752134798473,,,True
13,0,-217.89994260805094,0.0,1.593523680141983,,,True
13,1,-223.935120541927,-6.035177933876071,0.8427855887050018,0.8457025794711984,0.8399789354633449,False
13,2,-223.93204930903883,-6.032106700987896,0.8247133188054206,0.8005137051873752,0.8004319035237902,False
13,3,-223.27293373341772,-5.372991125366781,0.6456679637827839,0.6560469713328485,0.6555911715654941,False
13,4,-219.93070465965855,-2.03076205160761,1.6178752134798473,,,True
14,0,-217.89994260805094,0.0,1.593523680141983,,,True
14,1,-224.179822738295,-6.2798801302440665,0.8134017751848648,0.816758852180363,0.8117643002703432,False
14,2,-224.16902957479468,-6.2690869667437426,0.8070457194203675,0.7819444465669976,0.7818398947187081,False
14,3,-223.52062813377495,-5.620685525724014,0.6185078398999182,0.6254228935694791,0.624593360073848,False
14,4,-219.93070465965855,-2.03076205160761,1.6178752134798473,,,True
15,0,-217.89994260805094,0.0,1.593523680141983,,,True
15,1,-224.40820874692596,-6.50826613887503,0.7731582534882833,0.7763745724785733,0.7717796292489021,False
15,2,-224.3908623120843,-6.4909197040333595,0.7802622189160172,0.7543622411099897,0.7542361283692621,False
15,3,-223.75502259401847,-5.855079985967535,0.5821934764672092,0.585219438111546,0.5835605224489243,False
15,4,-219.93070465965855,-2.03076205160761,1.6178752134798473,,,True
16,0,-217.89994260805094,0.0,1.593523680141983,,,True
16,1,-224.62023176028646,-6.720289152235523,0.7248681600817938,0.7273047755047742,0.7228015251798138,False
16,2,-224.59863734373576,-6.698694735684825,0.7460225286152753,0.719541579918764,0.7194012884539522,False
16,3,-223.97619395496437,-6.076251346913438,0.5385730953795366,0.5377776091808593,0.5344946737302033,False
16,4,-219.93070465965855,-2.03076205160761,1.6178752134798473,,,True
17,0,-217.89994260805094,0.0,1.593523680141983,,,True
17,1,-224.81693335047586,-6.916990742424929,0.6714311301718017,0.6724699446412344,0.6678025168291789,False
17,2,-224.79405247319806,-6.894109865147129,0.7060414738747437,0.6793049258937663,0.6791614794027281,False
17,3,-224.18502370023825,-6.285081092187312,0.5185068310468489,0.5329824057432441,0.5257496166157477,False
17,4,-219.93070465965855,-2.03076205160761,1.6178752134798473,,,True
18,0,-217.89994260805094,0.0,1.593523680141983,,,True
18,1,-224.99977630773873,-7.099833699687792,0.6157086478887231,0.6148170741434931,0.6097994413744507,False
18,2,-224.97882311196003,-7.07888050390909,0.6620328898515428,0.6354501049261679,0.6353144713140871,False
18,3,-224.3827841006187,-6.482841492567758,0.500698587617131,0.5246020882543263,0.5195313334705088,False
18,4,-219.93070465965855,-2.03076205160761,1.6178752134798473,,,True
19,0,-217.89994260805094,0.0,1.593523680141983,,,True
19,1,-225.16997237727196,-7.270029769221026,0.5603467530080638,0.5571219039893371,0.5516480298295114,False
19,2,-225.15417930790275,-7.254236699851816,0.615611441192089,0.5896407421056528,0.5895203411208522,False
19,3,-224.57064130882833,-6.670698700777393,0.4808979303509583,0.5123055424340757,0.5091954039304172,False
19,4,-219.93070465965855,-2.03076205160761,1.6178752134798473,,,True
20,0,-217.89994260805094,0.0,1.593523680141983,,,True
20,1,-225.32809906420826,-7.428156456157325,0.5075960581339634,0.5017859135283359,0.4958337024893841,False
20,2,-225.3206557534084,-7.4207131453574675,0.5681856700954399,0.543296242276233,0.5431920321945967,False
