      Step     Time          Energy          fmax
FIRE:    0 02:30:57     -223.039004        1.582789
FIRE:    1 02:30:58     -223.466926        1.424093
FIRE:    2 02:30:59     -224.105226        1.156298
FIRE:    3 02:31:00     -224.615286        0.926375
FIRE:    4 02:31:01     -225.017916        0.723342
FIRE:    5 02:31:01     -225.340193        0.696882
FIRE:    6 02:31:02     -225.612268        0.699560
FIRE:    7 02:31:03     -225.861192        0.741525
FIRE:    8 02:31:04     -226.106228        0.820090
FIRE:    9 02:31:05     -226.352905        0.917148
FIRE:   10 02:31:06     -226.594579        1.014538
FIRE:   11 02:31:07     -226.818331        1.096704
FIRE:   12 02:31:07     -227.011331        1.150547
FIRE:   13 02:31:08     -227.165186        1.165650
FIRE:   14 02:31:09     -227.278173        1.134183
FIRE:   15 02:31:10     -227.355546        1.051147
FIRE:   16 02:31:11     -227.406454        0.916763
FIRE:   17 02:31:12     -227.438509        0.739940
FIRE:   18 02:31:12     -227.454330        0.534703
FIRE:   19 02:31:13     -227.452085        0.328128
FIRE:   20 02:31:14     -227.430330        0.307071
FIRE:   21 02:31:15     -227.441042        0.262390
FIRE:   22 02:31:16     -227.458242        0.183127
FIRE:   23 02:31:17     -227.476549        0.170027
FIRE:   24 02:31:18     -227.492042        0.193103
FIRE:   25 02:31:19     -227.502034        0.212989
FIRE:   26 02:31:19     -227.505048        0.204312
FIRE:   27 02:31:20     -227.502883        0.158735
FIRE:   28 02:31:21     -227.499544        0.084672
FIRE:   29 02:31:22     -227.498648        0.085045
FIRE:   30 02:31:23     -227.501156        0.160049
FIRE:   31 02:31:24     -227.503913        0.215098
FIRE:   32 02:31:25     -227.498619        0.188231
FIRE:   33 02:31:26     -227.480837        0.083477
FIRE:   34 02:31:26     -227.481435        0.080590
FIRE:   35 02:31:27     -227.482394        0.074924
FIRE:   36 02:31:28     -227.483385        0.066663
FIRE:   37 02:31:29     -227.484156        0.056089
FIRE:   38 02:31:30     -227.484571        0.043660
