optimizer_iteration,image_index,energy_eV,relative_energy_eV,true_force_fmax_eV_A,neb_force_fmax_eV_A,neb_residual_eV_A,is_endpoint
0,0,-224.0849406296275,0.0,1.4843128236182923,,,True
0,1,-223.2049446415382,0.8799959880893198,1.5297383341549227,1.4723201453731591,1.453944801462471,False
0,2,-223.0390043780334,1.0459362515940995,1.5787401658410436,1.5827885445173302,1.5450672932226115,False
0,3,-224.00997351718104,0.07496711244647258,1.499901639917289,1.5020066209372989,1.4426742122427123,False
0,4,-224.7994996468269,-0.7145590171993774,1.3380726569034624,,,True
1,0,-224.0849406296275,0.0,1.4843128236182923,,,True
1,1,-223.64226895552142,0.4426716741060943,1.3167931508766944,1.3058095109290133,1.28769944170985,False
1,2,-223.46692554692476,0.6180150827027546,1.420265635264843,1.424093239682633,1.389765025607427,False
1,3,-224.38181621925406,-0.29687558962655203,1.3557036067496517,1.3582858575724224,1.3167258372959498,False
1,4,-224.7994996468269,-0.7145590171993774,1.3380726569034624,,,True
2,0,-224.0849406296275,0.0,1.4843128236182923,,,True
2,1,-224.28842276472574,-0.203482135098227,1.072162636002019,1.0827916613117876,1.065905082300846,False
2,2,-224.1052258641218,-0.020285234494281212,1.152966167859882,1.1562975181066848,1.1267241691808825,False
2,3,-224.94170825469286,-0.8567676250653449,1.1132912619769155,1.114939094426582,1.1130363210057528,False
2,4,-224.7994996468269,-0.7145590171993774,1.3380726569034624,,,True
3,0,-224.0849406296275,0.0,1.4843128236182923,,,True
3,1,-224.80119945922343,-0.7162588295959154,0.8460544776072502,0.8460309805026986,0.836708157066839,False
3,2,-224.615286362969,-0.5303457333414769,0.9033991150408779,0.9062375455978348,0.8799459759464404,False
3,3,-225.39581250907804,-1.3108718794505307,0.8859548656852344,0.92637461314727,0.9256638989624751,False
3,4,-224.7994996468269,-0.7145590171993774,1.3380726569034624,,,True
4,0,-224.0849406296275,0.0,1.4843128236182923,,,True
4,1,-225.20474493691347,-1.1198043072859605,0.6835024976347526,0.707587382991001,0.6791059655917796,False
4,2,-225.0179163238556,-0.9329756942280767,0.7191718951045167,0.7148794004516732,0.6973540971039306,False
4,3,-225.7618863576423,-1.6769457280148004,0.6875902471315946,0.7233423224479085,0.7230818425446578,False
4,4,-224.7994996468269,-0.7145590171993774,1.3380726569034624,,,True
5,0,-224.0849406296275,0.0,1.4843128236182923,,,True
5,1,-225.52911833706796,-1.4441777074404456,0.6640669779039998,0.6968819008503659,0.5379846205835488,False
5,2,-225.34019256129358,-1.2552519316660664,0.5582671652978755,0.5523960055620241,0.5418062285088223,False
5,3,-226.0611742481455,-1.9762336185179947,0.506361933785142,0.5386432540124222,0.5386004944527895,False
5,4,-224.7994996468269,-0.7145590171993774,1.3380726569034624,,,True
6,0,-224.0849406296275,0.0,1.4843128236182923,,,True
6,1,-225.80737292612883,-1.7224322965013243,0.7418862321615809,0.6995599509776571,0.5724840222080907,False
6,2,-225.6122684551276,-1.5273278255000946,0.5673225499271443,0.5644869270592144,0.5633859408219675,False
6,3,-226.31706735162913,-2.232126722001624,0.5361505221411282,0.5374260617457195,0.5374017295061979,False
6,4,-224.7994996468269,-0.7145590171993774,1.3380726569034624,,,True
7,0,-224.0849406296275,0.0,1.4843128236182923,,,True
7,1,-226.06868146113658,-1.983740831509067,0.8397634424874194,0.741524565083117,0.6319894328554434,False
7,2,-225.86119171458967,-1.776251084962155,0.6519053178528527,0.6489420237473886,0.6470510262691592,False
7,3,-226.5509736991626,-2.4660330695350865,0.5873121025232019,0.5897796457947551,0.5897793523833899,False
7,4,-224.7994996468269,-0.7145590171993774,1.3380726569034624,,,True
8,0,-224.0849406296275,0.0,1.4843128236182923,,,True
8,1,-226.33365016021156,-2.248709530584051,0.9331993470296404,0.8200898253074064,0.7061014124494949,False
