      Step     Time          Energy          fmax
FIRE:    0 02:38:31     -223.039004        1.582789
FIRE:    1 02:38:32     -223.465765        1.416065
FIRE:    2 02:38:33     -224.096577        1.134213
FIRE:    3 02:38:34     -224.592363        0.896899
FIRE:    4 02:38:35     -224.974493        0.687403
FIRE:    5 02:38:36     -225.271315        0.650603
FIRE:    6 02:38:36     -225.514817        0.668594
FIRE:    7 02:38:37     -225.733520        0.695198
FIRE:    8 02:38:38     -225.946920        0.715924
FIRE:    9 02:38:39     -226.158931        0.718830
FIRE:   10 02:38:40     -226.360014        0.700180
FIRE:   11 02:38:41     -226.534279        0.656647
FIRE:   12 02:38:42     -226.666894        0.580474
FIRE:   13 02:38:42     -226.749415        0.460550
FIRE:   14 02:38:43     -226.784392        0.288019
FIRE:   15 02:38:44     -226.784237        0.251977
FIRE:   16 02:38:45     -226.793041        0.224308
FIRE:   17 02:38:46     -226.805872        0.174317
FIRE:   18 02:38:47     -226.816043        0.113081
FIRE:   19 02:38:47     -226.819175        0.090288
FIRE:   20 02:38:48     -226.819367        0.089378
FIRE:   21 02:38:49     -226.819736        0.087590
FIRE:   22 02:38:50     -226.820250        0.084990
FIRE:   23 02:38:51     -226.820871        0.081671
FIRE:   24 02:38:52     -226.821553        0.077758
FIRE:   25 02:38:52     -226.822256        0.073393
FIRE:   26 02:38:53     -226.822947        0.068732
FIRE:   27 02:38:54     -226.823671        0.063414
FIRE:   28 02:38:55     -226.824415        0.058710
FIRE:   29 02:38:56     -226.825175        0.057011
FIRE:   30 02:38:57     -226.825957        0.053383
FIRE:   31 02:38:57     -226.826749        0.047594
