optimizer_iteration,image_index,energy_eV,relative_energy_eV,true_force_fmax_eV_A,neb_force_fmax_eV_A,neb_residual_eV_A,is_endpoint
0,0,-224.0849406296275,0.0,1.4843128236182923,,,True
0,1,-223.2049446415382,0.8799959880893198,1.5297383341549227,1.4723201453731591,1.453944801462471,False
0,2,-223.0390043780334,1.0459362515940995,1.5787401658410436,1.5827885445173302,1.5450672932226115,False
0,3,-224.00997351718104,0.07496711244647258,1.499901639917289,1.5020066209372989,1.4426742122427123,False
0,4,-224.7994996468269,-0.7145590171993774,1.3380726569034624,,,True
1,0,-224.0849406296275,0.0,1.4843128236182923,,,True
1,1,-223.6408876958064,0.4440529338210979,1.3094315852712108,1.2984385171272885,1.280444304532665,False
1,2,-223.46576489202755,0.61917573759996,1.412351820060583,1.4160645077623404,1.3819614874831303,False
1,3,-224.380818973465,-0.2958783438375008,1.3481953478016824,1.3508107355735903,1.3095961178826465,False
1,4,-224.7994996468269,-0.7145590171993774,1.3380726569034624,,,True
2,0,-224.0849406296275,0.0,1.4843128236182923,,,True
2,1,-224.27795145472749,-0.19301082509997514,1.0521854966938515,1.0631994680179029,1.0466241416335704,False
2,2,-224.0965773816389,-0.011636752011384033,1.1311293297994411,1.1342127419106212,1.1052472817609362,False
2,3,-224.93424710090494,-0.8493064712774299,1.092529831963778,1.094903860495675,1.092990380754723,False
2,4,-224.7994996468269,-0.7145590171993774,1.3380726569034624,,,True
3,0,-224.0849406296275,0.0,1.4843128236182923,,,True
3,1,-224.7739517881632,-0.689011158535692,0.8170640691994334,0.8170543098152183,0.8068722518747183,False
3,2,-224.59236341326024,-0.5074227836327339,0.867681119310814,0.8702104932745744,0.8448917429321902,False
3,3,-225.37587368237445,-1.2909330527469365,0.8525253784269237,0.8968986508382194,0.8962253872272193,False
3,4,-224.7994996468269,-0.7145590171993774,1.3380726569034624,,,True
4,0,-224.0849406296275,0.0,1.4843128236182923,,,True
4,1,-225.15425445112788,-1.0693138215003728,0.6440728275987846,0.6426927428329489,0.6376327309181937,False
4,2,-224.974493159234,-0.8895525296064761,0.6745525851125898,0.6712801166290947,0.6553116080518293,False
4,3,-225.72374808251854,-1.6388074528910295,0.6411219061387908,0.6874026711277416,0.68720641516969,False
4,4,-224.7994996468269,-0.7145590171993774,1.3380726569034624,,,True
5,0,-224.0849406296275,0.0,1.4843128236182923,,,True
5,1,-225.45064456713737,-1.3657039375098634,0.6311819888057943,0.6506031157544625,0.5556246970498767,False
5,2,-225.27131454988495,-1.186373920257438,0.5010580774245511,0.49654337516874586,0.4880063740849598,False
5,3,-225.999916793162,-1.914976163534476,0.5624423149011507,0.4982806157194599,0.49827485510015695,False
5,4,-224.7994996468269,-0.7145590171993774,1.3380726569034624,,,True
6,0,-224.0849406296275,0.0,1.4843128236182923,,,True
6,1,-225.69817925350523,-1.61323862387772,0.707207845075865,0.6685938543746446,0.5778107116845358,False
6,2,-225.51481744049067,-1.4298768108631634,0.5764923556260183,0.5742052224474502,0.5728420644586858,False
6,3,-226.22883505584323,-2.1438944262157236,0.564317846453945,0.5362501594042203,0.5362355915271484,False
6,4,-224.7994996468269,-0.7145590171993774,1.3380726569034624,,,True
7,0,-224.0849406296275,0.0,1.4843128236182923,,,True
7,1,-225.92709046287848,-1.8421498332509714,0.7648100017272432,0.695198003405938,0.6246412473371143,False
7,2,-225.7335197739817,-1.648579144354187,0.6513586133447066,0.6506968281307922,0.6458653006184334,False
7,3,-226.43277056758868,-2.3478299379611656,0.5909594018678702,0.5806156893792085,0.5806154689796288,False
7,4,-224.7994996468269,-0.7145590171993774,1.3380726569034624,,,True
8,0,-224.0849406296275,0.0,1.4843128236182923,,,True
8,1,-226.15704990988658,-2.0721092802590704,0.7815422664303331,0.7159244050857821,0.6337849990152075,False
