      Step     Time          Energy          fmax
FIRE:    0 02:30:37     -223.931363        1.260133
FIRE:    1 02:30:38     -224.207786        1.153371
FIRE:    2 02:30:39     -224.662030        0.953203
FIRE:    3 02:30:40     -225.074388        0.738715
FIRE:    4 02:30:41     -225.383332        0.544397
FIRE:    5 02:30:42     -225.613433        0.403489
FIRE:    6 02:30:43     -225.795936        0.508385
FIRE:    7 02:30:43     -225.961140        0.582567
FIRE:    8 02:30:44     -226.130540        0.595699
FIRE:    9 02:30:45     -226.307223        0.551269
FIRE:   10 02:30:46     -226.477725        0.569060
FIRE:   11 02:30:47     -226.621818        0.593592
FIRE:   12 02:30:48     -226.722564        0.602620
FIRE:   13 02:30:49     -226.773672        0.590301
FIRE:   14 02:30:49     -226.785254        0.555266
FIRE:   15 02:30:50     -226.776159        0.498807
FIRE:   16 02:30:51     -226.786726        0.495045
FIRE:   17 02:30:52     -226.802531        0.486473
FIRE:   18 02:30:53     -226.815883        0.471630
FIRE:   19 02:30:54     -226.821294        0.449122
FIRE:   20 02:30:55     -226.819689        0.417655
FIRE:   21 02:30:55     -226.817192        0.375312
FIRE:   22 02:30:56     -226.818631        0.320144
FIRE:   23 02:30:57     -226.825302        0.246100
FIRE:   24 02:30:58     -226.833293        0.162936
FIRE:   25 02:30:59     -226.835019        0.233994
FIRE:   26 02:31:00     -226.830087        0.308241
FIRE:   27 02:31:01     -226.831154        0.297330
FIRE:   28 02:31:01     -226.832988        0.276265
FIRE:   29 02:31:02     -226.835079        0.246457
FIRE:   30 02:31:03     -226.836864        0.209787
FIRE:   31 02:31:04     -226.837926        0.168484
FIRE:   32 02:31:05     -226.838171        0.141961
FIRE:   33 02:31:06     -226.837902        0.154271
FIRE:   34 02:31:07     -226.837588        0.173184
FIRE:   35 02:31:07     -226.837684        0.193967
FIRE:   36 02:31:08     -226.838332        0.211540
FIRE:   37 02:31:09     -226.839087        0.220587
FIRE:   38 02:31:10     -226.839077        0.215076
FIRE:   39 02:31:11     -226.837982        0.189575
FIRE:   40 02:31:12     -226.836869        0.145365
FIRE:   41 02:31:13     -226.836580        0.098616
FIRE:   42 02:31:13     -226.835749        0.089786
FIRE:   43 02:31:14     -226.833180        0.109128
FIRE:   44 02:31:15     -226.830660        0.106745
FIRE:   45 02:31:16     -226.827078        0.071860
FIRE:   46 02:31:17     -226.821522        0.094766
FIRE:   47 02:31:18     -226.816154        0.087026
FIRE:   48 02:31:19     -226.808893        0.056207
FIRE:   49 02:31:19     -226.809330        0.051372
FIRE:   50 02:31:20     -226.809749        0.046749
