optimizer_iteration,image_index,base_energy_eV,restrained_energy_eV,tether_energy_eV,base_fmax_eV_A,restrained_fmax_eV_A,max_reference_displacement_A
0,0,-224.3901119772853,-224.3901119772853,0.0,1.15319853973375,1.15319853973375,0.0
0,1,-224.00271430184168,-224.00271430184168,0.0,1.1592644380872126,1.1592644380872126,0.0
0,2,-223.93136326573853,-223.93136326573853,0.0,1.2603108167741652,1.2603108167741652,0.0
0,3,-224.55228557673027,-224.55228557673027,0.0,1.2039686874477868,1.2039686874477868,0.0
0,4,-225.13940075212975,-225.13940075212975,0.0,1.0805300261113435,1.0805300261113435,0.0
1,0,-224.3901119772853,-224.3901119772853,0.0,1.15319853973375,1.15319853973375,0.0
1,1,-224.2795024658887,-224.2795024658887,0.0,1.0616279803893072,1.0616279803893072,0.0
1,2,-224.20778610431148,-224.20778610431148,0.0,1.1533106893430936,1.1533106893430936,0.0
1,3,-224.78848365412873,-224.78848365412873,0.0,1.1050071761836622,1.1050071761836622,0.0
1,4,-225.13940075212975,-225.13940075212975,0.0,1.0805300261113435,1.0805300261113435,0.0
2,0,-224.3901119772853,-224.3901119772853,0.0,1.15319853973375,1.15319853973375,0.0
2,1,-224.7312985065269,-224.7312985065269,0.0,0.8780169990184252,0.8780169990184252,0.0
2,2,-224.66203007819598,-224.66203007819598,0.0,0.9528353453060021,0.9528353453060021,0.0
2,3,-225.1788293123791,-225.1788293123791,0.0,0.9204828805415738,0.9204828805415738,0.0
2,4,-225.13940075212975,-225.13940075212975,0.0,1.0805300261113435,1.0805300261113435,0.0
3,0,-224.3901119772853,-224.3901119772853,0.0,1.15319853973375,1.15319853973375,0.0
3,1,-225.13607704592215,-225.13607704592215,0.0,0.673840866173234,0.673840866173234,0.0
3,2,-225.07438797035277,-225.07438797035277,0.0,0.7299862992216213,0.7299862992216213,0.0
3,3,-225.53710924987536,-225.53710924987536,0.0,0.7154809727889757,0.7154809727889757,0.0
3,4,-225.13940075212975,-225.13940075212975,0.0,1.0805300261113435,1.0805300261113435,0.0
4,0,-224.3901119772853,-224.3901119772853,0.0,1.15319853973375,1.15319853973375,0.0
4,1,-225.43326276280732,-225.43326276280732,0.0,0.4910472820146966,0.4910472820146966,0.0
4,2,-225.38333210217945,-225.38333210217945,0.0,0.5217510672076676,0.5217510672076676,0.0
4,3,-225.81078379672428,-225.81078379672428,0.0,0.5212339423141759,0.5212339423141759,0.0
4,4,-225.13940075212975,-225.13940075212975,0.0,1.0805300261113435,1.0805300261113435,0.0
5,0,-224.3901119772853,-224.3901119772853,0.0,1.15319853973375,1.15319853973375,0.0
5,1,-225.6504650344802,-225.6504650344802,0.0,0.3691376604050985,0.3691376604050985,0.0
5,2,-225.61343334721948,-225.61343334721948,0.0,0.3902919038248773,0.3902919038248773,0.0
5,3,-226.01920188956115,-226.01920188956115,0.0,0.37614896492059063,0.37614896492059063,0.0
5,4,-225.13940075212975,-225.13940075212975,0.0,1.0805300261113435,1.0805300261113435,0.0
6,0,-224.3901119772853,-224.3901119772853,0.0,1.15319853973375,1.15319853973375,0.0
6,1,-225.82247221200635,-225.82247221200635,0.0,0.4844912822136326,0.4844912822136326,0.0
6,2,-225.79593597286268,-225.79593597286268,0.0,0.5093836597663528,0.5093836597663528,0.0
6,3,-226.18636562981558,-226.18636562981558,0.0,0.4654392382591631,0.4654392382591631,0.0
6,4,-225.13940075212975,-225.13940075212975,0.0,1.0805300261113435,1.0805300261113435,0.0
7,0,-224.3901119772853,-224.3901119772853,0.0,1.15319853973375,1.15319853973375,0.0
7,1,-225.9814887913818,-225.9814887913818,0.0,0.54686874154621,0.54686874154621,0.0
7,2,-225.96114039147534,-225.96114039147534,0.0,0.583626760774415,0.583626760774415,0.0
7,3,-226.33556611289399,-226.33556611289399,0.0,0.512025102118317,0.512025102118317,0.0
7,4,-225.13940075212975,-225.13940075212975,0.0,1.0805300261113435,1.0805300261113435,0.0
8,0,-224.3901119772853,-224.3901119772853,0.0,1.15319853973375,1.15319853973375,0.0
8,1,-226.148851605697,-226.148851605697,0.0,0.5529939743771887,0.5529939743771887,0.0
8,2,-226.13054007043058,-226.13054007043058,0.0,0.5968733318028271,0.5968733318028271,0.0
8,3,-226.4841851499202,-226.4841851499202,0.0,0.5227140822065126,0.5227140822065126,0.0
8,4,-225.13940075212975,-225.13940075212975,0.0,1.0805300261113435,1.0805300261113435,0.0
9,0,-224.3901119772853,-224.3901119772853,0.0,1.15319853973375,1.15319853973375,0.0
9,1,-226.32671598870485,-226.32671598870485,0.0,0.5071781261230767,0.5071781261230767,0.0
9,2,-226.30722250162273,-226.30722250162273,0.0,0.5526592402501063,0.5526592402501063,0.0
9,3,-226.63665299097403,-226.63665299097403,0.0,0.5128719633934913,0.5128719633934913,0.0
9,4,-225.13940075212975,-225.13940075212975,0.0,1.0805300261113435,1.0805300261113435,0.0
10,0,-224.3901119772853,-224.3901119772853,0.0,1.15319853973375,1.15319853973375,0.0
10,1,-226.50106904164898,-226.50106904164898,0.0,0.5011501002135973,0.5011501002135973,0.0
10,2,-226.4777252412872,-226.4777252412872,0.0,0.46471137053953326,0.46471137053953326,0.0
10,3,-226.78508067379857,-226.78508067379857,0.0,0.4608021874670496,0.4608021874670496,0.0
10,4,-225.13940075212975,-225.13940075212975,0.0,1.0805300261113435,1.0805300261113435,0.0
11,0,-224.3901119772853,-224.3901119772853,0.0,1.15319853973375,1.15319853973375,0.0
11,1,-226.65174544751906,-226.65174544751906,0.0,0.4848237737992877,0.4848237737992877,0.0
11,2,-226.62181838619696,-226.62181838619696,0.0,0.3467585717808729,0.3467585717808729,0.0
11,3,-226.91501847466748,-226.91501847466748,0.0,0.37525676797631635,0.37525676797631635,0.0
11,4,-225.13940075212975,-225.13940075212975,0.0,1.0805300261113435,1.0805300261113435,0.0
12,0,-224.3901119772853,-224.3901119772853,0.0,1.15319853973375,1.15319853973375,0.0
12,1,-226.76253955301388,-226.76253955301388,0.0,0.46805435287064834,0.46805435287064834,0.0
12,2,-226.7225639177124,-226.7225639177124,0.0,0.2637035996106263,0.2637035996106263,0.0
