      Step     Time          Energy          fmax
FIRE:    0 06:33:39     -217.282405       10.946988
FIRE:    1 06:33:41     -219.062347        6.165493
FIRE:    2 06:33:42     -220.132280        3.668103
FIRE:    3 06:33:44     -220.828807        2.294739
FIRE:    4 06:33:45     -221.329136        1.617746
FIRE:    5 06:33:47     -221.740444        1.199574
FIRE:    6 06:33:48     -222.121336        1.464037
FIRE:    7 06:33:50     -222.493304        1.575221
FIRE:    8 06:33:51     -222.862664        1.599852
FIRE:    9 06:33:53     -223.229413        1.571096
FIRE:   10 06:33:54     -223.591503        1.505053
FIRE:   11 06:33:56     -223.946119        1.411261
FIRE:   12 06:33:57     -224.290109        1.296290
FIRE:   13 06:33:59     -224.620236        1.234688
FIRE:   14 06:34:00     -224.933402        1.150313
FIRE:   15 06:34:02     -225.226839        1.024781
FIRE:   16 06:34:03     -225.498321        0.861357
FIRE:   17 06:34:04     -225.746183        0.666529
FIRE:   18 06:34:06     -225.953471        0.629509
FIRE:   19 06:34:07     -226.117598        0.637665
FIRE:   20 06:34:09     -226.261350        0.660060
FIRE:   21 06:34:10     -226.385596        0.677509
FIRE:   22 06:34:12     -226.491572        0.666708
FIRE:   23 06:34:13     -226.580450        0.615125
FIRE:   24 06:34:15     -226.652984        0.527933
FIRE:   25 06:34:16     -226.709378        0.444975
FIRE:   26 06:34:17     -226.749571        0.419172
FIRE:   27 06:34:19     -226.774039        0.368349
FIRE:   28 06:34:20     -226.784812        0.303738
FIRE:   29 06:34:22     -226.785604        0.314208
FIRE:   30 06:34:23     -226.780626        0.300826
FIRE:   31 06:34:25     -226.773479        0.298263
FIRE:   32 06:34:26     -226.766667        0.295757
FIRE:   33 06:34:28     -226.762550        0.295802
FIRE:   34 06:34:29     -226.763897        0.301852
FIRE:   35 06:34:30     -226.773065        0.316199
FIRE:   36 06:34:32     -226.790419        0.337695
FIRE:   37 06:34:33     -226.813563        0.363704
FIRE:   38 06:34:35     -226.838337        0.389709
FIRE:   39 06:34:36     -226.860824        0.404562
FIRE:   40 06:34:38     -226.878687        0.401408
FIRE:   41 06:34:39     -226.891132        0.371757
FIRE:   42 06:34:41     -226.898106        0.302939
FIRE:   43 06:34:42     -226.899751        0.400132
FIRE:   44 06:34:43     -226.896503        0.759910
FIRE:   45 06:34:45     -226.889469        1.112652
FIRE:   46 06:34:46     -226.880809        1.273170
FIRE:   47 06:34:48     -226.873419        1.139270
FIRE:   48 06:34:49     -226.869622        0.726971
FIRE:   49 06:34:51     -226.870309        0.230757
FIRE:   50 06:34:52     -226.874925        0.412715
FIRE:   51 06:34:53     -226.905194        0.462088
FIRE:   52 06:34:55     -226.924674        0.479383
FIRE:   53 06:34:56     -226.932635        0.195105
FIRE:   54 06:34:58     -226.934347        0.271606
FIRE:   55 06:34:59     -226.935662        0.252109
FIRE:   56 06:35:01     -226.939451        0.136299
FIRE:   57 06:35:02     -226.944749        0.140571
FIRE:   58 06:35:04     -226.947825        0.142092
FIRE:   59 06:35:05     -226.946104        0.116709
FIRE:   60 06:35:06     -226.941203        0.127662
FIRE:   61 06:35:08     -226.942876        0.075649
