optimizer_iteration,image_index,energy_eV,relative_energy_eV,true_force_fmax_eV_A,neb_force_fmax_eV_A,neb_residual_eV_A,is_endpoint
0,0,-222.74578324571658,0.0,0.0,,,True
0,1,-219.91066511659866,2.835118129117916,5.424284866745853,5.352806563056565,4.585622431550754,False
0,2,-217.28240545125908,5.4633777944575,10.67372021591136,10.946987677573398,10.786786255659361,False
0,3,-219.40046427427805,3.3453189714385303,5.462418502001589,4.944802644864768,4.212394078357169,False
0,4,-221.42213407495183,1.323649170764753,2.3503404795627323,2.276441008040348,1.9565788665174149,False
0,5,-223.43591908193855,-0.6901358362219696,1.359849675495349,1.297242678166501,1.2071777744016527,False
0,6,-226.54744990092811,-3.801666655211534,0.0,,,True
1,0,-222.74578324571658,0.0,0.0,,,True
1,1,-220.55432050909926,2.191462736617325,4.203725694792682,4.281320841324162,3.860082228768887,False
1,2,-219.06234700763872,3.68343623807786,6.003010892497081,6.165492532428926,6.114278299466448,False
1,3,-220.1187364755397,2.6270467701768894,4.18841494154601,3.606960161835549,3.1364370345880483,False
1,4,-221.84329782900863,0.9024854167079468,2.0558884942817763,1.9629630866009018,1.6821825148821412,False
1,5,-223.7120963270005,-0.9663130812839142,1.269137793929629,1.2219432841302245,1.1282977781588714,False
1,6,-226.54744990092811,-3.801666655211534,0.0,,,True
2,0,-222.74578324571658,0.0,0.0,,,True
2,1,-221.13361813139704,1.612165114319538,3.070317132033198,3.2088303553557864,2.9522310630265305,False
2,2,-220.13227975741526,2.613503488301319,3.6024101919819276,3.668103423882154,3.6589426136427887,False
2,3,-220.76093055140726,1.9848526943093248,3.0164846984860314,2.491769694825754,2.312220908449213,False
2,4,-222.2752579058138,0.47052533990279244,1.741558513572137,1.7054688365237454,1.3829854570450573,False
2,5,-224.0000357952742,-1.2542525495576058,1.1704083474773102,1.1685564752651787,1.0414503623836675,False
2,6,-226.54744990092811,-3.801666655211534,0.0,,,True
3,0,-222.74578324571658,0.0,0.0,,,True
3,1,-221.6284155174991,1.1173677282174879,2.1171083704154543,2.2947392651936944,2.0998820337043154,False
3,2,-220.82880680949955,1.916976436217027,2.020926710860444,1.979676563626571,1.9761303914413442,False
3,3,-221.3226358696292,1.4231473760873712,2.112945921781803,1.7302734719823267,1.6302721692587456,False
3,4,-222.70094188425347,0.04484136146311357,1.4334845446027535,1.4761407790133487,1.2013125597917063,False
3,5,-224.28952910857942,-1.5437458628628349,1.0661943188224747,1.1102233125805077,0.9486965083586687,False
3,6,-226.54744990092811,-3.801666655211534,0.0,,,True
4,0,-222.74578324571658,0.0,0.0,,,True
4,1,-222.05105049452976,0.6947327511868195,1.4020092922076082,1.6177458590156908,1.4304968232713016,False
4,2,-221.32913629368426,1.4166469520323233,1.2291831419916888,1.2296871722624576,1.1146035243016992,False
4,3,-221.81598919899793,0.929794046718655,1.3898794710143823,1.2509130599494502,1.1986837727511908,False
4,4,-223.10895045103126,-0.3631672053146815,1.1620518346644113,1.2568553947114527,1.0785311203543537,False
4,5,-224.57323246542958,-1.827449219713003,0.9585342788606983,1.0481643251162691,0.8517749430333624,False
4,6,-226.54744990092811,-3.801666655211534,0.0,,,True
5,0,-222.74578324571658,0.0,0.0,,,True
5,1,-222.4174955235421,0.32828772217447977,1.0509203004924361,1.1182602191929065,0.903579353285019,False
5,2,-221.7404444946708,1.0053387510457696,1.1158730345443504,1.199574289553106,1.1958638359061815,False
5,3,-222.25381104170026,0.4919722040163208,1.1287493647498545,1.1224779332362658,1.0604321602351516,False
5,4,-223.49041366541041,-0.7446304196938343,1.0390881771889664,1.1108328437769661,0.9548100074917983,False
5,5,-224.84473594228177,-2.098952696565192,0.8497853876823392,0.9840260033020307,0.7653489860190255,False
