      Step     Time          Energy          fmax
FIRE:    0 06:33:40     -217.348820       14.379912
FIRE:    1 06:33:41     -219.670320        7.256243
FIRE:    2 06:33:43     -220.810784        3.587324
FIRE:    3 06:33:44     -221.436163        2.242756
FIRE:    4 06:33:46     -221.857723        1.551890
FIRE:    5 06:33:47     -222.203309        1.196568
FIRE:    6 06:33:49     -222.521269        1.185360
FIRE:    7 06:33:50     -222.828718        1.297317
FIRE:    8 06:33:52     -223.132996        1.342822
FIRE:    9 06:33:53     -223.437012        1.341897
FIRE:   10 06:33:54     -223.741410        1.306708
FIRE:   11 06:33:56     -224.045032        1.246507
FIRE:   12 06:33:57     -224.345331        1.169016
FIRE:   13 06:33:59     -224.638891        1.080508
FIRE:   14 06:34:00     -224.922127        0.985338
FIRE:   15 06:34:01     -225.191951        0.960455
FIRE:   16 06:34:03     -225.446047        0.930334
FIRE:   17 06:34:04     -225.683021        0.873821
FIRE:   18 06:34:06     -225.902391        0.794057
FIRE:   19 06:34:07     -226.094917        0.695906
FIRE:   20 06:34:08     -226.230722        0.632097
FIRE:   21 06:34:10     -226.351613        0.586273
FIRE:   22 06:34:11     -226.459109        0.543119
FIRE:   23 06:34:13     -226.553896        0.518535
FIRE:   24 06:34:14     -226.635668        0.521222
FIRE:   25 06:34:15     -226.703474        0.545266
FIRE:   26 06:34:17     -226.756424        0.574247
FIRE:   27 06:34:18     -226.794501        0.591946
FIRE:   28 06:34:20     -226.819118        0.588097
FIRE:   29 06:34:21     -226.833079        0.559779
FIRE:   30 06:34:23     -226.839673        0.507710
FIRE:   31 06:34:24     -226.841558        0.432223
FIRE:   32 06:34:25     -226.840288        0.332027
FIRE:   33 06:34:27     -226.837146        0.210395
FIRE:   34 06:34:28     -226.834028        0.268845
FIRE:   35 06:34:30     -226.882062        0.152380
FIRE:   36 06:34:31     -226.919787        0.169380
FIRE:   37 06:34:32     -226.945119        0.117256
FIRE:   38 06:34:34     -226.959123        0.094908
