optimizer_iteration,image_index,energy_eV,relative_energy_eV,true_force_fmax_eV_A,neb_force_fmax_eV_A,neb_residual_eV_A,is_endpoint
0,0,-222.74578324571658,0.0,0.0,,,True
0,1,-219.91066511659866,2.835118129117916,5.424284866745853,5.352806563056565,4.585622431550754,False
0,2,-217.28240545125908,5.4633777944575,10.67372021591136,10.946987677573398,10.786786255659361,False
0,3,-219.40046427427805,3.3453189714385303,5.462418502001589,4.944802644864768,4.212394078357169,False
0,4,-221.42213407495183,1.323649170764753,2.3503404795627323,2.276441008040348,1.9565788665174149,False
0,5,-223.43591908193855,-0.6901358362219696,1.359849675495349,1.297242678166501,1.2071777744016527,False
0,6,-226.54744990092811,-3.801666655211534,0.0,,,True
1,0,-222.74578324571658,0.0,0.0,,,True
1,1,-220.55432050909926,2.191462736617325,4.203725694792682,4.281320841324162,3.860082228768887,False
1,2,-219.06234700763872,3.68343623807786,6.003010892497081,6.165492532428926,6.114278299466448,False
1,3,-220.1187364755397,2.6270467701768894,4.18841494154601,3.606960161835549,3.1364370345880483,False
1,4,-221.84329782900863,0.9024854167079468,2.0558884942817763,1.9629630866009018,1.6821825148821412,False
1,5,-223.7120963270005,-0.9663130812839142,1.269137793929629,1.2219432841302245,1.1282977781588714,False
1,6,-226.54744990092811,-3.801666655211534,0.0,,,True
2,0,-222.74578324571658,0.0,0.0,,,True
2,1,-221.13361813139704,1.612165114319538,3.070317132033198,3.2088303553557864,2.9522310630265305,False
2,2,-220.13227975741526,2.613503488301319,3.6024101919819276,3.668103423882154,3.6589426136427887,False
2,3,-220.76093055140726,1.9848526943093248,3.0164846984860314,2.491769694825754,2.312220908449213,False
2,4,-222.2752579058138,0.47052533990279244,1.741558513572137,1.7054688365237454,1.3829854570450573,False
2,5,-224.0000357952742,-1.2542525495576058,1.1704083474773102,1.1685564752651787,1.0414503623836675,False
2,6,-226.54744990092811,-3.801666655211534,0.0,,,True
