      Step     Time          Energy          fmax
FIRE:    0 02:30:37     -224.011674        1.262715
FIRE:    1 02:30:38     -224.287391        1.155594
FIRE:    2 02:30:39     -224.739909        0.954945
FIRE:    3 02:30:40     -225.147414        0.733727
FIRE:    4 02:30:41     -225.453195        0.599076
FIRE:    5 02:30:42     -225.681889        0.630212
FIRE:    6 02:30:43     -225.864516        0.651239
FIRE:    7 02:30:44     -226.030604        0.676325
FIRE:    8 02:30:44     -226.200506        0.703763
FIRE:    9 02:30:45     -226.376765        0.732189
FIRE:   10 02:30:46     -226.546707        0.759788
FIRE:   11 02:30:47     -226.692082        0.777509
FIRE:   12 02:30:48     -226.798356        0.771083
FIRE:   13 02:30:49     -226.860652        0.727284
FIRE:   14 02:30:50     -226.887224        0.637881
FIRE:   15 02:30:50     -226.894815        0.500421
FIRE:   16 02:30:51     -226.896750        0.318467
FIRE:   17 02:30:52     -226.895924        0.285343
FIRE:   18 02:30:53     -226.886177        0.412696
FIRE:   19 02:30:54     -226.894769        0.359488
FIRE:   20 02:30:55     -226.909449        0.267749
FIRE:   21 02:30:56     -226.926670        0.253223
FIRE:   22 02:30:57     -226.943388        0.249918
FIRE:   23 02:30:57     -226.957389        0.247938
FIRE:   24 02:30:58     -226.967006        0.244090
FIRE:   25 02:30:59     -226.971315        0.237737
FIRE:   26 02:31:00     -226.970739        0.230807
FIRE:   27 02:31:01     -226.967417        0.227971
FIRE:   28 02:31:02     -226.965653        0.229398
FIRE:   29 02:31:03     -226.968495        0.229684
FIRE:   30 02:31:04     -226.976349        0.230007
FIRE:   31 02:31:05     -226.985407        0.223224
FIRE:   32 02:31:05     -226.990755        0.188891
FIRE:   33 02:31:06     -226.992619        0.147066
FIRE:   34 02:31:07     -226.994706        0.131292
FIRE:   35 02:31:08     -227.000639        0.229655
FIRE:   36 02:31:09     -227.013060        0.276710
FIRE:   37 02:31:10     -227.031700        0.147993
FIRE:   38 02:31:11     -227.055058        0.135454
FIRE:   39 02:31:12     -227.082121        0.237427
FIRE:   40 02:31:12     -227.110851        0.141772
FIRE:   41 02:31:13     -227.141795        0.128009
FIRE:   42 02:31:14     -227.175924        0.145756
FIRE:   43 02:31:15     -227.212075        0.108495
FIRE:   44 02:31:16     -227.249386        0.152477
FIRE:   45 02:31:17     -227.287336        0.128991
FIRE:   46 02:31:18     -227.326610        0.131228
FIRE:   47 02:31:19     -227.368285        0.138373
FIRE:   48 02:31:20     -227.412422        0.142657
FIRE:   49 02:31:21     -227.458331        0.144796
FIRE:   50 02:31:21     -227.504589        0.143207
FIRE:   51 02:31:22     -227.548189        0.134428
FIRE:   52 02:31:23     -227.585514        0.116608
FIRE:   53 02:31:24     -227.613610        0.090400
FIRE:   54 02:31:25     -227.631780        0.144182
FIRE:   55 02:31:26     -227.643380        0.181743
FIRE:   56 02:31:27     -227.654015        0.189264
FIRE:   57 02:31:28     -227.668174        0.151852
FIRE:   58 02:31:29     -227.685484        0.159556
FIRE:   59 02:31:29     -227.703766        0.226918
FIRE:   60 02:31:30     -227.721209        0.296637
FIRE:   61 02:31:31     -227.710623        0.304602
FIRE:   62 02:31:32     -227.701536        0.237391
FIRE:   63 02:31:33     -227.693902        0.200548
FIRE:   64 02:31:34     -227.687987        0.374665
FIRE:   65 02:31:35     -227.683957        0.511453
FIRE:   66 02:31:36     -227.681727        0.431384
FIRE:   67 02:31:36     -227.681307        0.155596
FIRE:   68 02:31:37     -227.682961        0.156008
FIRE:   69 02:31:38     -227.686764        0.341840
FIRE:   70 02:31:39     -227.692428        0.377148
FIRE:   71 02:31:40     -227.699650        0.263314
FIRE:   72 02:31:41     -227.708362        0.176101
FIRE:   73 02:31:42     -227.718619        0.319435
FIRE:   74 02:31:43     -227.730229        0.348812
FIRE:   75 02:31:43     -227.742854        0.256323
FIRE:   76 02:31:44     -227.756266        0.142074
FIRE:   77 02:31:45     -227.770362        0.133258
FIRE:   78 02:31:46     -227.784976        0.184437
FIRE:   79 02:31:47     -227.799842        0.195181
FIRE:   80 02:31:48     -227.814670        0.166466
FIRE:   81 02:31:49     -227.825400        0.111613
FIRE:   82 02:31:50     -227.825473        0.103261
FIRE:   83 02:31:50     -227.825559        0.137962
FIRE:   84 02:31:51     -227.825649        0.154487
FIRE:   85 02:31:52     -227.825740        0.164255
FIRE:   86 02:31:53     -227.825831        0.139743
FIRE:   87 02:31:54     -227.825925        0.089387
FIRE:   88 02:31:55     -227.826020        0.115951
FIRE:   89 02:31:56     -227.826109        0.138205
FIRE:   90 02:31:56     -227.826182        0.100007
FIRE:   91 02:31:57     -227.826232        0.086878
FIRE:   92 02:31:58     -227.826252        0.079806
FIRE:   93 02:31:59     -227.826240        0.100333
FIRE:   94 02:32:00     -227.826197        0.144796
FIRE:   95 02:32:01     -227.826128        0.170212
FIRE:   96 02:32:02     -227.824557        0.196989
FIRE:   97 02:32:03     -227.817163        0.249009
FIRE:   98 02:32:04     -227.814333        0.264118
FIRE:   99 02:32:04     -227.816728        0.249476
FIRE:  100 02:32:05     -227.824109        0.213626
FIRE:  101 02:32:06     -227.825584        0.197101
FIRE:  102 02:32:07     -227.825532        0.191123
FIRE:  103 02:32:08     -227.825495        0.188332
FIRE:  104 02:32:09     -227.825469        0.178773
FIRE:  105 02:32:10     -227.825450        0.154136
FIRE:  106 02:32:10     -227.825432        0.113071
FIRE:  107 02:32:11     -227.825412        0.097425
FIRE:  108 02:32:12     -227.825385        0.091374
FIRE:  109 02:32:13     -227.825349        0.094575
FIRE:  110 02:32:14     -227.825330        0.064385
FIRE:  111 02:32:15     -227.825323        0.053081
FIRE:  112 02:32:16     -227.825391        0.050111
FIRE:  113 02:32:16     -227.825511        0.047933
