optimizer_iteration,image_index,base_energy_eV,restrained_energy_eV,tether_energy_eV,base_fmax_eV_A,restrained_fmax_eV_A,max_reference_displacement_A
0,0,-224.8022610458681,-224.8022610458681,0.0,1.1524520367417164,1.1524520367417164,0.0
0,1,-224.19030551045012,-224.19030551045012,0.0,1.2167133798338108,1.2167133798338108,0.0
0,2,-224.01167357560288,-224.01167357560288,0.0,1.2596927470915884,1.2596927470915884,0.0
0,3,-224.80137896199142,-224.80137896199142,0.0,1.201450471721545,1.201450471721545,0.0
0,4,-225.46993034923182,-225.46993034923182,0.0,1.0771270203970924,1.0771270203970924,0.0
1,0,-224.8022610458681,-224.8022610458681,0.0,1.1524520367417164,1.1524520367417164,0.0
1,1,-224.4725468645621,-224.4725468645621,0.0,1.0618078187672488,1.0618078187672488,0.0
1,2,-224.2873906085041,-224.2873906085041,0.0,1.1527234095373244,1.1527234095373244,0.0
1,3,-225.0461318518297,-225.0461318518297,0.0,1.1030603139764161,1.1030603139764161,0.0
1,4,-225.46993034923182,-225.46993034923182,0.0,1.0771270203970924,1.0771270203970924,0.0
2,0,-224.8022610458681,-224.8022610458681,0.0,1.1524520367417164,1.1524520367417164,0.0
2,1,-224.9300384781176,-224.9300384781176,0.0,0.8795392448680209,0.8795392448680209,0.0
2,2,-224.73990899378148,-224.73990899378148,0.0,0.9523880967823545,0.9523880967823545,0.0
2,3,-225.45000155108892,-225.45000155108892,0.0,0.9196113842168192,0.9196113842168192,0.0
2,4,-225.46993034923182,-225.46993034923182,0.0,1.0771270203970924,1.0771270203970924,0.0
3,0,-224.8022610458681,-224.8022610458681,0.0,1.1524520367417164,1.1524520367417164,0.0
3,1,-225.3370484580539,-225.3370484580539,0.0,0.7211318182287781,0.7211318182287781,0.0
3,2,-225.14741424769076,-225.14741424769076,0.0,0.731495696361073,0.731495696361073,0.0
3,3,-225.81708272941515,-225.81708272941515,0.0,0.7174073783743733,0.7174073783743733,0.0
3,4,-225.46993034923182,-225.46993034923182,0.0,1.0771270203970924,1.0771270203970924,0.0
4,0,-224.8022610458681,-224.8022610458681,0.0,1.1524520367417164,1.1524520367417164,0.0
4,1,-225.64004858817597,-225.64004858817597,0.0,0.591890273022673,0.591890273022673,0.0
4,2,-225.45319465623024,-225.45319465623024,0.0,0.5286437942514741,0.5286437942514741,0.0
4,3,-226.09634348252843,-226.09634348252843,0.0,0.5257354714373066,0.5257354714373066,0.0
4,4,-225.46993034923182,-225.46993034923182,0.0,1.0771270203970924,1.0771270203970924,0.0
5,0,-224.8022610458681,-224.8022610458681,0.0,1.1524520367417164,1.1524520367417164,0.0
5,1,-225.8680202259547,-225.8680202259547,0.0,0.6962825373117226,0.6962825373117226,0.0
5,2,-225.6818892826805,-225.6818892826805,0.0,0.42495667715169455,0.42495667715169455,0.0
5,3,-226.30752176712804,-226.30752176712804,0.0,0.5059974448934971,0.5059974448934971,0.0
5,4,-225.46993034923182,-225.46993034923182,0.0,1.0771270203970924,1.0771270203970924,0.0
6,0,-224.8022610458681,-224.8022610458681,0.0,1.1524520367417164,1.1524520367417164,0.0
6,1,-226.05592973682084,-226.05592973682084,0.0,0.8003831009664258,0.8003831009664258,0.0
6,2,-225.86451618741597,-225.86451618741597,0.0,0.5074365487922238,0.5074365487922238,0.0
6,3,-226.47487415070077,-226.47487415070077,0.0,0.5230348848141823,0.5230348848141823,0.0
6,4,-225.46993034923182,-225.46993034923182,0.0,1.0771270203970924,1.0771270203970924,0.0
7,0,-224.8022610458681,-224.8022610458681,0.0,1.1524520367417164,1.1524520367417164,0.0
7,1,-226.23523731435472,-226.23523731435472,0.0,0.8835010957989048,0.8835010957989048,0.0
