optimizer_iteration,image_index,energy_eV,relative_energy_eV,true_force_fmax_eV_A,neb_force_fmax_eV_A,neb_residual_eV_A,is_endpoint
0,0,-224.8022610458681,0.0,1.1524520367417164,,,True
0,1,-224.19030551045012,0.6119555354179909,1.2167133798338108,1.15696053634295,1.1421939037632725,False
0,2,-224.01167357560288,0.7905874702652227,1.2596927470915884,1.262714971969691,1.2341075932480858,False
0,3,-224.80137896199142,0.0008820838766894212,1.201450471721545,1.2027951738734628,1.1991412825123433,False
0,4,-225.46993034923182,-0.6676693033637093,1.0771270203970924,,,True
1,0,-224.8022610458681,0.0,1.1524520367417164,,,True
1,1,-224.4725468645621,0.3297141813060023,1.0618078187672488,1.0534788780427353,1.0377293757772574,False
1,2,-224.2873906085041,0.5148704373640101,1.1527234095373244,1.15559386714386,1.128363118745745,False
1,3,-225.0461318518297,-0.24387080596159194,1.1030603139764161,1.1047860863741747,1.100231592660639,False
1,4,-225.46993034923182,-0.6676693033637093,1.0771270203970924,,,True
2,0,-224.8022610458681,0.0,1.1524520367417164,,,True
2,1,-224.9300384781176,-0.127777432249502,0.8795392448680209,0.8885391808309129,0.8728618454166698,False
2,2,-224.73990899378148,0.062352052086623644,0.9523880967823545,0.9549453926006185,0.9295675631648075,False
2,3,-225.45000155108892,-0.6477405052208098,0.9196113842168192,0.9221736917347507,0.9123167717075054,False
2,4,-225.46993034923182,-0.6676693033637093,1.0771270203970924,,,True
3,0,-224.8022610458681,0.0,1.1524520367417164,,,True
3,1,-225.3370484580539,-0.5347874121858069,0.7211318182287781,0.7210530496582471,0.6785509786873306,False
3,2,-225.14741424769076,-0.3451532018226544,0.731495696361073,0.7337272616938458,0.7092572701568303,False
3,3,-225.81708272941515,-1.0148216835470407,0.7174073783743733,0.7336213703710818,0.7323971333857181,False
3,4,-225.46993034923182,-0.6676693033637093,1.0771270203970924,,,True
4,0,-224.8022610458681,0.0,1.1524520367417164,,,True
4,1,-225.64004858817597,-0.8377875423078649,0.591890273022673,0.5990763424587113,0.5254411635315952,False
4,2,-225.45319465623024,-0.6509336103621308,0.5286437942514741,0.526967056466692,0.5131804826744265,False
4,3,-226.09634348252843,-1.294082436660318,0.5257354714373066,0.5443355741125756,0.5416980120000132,False
4,4,-225.46993034923182,-0.6676693033637093,1.0771270203970924,,,True
5,0,-224.8022610458681,0.0,1.1524520367417164,,,True
5,1,-225.8680202259547,-1.0657591800865873,0.6962825373117226,0.6302123628665633,0.5456081183011062,False
5,2,-225.6818892826805,-0.8796282368123798,0.42495667715169455,0.3823444356146691,0.38210326502298947,False
5,3,-226.30752176712804,-1.5052607212599298,0.5059974448934971,0.38836167965367097,0.3882086623126407,False
5,4,-225.46993034923182,-0.6676693033637093,1.0771270203970924,,,True
6,0,-224.8022610458681,0.0,1.1524520367417164,,,True
6,1,-226.05592973682084,-1.2536686909527361,0.8003831009664258,0.6512393080190166,0.5525988874458108,False
6,2,-225.86451618741597,-1.0622551415478654,0.5074365487922238,0.5049662223729834,0.5044935498939215,False
6,3,-226.47487415070077,-1.6726131048326636,0.5230348848141823,0.478476332904417,0.47842929350296093,False
6,4,-225.46993034923182,-0.6676693033637093,1.0771270203970924,,,True
7,0,-224.8022610458681,0.0,1.1524520367417164,,,True
7,1,-226.23523731435472,-1.4329762684866125,0.8835010957989048,0.6763250038052784,0.5616986592945067,False
7,2,-226.03060386694278,-1.2283428210746763,0.5817562933368544,0.5791082021909375,0.5782852264013681,False
7,3,-226.62236431049735,-1.820103264629239,0.5292044716770751,0.5283154794134302,0.5283041693347768,False
7,4,-225.46993034923182,-0.6676693033637093,1.0771270203970924,,,True
8,0,-224.8022610458681,0.0,1.1524520367417164,,,True
8,1,-226.42649727082488,-1.6242362249567748,0.9355677428213226,0.70376315505336,0.5872715828374846,False
8,2,-226.20050626316294,-1.3982452172948285,0.5968046200832866,0.5940371047597742,0.5929646641434707,False
8,3,-226.76871299875904,-1.9664519528909352,0.5353592057061193,0.5333763476581137,0.5333756996113342,False
8,4,-225.46993034923182,-0.6676693033637093,1.0771270203970924,,,True
9,0,-224.8022610458681,0.0,1.1524520367417164,,,True
9,1,-226.63149255758626,-1.8292315117181488,0.9562099755698068,0.7321885492908612,0.6242651337671015,False
9,2,-226.376764576703,-1.5745035308349031,0.5580302898192981,0.5614372967398299,0.5526747067994905,False
9,3,-226.92014726176927,-2.1178862159011658,0.5317386722916464,0.4936527596313373,0.49365081898394914,False
9,4,-225.46993034923182,-0.6676693033637093,1.0771270203970924,,,True
10,0,-224.8022610458681,0.0,1.1524520367417164,,,True
10,1,-226.8366416695235,-2.0343806236553803,0.9515364154418942,0.7597876047479194,0.6573357110488954,False
10,2,-226.54670742229857,-1.74444637643046,0.4823821781480754,0.487706127122566,0.4744488055395328,False
10,3,-227.07058718137083,-2.2683261355027184,0.4925607943870049,0.4375801489411712,0.4295578731774955,False
10,4,-225.46993034923182,-0.6676693033637093,1.0771270203970924,,,True
11,0,-224.8022610458681,0.0,1.1524520367417164,,,True
11,1,-227.0225753084915,-2.22031426262339,0.9287810321411255,0.7775086277188653,0.6705621189796566,False
11,2,-226.69208160048012,-1.8898205546120153,0.40194914008914484,0.3807030510964534,0.3635845504940841,False
11,3,-227.20696694542988,-2.404705899561776,0.46662503366377567,0.3816943470727303,0.37025269260351185,False
11,4,-225.46993034923182,-0.6676693033637093,1.0771270203970924,,,True
12,0,-224.8022610458681,0.0,1.1524520367417164,,,True
12,1,-227.17315272460309,-2.370891678734978,0.8918967742846844,0.7710826462443642,0.6523397302010645,False
12,2,-226.79835607847122,-1.9960950326031082,0.4077005384625524,0.2558135281345376,0.23304054703368476,False
12,3,-227.3155279789231,-2.513266933054979,0.43528896311702525,0.3628118139387926,0.2916158160800322,False
12,4,-225.46993034923182,-0.6676693033637093,1.0771270203970924,,,True
13,0,-224.8022610458681,0.0,1.1524520367417164,,,True
13,1,-227.28149068815236,-2.4792296422842526,0.8402739095404991,0.7272835095658507,0.5969304704166557,False
13,2,-226.86065219645798,-2.0583911505898698,0.4216490554786712,0.15427309564286884,0.1491083451171654,False
13,3,-227.38697500862082,-2.5847139627527156,0.39916691570876944,0.3493627532805669,0.22894527782755017,False
13,4,-225.46993034923182,-0.6676693033637093,1.0771270203970924,,,True
14,0,-224.8022610458681,0.0,1.1524520367417164,,,True
14,1,-227.35362076269402,-2.551359716825914,0.7692563606600878,0.63788098693648,0.5055807197009842,False
14,2,-226.8872241994014,-2.0849631535332946,0.43204859636333154,0.23239852281709467,0.2322434273521468,False
14,3,-227.4214685826233,-2.619207536755198,0.36083113164641556,0.31418057526454457,0.22506504687194914,False
14,4,-225.46993034923182,-0.6676693033637093,1.0771270203970924,,,True
15,0,-224.8022610458681,0.0,1.1524520367417164,,,True
15,1,-227.40293215484127,-2.6006711089731596,0.6698753420617077,0.5004209460180306,0.38209932546253633,False
15,2,-226.89481548908884,-2.0925544432207346,0.4361729526060537,0.27769341493505584,0.27484265409853503,False
15,3,-227.43037033957248,-2.6281092937043695,0.3262291184420558,0.2728423923091713,0.22843985911937856,False
15,4,-225.46993034923182,-0.6676693033637093,1.0771270203970924,,,True
16,0,-224.8022610458681,0.0,1.1524520367417164,,,True
16,1,-227.4378085255496,-2.6355474796814917,0.5373686007537906,0.3184671754342624,0.28382366989394914,False
16,2,-226.8967502251143,-2.0944891792461817,0.4408639947209596,0.27849613541736207,0.27016463900485016,False
16,3,-227.4295293666347,-2.6272683207666034,0.30202685039441146,0.25652738842533407,0.2562972365670936,False
16,4,-225.46993034923182,-0.6676693033637093,1.0771270203970924,,,True
17,0,-224.8022610458681,0.0,1.1524520367417164,,,True
17,1,-227.45409657142685,-2.651835525558738,0.3873543623699384,0.2853426696211653,0.24483250464639972,False
17,2,-226.89592384624066,-2.093662800372556,0.4505963348985166,0.23708704176281148,0.22029139834920378,False
17,3,-227.4282362812686,-2.625975235400489,0.2908774126336432,0.253850926433188,0.253831015559593,False
17,4,-225.46993034923182,-0.6676693033637093,1.0771270203970924,,,True
18,0,-224.8022610458681,0.0,1.1524520367417164,,,True
18,1,-227.43728252548664,-2.63502147961853,0.5139178734047335,0.41269626818964983,0.33712400724858665,False
18,2,-226.88617713188466,-2.0839160860165578,0.4578112228259824,0.1667295023460315,0.13537258902734142,False
18,3,-227.42120761721026,-2.61894657134215,0.2888865458289636,0.276032911639677,0.2696123319658208,False
18,4,-225.46993034923182,-0.6676693033637093,1.0771270203970924,,,True
19,0,-224.8022610458681,0.0,1.1524520367417164,,,True
19,1,-227.44688239600305,-2.6446213501349405,0.4609050425003197,0.3594882167371812,0.29187441693503874,False
19,2,-226.89476898505242,-2.0925079391843155,0.4495781417497029,0.1529020652267593,0.12284594238455944,False
19,3,-227.42957484130943,-2.6273137954413244,0.29349626475112295,0.2694584636576461,0.26604798305696237,False
19,4,-225.46993034923182,-0.6676693033637093,1.0771270203970924,,,True
20,0,-224.8022610458681,0.0,1.1524520367417164,,,True
20,1,-227.4619996169881,-2.6597385711199877,0.37050100192272006,0.2677494667965874,0.21395761742366562,False
20,2,-226.9094489987374,-2.107187952869282,0.43956288101308794,0.1341170990955779,0.10807704689560424,False
20,3,-227.44249468301712,-2.6402336371490094,0.3042247201682691,0.26027126936781697,0.2598715803842987,False
20,4,-225.46993034923182,-0.6676693033637093,1.0771270203970924,,,True
21,0,-224.8022610458681,0.0,1.1524520367417164,,,True
21,1,-227.4773981863371,-2.6751371404689905,0.3769217539388504,0.15876513934163794,0.1215135232257005,False
21,2,-226.92667041738085,-2.1244093715127406,0.43371370253687885,0.12711516888111463,0.09562715105372853,False
21,3,-227.45554222813672,-2.653281182268614,0.3201509565966897,0.2532226497703157,0.252566869352381,False
21,4,-225.46993034923182,-0.6676693033637093,1.0771270203970924,,,True
22,0,-224.8022610458681,0.0,1.1524520367417164,,,True
22,1,-227.49014677962253,-2.6878857337544275,0.4453463709036592,0.10042543333487235,0.0796957813937955,False
22,2,-226.94338755274254,-2.1411265068744285,0.4310809848797319,0.11455387308989189,0.08548467689747785,False
22,3,-227.4675493888671,-2.6652883429989913,0.3351074948387745,0.249918451206033,0.2454854825499236,False
22,4,-225.46993034923182,-0.6676693033637093,1.0771270203970924,,,True
23,0,-224.8022610458681,0.0,1.1524520367417164,,,True
23,1,-227.50103264323735,-2.6987715973692445,0.5035386519723898,0.16518921067951067,0.1357830119299442,False
23,2,-226.9573892058152,-2.1551281599470826,0.42730373967714996,0.0960436822911904,0.08014512340962927,False
23,3,-227.4811715226499,-2.6789104767817946,0.3405642674586429,0.24793827382235098,0.23925667317745142,False
23,4,-225.46993034923182,-0.6676693033637093,1.0771270203970924,,,True
24,0,-224.8022610458681,0.0,1.1524520367417164,,,True
24,1,-227.51284593000474,-2.7105848841366367,0.5354350551893865,0.2061739508825349,0.16947418069993436,False
24,2,-226.96700641510066,-2.1647453692325485,0.42290586452063905,0.07488744577408558,0.06288176404510869,False
24,3,-227.49894333144493,-2.696682285576827,0.3314672781640019,0.24409007370527336,0.23382168161985553,False
24,4,-225.46993034923182,-0.6676693033637093,1.0771270203970924,,,True
25,0,-224.8022610458681,0.0,1.1524520367417164,,,True
25,1,-227.52757367704356,-2.7253126311754556,0.533329477929462,0.2171593151253387,0.1766884050191833,False
25,2,-226.97131515062026,-2.169054104752149,0.4225799642463119,0.06561446874240622,0.06443855190029694,False
25,3,-227.52015346633473,-2.717892420466626,0.30825359384116874,0.23773692059875937,0.22934619157846617,False
25,4,-225.46993034923182,-0.6676693033637093,1.0771270203970924,,,True
26,0,-224.8022610458681,0.0,1.1524520367417164,,,True
26,1,-227.54719677597788,-2.7449357301097734,0.49268989593884654,0.1945791202247405,0.15408770355151288,False
