      Step     Time          Energy          fmax
FIRE:    0 02:38:31     -224.011674        1.262715
FIRE:    1 02:38:32     -224.286658        1.149232
FIRE:    2 02:38:33     -224.732708        0.936994
FIRE:    3 02:38:34     -225.128107        0.705341
FIRE:    4 02:38:35     -225.415550        0.616598
FIRE:    5 02:38:36     -225.621050        0.649862
FIRE:    6 02:38:36     -225.777792        0.644240
FIRE:    7 02:38:37     -225.917006        0.607622
FIRE:    8 02:38:38     -226.059069        0.574232
FIRE:    9 02:38:39     -226.203969        0.522813
FIRE:   10 02:38:40     -226.335009        0.420144
FIRE:   11 02:38:41     -226.430566        0.310112
FIRE:   12 02:38:42     -226.475229        0.242313
FIRE:   13 02:38:42     -226.470028        0.296619
FIRE:   14 02:38:43     -226.474154        0.273971
FIRE:   15 02:38:44     -226.481028        0.231929
FIRE:   16 02:38:45     -226.488454        0.176649
FIRE:   17 02:38:46     -226.494329        0.117080
FIRE:   18 02:38:47     -226.497621        0.082283
FIRE:   19 02:38:48     -226.498932        0.091181
FIRE:   20 02:38:48     -226.499786        0.111426
FIRE:   21 02:38:49     -226.501482        0.113047
FIRE:   22 02:38:50     -226.504216        0.093810
FIRE:   23 02:38:51     -226.506754        0.062885
FIRE:   24 02:38:52     -226.507209        0.069081
FIRE:   25 02:38:53     -226.505815        0.092360
FIRE:   26 02:38:53     -226.506229        0.088204
FIRE:   27 02:38:54     -226.506970        0.080172
FIRE:   28 02:38:55     -226.507879        0.068834
FIRE:   29 02:38:56     -226.508775        0.055927
FIRE:   30 02:38:57     -226.509495        0.048605
