optimizer_iteration,image_index,base_energy_eV,restrained_energy_eV,tether_energy_eV,base_fmax_eV_A,restrained_fmax_eV_A,max_reference_displacement_A
0,0,-224.8022610458681,-224.8022610458681,0.0,1.1524520367417164,1.1524520367417164,0.0
0,1,-224.19030551045012,-224.19030551045012,0.0,1.2167133798338108,1.2167133798338108,0.0
0,2,-224.01167357560288,-224.01167357560288,0.0,1.2596927470915884,1.2596927470915884,0.0
0,3,-224.80137896199142,-224.80137896199142,0.0,1.201450471721545,1.201450471721545,0.0
0,4,-225.46993034923182,-225.46993034923182,0.0,1.0771270203970924,1.0771270203970924,0.0
1,0,-224.8022610458681,-224.8022610458681,0.0,1.1524520367417164,1.1524520367417164,0.0
1,1,-224.4725468645621,-224.471702256133,0.0008446084291027539,1.0618078187672488,1.056058529052052,0.011569605363428808
1,2,-224.2873906085041,-224.2866584226888,0.0007321858153174828,1.1527234095373244,1.1464099542148527,0.012627149719696931
1,3,-225.0461318518297,-225.04546561839635,0.0006662334333439198,1.1030603139764161,1.0970473679930153,0.012027951738735013
1,4,-225.46993034923182,-225.46993034923182,0.0,1.0771270203970924,1.0771270203970924,0.0
2,0,-224.8022610458681,-224.8022610458681,0.0,1.1524520367417164,1.1524520367417164,0.0
2,1,-224.9288669025223,-224.92187055297873,0.006996349543554618,0.8800382814908175,0.8633011474882047,0.03348915889439807
2,2,-224.73885982634218,-224.7327077190219,0.006152107320281366,0.9529235043332024,0.9345464432237868,0.03675935610127495
2,3,-225.44901682973506,-225.443394296886,0.005622532849060752,0.9200949870473741,0.9025695634641979,0.035060565606881935
2,4,-225.46993034923182,-225.46993034923182,0.0,1.0771270203970924,1.0771270203970924,0.0
3,0,-224.8022610458681,-224.8022610458681,0.0,1.1524520367417164,1.1524520367417164,0.0
3,1,-225.3363366504315,-225.3154526384401,0.02088401199140857,0.721843906414352,0.6947520399963819,0.05910567633935105
3,2,-225.14692116944462,-225.12810710352076,0.018814065923868053,0.7320250258405462,0.6997240203231493,0.06465874019285076
3,3,-225.81640891109055,-225.79910948596248,0.01729942512805955,0.7178563291759429,0.6869769802337772,0.06180356103454667
3,4,-225.46993034923182,-225.46993034923182,0.0,1.0771270203970924,1.0771270203970924,0.0
4,0,-224.8022610458681,-224.8022610458681,0.0,1.1524520367417164,1.1524520367417164,0.0
4,1,-225.64068883049217,-225.59924288354964,0.041445946942540154,0.5891155760770668,0.6205742904652488,0.08491430383956626
4,2,-225.45374789417005,-225.41554968445212,0.03819820971794165,0.5290436250468081,0.4905699005284014,0.09270732347638173
4,3,-226.09614511312503,-226.06080144276032,0.035343670364709756,0.5262980042584826,0.5193478648250932,0.08883808707468362
4,4,-225.46993034923182,-225.46993034923182,0.0,1.0771270203970924,1.0771270203970924,0.0
5,0,-224.8022610458681,-224.8022610458681,0.0,1.1524520367417164,1.1524520367417164,0.0
5,1,-225.87204071949122,-225.80398718454285,0.06805353494837939,0.6840823116217248,0.7094837581050338,0.1105753377762327
5,2,-225.6849333254452,-225.62104977012734,0.06388355531786584,0.41628702070547474,0.40968872437471837,0.12054762830144328
5,3,-226.30860968081728,-226.24911029059808,0.05949939021920253,0.5052629291502606,0.5555815676427213,0.11598142610474743
5,4,-225.46993034923182,-225.46993034923182,0.0,1.0771270203970924,1.0771270203970924,0.0
6,0,-224.8022610458681,-224.8022610458681,0.0,1.1524520367417164,1.1524520367417164,0.0
6,1,-226.06655099522996,-225.96649873183412,0.10005226339582612,0.7751127209575761,0.7583724056107034,0.13551381358461329
6,2,-225.8728126054443,-225.77779183044208,0.09502077500220725,0.4985989448221284,0.5164071279197515,0.14741992296207543
