optimizer_iteration,image_index,energy_eV,relative_energy_eV,true_force_fmax_eV_A,neb_force_fmax_eV_A,neb_residual_eV_A,is_endpoint
0,0,-224.8022610458681,0.0,1.1524520367417164,,,True
0,1,-224.19030551045012,0.6119555354179909,1.2167133798338108,1.15696053634295,1.1421939037632725,False
0,2,-224.01167357560288,0.7905874702652227,1.2596927470915884,1.262714971969691,1.2341075932480858,False
0,3,-224.80137896199142,0.0008820838766894212,1.201450471721545,1.2027951738734628,1.1991412825123433,False
0,4,-225.46993034923182,-0.6676693033637093,1.0771270203970924,,,True
1,0,-224.8022610458681,0.0,1.1524520367417164,,,True
1,1,-224.471702256133,0.33055878973510744,1.056058529052052,1.0476438228267615,1.031985357461683,False
1,2,-224.2866584226888,0.5156026231793192,1.1464099542148527,1.1492321983815021,1.1221596751843217,False
1,3,-225.04546561839635,-0.24320457252824212,1.0970473679930153,1.0987984203079868,1.0943111185637817,False
1,4,-225.46993034923182,-0.6676693033637093,1.0771270203970924,,,True
2,0,-224.8022610458681,0.0,1.1524520367417164,,,True
2,1,-224.92187055297873,-0.11960950711062424,0.8633011474882047,0.8724417892263797,0.8570506202528424,False
2,2,-224.7327077190219,0.0695533268462043,0.9345464432237868,0.9369939984479086,0.9120714403998031,False
2,3,-225.443394296886,-0.6411332510178909,0.9025695634641979,0.9052320969880768,0.895473676093009,False
2,4,-225.46993034923182,-0.6676693033637093,1.0771270203970924,,,True
3,0,-224.8022610458681,0.0,1.1524520367417164,,,True
3,1,-225.3154526384401,-0.5131915925719852,0.6947520399963819,0.6945718615212305,0.6512379054031158,False
3,2,-225.12810710352076,-0.3258460576526545,0.6997240203231493,0.7018143275605342,0.6781355109583886,False
3,3,-225.79910948596248,-0.996848440094368,0.6869769802337772,0.7053410276326441,0.7041440758458394,False
3,4,-225.46993034923182,-0.6676693033637093,1.0771270203970924,,,True
4,0,-224.8022610458681,0.0,1.1524520367417164,,,True
4,1,-225.59924288354964,-0.7969818376815283,0.6205742904652488,0.6165979591226539,0.5336630782786806,False
4,2,-225.41554968445212,-0.6132886385840095,0.4905699005284014,0.48175503268595277,0.47606965325925965,False
4,3,-226.06080144276032,-1.258540396892215,0.5193478648250932,0.5088428434509137,0.5060922152793368,False
4,4,-225.46993034923182,-0.6676693033637093,1.0771270203970924,,,True
5,0,-224.8022610458681,0.0,1.1524520367417164,,,True
5,1,-225.80398718454285,-1.0017261386747407,0.7094837581050338,0.6498621102177716,0.5420016713671647,False
5,2,-225.62104977012734,-0.8187887242592353,0.40968872437471837,0.3910355794281318,0.39079297283954634,False
5,3,-226.24911029059808,-1.4468492447299752,0.5555815676427213,0.39301610742110565,0.39289398427324307,False
5,4,-225.46993034923182,-0.6676693033637093,1.0771270203970924,,,True
6,0,-224.8022610458681,0.0,1.1524520367417164,,,True
6,1,-225.96649873183412,-1.1642376859660146,0.7583724056107034,0.6442401104907184,0.5019455417834517,False
6,2,-225.77779183044208,-0.9755307845739765,0.5164071279197515,0.5142392396642932,0.5135826634208299,False
6,3,-226.38969709172332,-1.5874360458552133,0.5722902437543059,0.47771215286448976,0.4776797760941971,False
6,4,-225.46993034923182,-0.6676693033637093,1.0771270203970924,,,True
7,0,-224.8022610458681,0.0,1.1524520367417164,,,True
7,1,-226.11868210721988,-1.3164210613517753,0.753686772158965,0.6076223838227329,0.551078505552047,False
7,2,-225.91700557387185,-1.1147445280037402,0.5783482418022096,0.5760729604745269,0.574988228244716,False
7,3,-226.50783209985096,-1.705571053982851,0.5720612329514961,0.5183647798461916,0.5183594262455982,False
7,4,-225.46993034923182,-0.6676693033637093,1.0771270203970924,,,True
8,0,-224.8022610458681,0.0,1.1524520367417164,,,True
8,1,-226.27916258745296,-1.4769015415848514,0.6959550465088754,0.5490876148503904,0.5472337661312215,False
8,2,-226.0590685340474,-1.2568074881793052,0.5739209675514846,0.5742320707532239,0.5702391809806691,False
8,3,-226.6229406359693,-1.8206795901011787,0.5577381695322879,0.5102071775091569,0.510207160849572,False
8,4,-225.46993034923182,-0.6676693033637093,1.0771270203970924,,,True
9,0,-224.8022610458681,0.0,1.1524520367417164,,,True
9,1,-226.4450527754656,-1.6427917295974908,0.5992083348721521,0.49021840671713646,0.487907564107806,False
9,2,-226.2039691184598,-1.4017080725917026,0.5196026997975797,0.522813126121644,0.5089592440447903,False
9,3,-226.7404792166633,-1.9382181707951815,0.531295565052254,0.4535780907626354,0.4535731962261244,False
9,4,-225.46993034923182,-0.6676693033637093,1.0771270203970924,,,True
10,0,-224.8022610458681,0.0,1.1524520367417164,,,True
10,1,-226.59690762259876,-1.7946465767306563,0.4854941243731357,0.38426156026814506,0.3815646931613623,False
10,2,-226.33500881881218,-1.5327477729440773,0.41529308718264357,0.42014404655304743,0.40140304777177177,False
10,3,-226.8520629702414,-2.0498019243732983,0.4928307705801672,0.3881772353035731,0.3748085837905875,False
10,4,-225.46993034923182,-0.6676693033637093,1.0771270203970924,,,True
11,0,-224.8022610458681,0.0,1.1524520367417164,,,True
11,1,-226.71046504983062,-1.9082040039625099,0.3800611635829902,0.2831862891398783,0.24058295437614075,False
11,2,-226.43056551882108,-1.6283044729529763,0.3883532733920276,0.28256238893196367,0.2568805006318831,False
11,3,-226.9414277953891,-2.139166749520996,0.4406692069526472,0.3101123428443847,0.29361716800780113,False
11,4,-225.46993034923182,-0.6676693033637093,1.0771270203970924,,,True
12,0,-224.8022610458681,0.0,1.1524520367417164,,,True
12,1,-226.76730626878071,-1.9650452229126074,0.3043283147091986,0.24231280290298243,0.1991177024835012,False
12,2,-226.4752288671653,-1.672967821297192,0.4219004613045548,0.161925385628844,0.15409196165341327,False
12,3,-226.99114015617184,-2.1888791103037306,0.371413225309105,0.20016545612134015,0.17794058294352139,False
12,4,-225.46993034923182,-0.6676693033637093,1.0771270203970924,,,True
13,0,-224.8022610458681,0.0,1.1524520367417164,,,True
13,1,-226.76512693662946,-1.9628658907613499,0.2981890632902633,0.2966187848944608,0.2815773623684996,False
13,2,-226.4700284371947,-1.6677673913266062,0.424171064460895,0.19353917397160528,0.19112260419283358,False
13,3,-226.98834584889124,-2.1860848030231352,0.28139548055704605,0.1408440397272587,0.13873363117408405,False
13,4,-225.46993034923182,-0.6676693033637093,1.0771270203970924,,,True
14,0,-224.8022610458681,0.0,1.1524520367417164,,,True
14,1,-226.76923771313818,-1.9669766672700746,0.2753495799330022,0.2739707512743601,0.25843752570145023,False
14,2,-226.4741542209193,-1.6718931750511956,0.41794204284367975,0.17974911449697578,0.17721959649506108,False
14,3,-226.99124315304397,-2.1889821071758604,0.2814383541976547,0.13641371996711385,0.13166774410980456,False
14,4,-225.46993034923182,-0.6676693033637093,1.0771270203970924,,,True
15,0,-224.8022610458681,0.0,1.1524520367417164,,,True
15,1,-226.77611905357793,-1.973858007709822,0.23288916079035696,0.23192949158476933,0.21527382599719821,False
15,2,-226.4810284333704,-1.6787673875022904,0.40827910151214303,0.15350562642048984,0.1507046665718342,False
15,3,-226.99638091274673,-2.194119866878623,0.28155045421501457,0.12765413235487658,0.11899622009774109,False
15,4,-225.46993034923182,-0.6676693033637093,1.0771270203970924,,,True
16,0,-224.8022610458681,0.0,1.1524520367417164,,,True
16,1,-226.783634817257,-1.9813737713888884,0.17682774478480986,0.17664948048890478,0.15779896599782772,False
16,2,-226.48845359404044,-1.686192548172329,0.3995552656279396,0.11745646332090885,0.11408687660411598,False
16,3,-227.00267977007945,-2.200418724211346,0.28166704149673866,0.11476524857437709,0.10590426736051303,False
16,4,-225.46993034923182,-0.6676693033637093,1.0771270203970924,,,True
17,0,-224.8022610458681,0.0,1.1524520367417164,,,True
17,1,-226.7897418435755,-1.9874807977074056,0.13185712059276092,0.11708047187468734,0.09354586947524916,False
17,2,-226.49432906535398,-1.6920680194858733,0.3953732022650563,0.07836119485090727,0.07103476540508814,False
17,3,-227.00901781298447,-2.20675676711636,0.28142377617969,0.09808018732502623,0.08880009230515289,False
17,4,-225.46993034923182,-0.6676693033637093,1.0771270203970924,,,True
18,0,-224.8022610458681,0.0,1.1524520367417164,,,True
18,1,-226.79342913495847,-1.9911680890903654,0.12770380128273529,0.08140963202667735,0.06223010928752575,False
18,2,-226.49762122775698,-1.6953601818888728,0.396149939503582,0.08228271548858113,0.08134340611833968,False
18,3,-227.0146270979623,-2.2123660520941826,0.27986703725928125,0.07829102497053493,0.06813459540394558,False
18,4,-225.46993034923182,-0.6676693033637093,1.0771270203970924,,,True
19,0,-224.8022610458681,0.0,1.1524520367417164,,,True
19,1,-226.79529012253874,-1.9930290766706378,0.13857487811855415,0.09118097846343295,0.06025829473397141,False
19,2,-226.4989321673958,-1.696671121527686,0.3989584585950535,0.08841804134790426,0.08839346986566143,False
19,3,-227.0192913447167,-2.2170302988485844,0.2756127535529922,0.0709167178741625,0.05755269895983202,False
19,4,-225.46993034923182,-0.6676693033637093,1.0771270203970924,,,True
20,0,-224.8022610458681,0.0,1.1524520367417164,,,True
20,1,-226.79687999936684,-1.9946189534987298,0.14661804446624604,0.11142568276024045,0.08217719048614627,False
20,2,-226.49978608050495,-1.6975250346368398,0.40124354545521335,0.08904483363134734,0.07897493487664059,False
20,3,-227.02327967867603,-2.221018632807926,0.26775977520465544,0.06849787012367015,0.06503928660358813,False
20,4,-225.46993034923182,-0.6676693033637093,1.0771270203970924,,,True
21,0,-224.8022610458681,0.0,1.1524520367417164,,,True
21,1,-226.7997152918897,-1.99745424602159,0.14152600226400244,0.11304658697699173,0.08254362815460735,False
21,2,-226.50148235099257,-1.6992213051244676,0.40344461461763614,0.08406777513410804,0.0779350860139905,False
21,3,-227.02742966298746,-2.225168617119351,0.2544724662167235,0.06696619124702431,0.0667908559853173,False
21,4,-225.46993034923182,-0.6676693033637093,1.0771270203970924,,,True
22,0,-224.8022610458681,0.0,1.1524520367417164,,,True
22,1,-226.80420095109594,-2.001939905227829,0.11785344426149613,0.09381045497816289,0.06431367084809682,False
22,2,-226.50421574947032,-1.7019547036022118,0.4079220930224026,0.06985504145485014,0.06534564476077123,False
22,3,-227.03196596960512,-2.2297049237370175,0.23455569052792596,0.05984202750696746,0.05840496560278958,False
22,4,-225.46993034923182,-0.6676693033637093,1.0771270203970924,,,True
23,0,-224.8022610458681,0.0,1.1524520367417164,,,True
23,1,-226.8090916091628,-2.0068305632946988,0.07674606829185503,0.06273322466696885,0.05344050060771892,False
23,2,-226.50675382197525,-1.704492776107145,0.4164712238391059,0.06288508298498453,0.05345573256277839,False
23,3,-227.03661243663214,-2.234351390764033,0.20772350686940116,0.05394700990388436,0.04958544673532904,False
23,4,-225.46993034923182,-0.6676693033637093,1.0771270203970924,,,True
24,0,-224.8022610458681,0.0,1.1524520367417164,,,True
24,1,-226.81183484805533,-2.0095738021872194,0.0682055841418358,0.06908123329936992,0.04879325343664423,False
24,2,-226.50720893824854,-1.7049478923804315,0.42670723161439433,0.0671288875524479,0.06143998965218813,False
24,3,-227.04060734061204,-2.238346294743934,0.17600028269634374,0.060508719853809116,0.05937390370752845,False
24,4,-225.46993034923182,-0.6676693033637093,1.0771270203970924,,,True
25,0,-224.8022610458681,0.0,1.1524520367417164,,,True
25,1,-226.8114690652989,-2.009208019430787,0.08289967600236556,0.0923597809688431,0.09163531359988387,False
25,2,-226.50581456902842,-1.7035535231603092,0.43418164785283037,0.07444030167160466,0.06479212118348195,False
25,3,-227.04362376817147,-2.2413627223033643,0.14606593284312763,0.06565590387093667,0.06521097614490051,False
25,4,-225.46993034923182,-0.6676693033637093,1.0771270203970924,,,True
26,0,-224.8022610458681,0.0,1.1524520367417164,,,True
26,1,-226.81182699789483,-2.009565952026719,0.07955969354203168,0.0882043054801623,0.08742964423992534,False
