      Step     Time          Energy          fmax
FIRE:    0 10:49:15     -222.585662        1.772556
FIRE:    1 10:49:16     -222.928836        1.598150
FIRE:    2 10:49:17     -223.504769        1.288703
FIRE:    3 10:49:18     -223.981751        1.014628
FIRE:    4 10:49:19     -224.378894        0.910909
FIRE:    5 10:49:20     -224.718995        0.811244
FIRE:    6 10:49:21     -225.018135        0.720928
FIRE:    7 10:49:22     -225.291327        0.651358
FIRE:    8 10:49:22     -225.550151        0.690669
FIRE:    9 10:49:23     -225.799372        0.700879
FIRE:   10 10:49:24     -226.037126        0.724324
FIRE:   11 10:49:25     -226.257258        0.739674
FIRE:   12 10:49:26     -226.452501        0.741238
FIRE:   13 10:49:27     -226.617253        0.724142
FIRE:   14 10:49:27     -226.749409        0.684447
FIRE:   15 10:49:28     -226.851047        0.619163
FIRE:   16 10:49:29     -226.927426        0.528215
FIRE:   17 10:49:30     -226.984041        0.434730
FIRE:   18 10:49:31     -227.023660        0.486904
FIRE:   19 10:49:32     -227.045832        0.498617
FIRE:   20 10:49:33     -227.049906        0.443525
FIRE:   21 10:49:33     -227.040632        0.315275
FIRE:   22 10:49:34     -227.056942        0.252968
FIRE:   23 10:49:35     -227.081823        0.199035
FIRE:   24 10:49:36     -227.107579        0.213955
FIRE:   25 10:49:37     -227.130665        0.238921
FIRE:   26 10:49:38     -227.148009        0.236891
FIRE:   27 10:49:38     -227.157592        0.216722
FIRE:   28 10:49:39     -227.164213        0.198119
FIRE:   29 10:49:40     -227.175276        0.192592
FIRE:   30 10:49:41     -227.191121        0.186778
FIRE:   31 10:49:42     -227.208617        0.153940
FIRE:   32 10:49:43     -227.222136        0.106599
FIRE:   33 10:49:43     -227.225484        0.095377
