      Step     Time          Energy          fmax
FIRE:    0 11:46:57     -222.585662        1.772556
FIRE:    1 11:46:58     -222.927604        1.528118
FIRE:    2 11:46:59     -223.492825        1.147639
FIRE:    3 11:47:00     -223.961984        0.973409
FIRE:    4 11:47:00     -224.341657        0.851718
FIRE:    5 11:47:01     -224.658962        0.731995
FIRE:    6 11:47:02     -224.931022        0.622607
FIRE:    7 11:47:03     -225.173797        0.643500
FIRE:    8 11:47:04     -225.399227        0.671919
FIRE:    9 11:47:05     -225.611303        0.655457
FIRE:   10 11:47:06     -225.806372        0.599296
FIRE:   11 11:47:06     -225.976061        0.510907
FIRE:   12 11:47:07     -226.111248        0.410322
FIRE:   13 11:47:08     -226.205819        0.300696
FIRE:   14 11:47:09     -226.260166        0.269233
FIRE:   15 11:47:10     -226.282280        0.258248
FIRE:   16 11:47:11     -226.281463        0.253073
FIRE:   17 11:47:11     -226.289647        0.225149
FIRE:   18 11:47:12     -226.301845        0.175936
FIRE:   19 11:47:13     -226.312587        0.140692
FIRE:   20 11:47:14     -226.319118        0.120182
FIRE:   21 11:47:15     -226.323332        0.142363
FIRE:   22 11:47:16     -226.328567        0.144425
FIRE:   23 11:47:16     -226.335676        0.126030
FIRE:   24 11:47:17     -226.343288        0.106661
FIRE:   25 11:47:18     -226.347238        0.158134
FIRE:   26 11:47:19     -226.347475        0.153563
FIRE:   27 11:47:20     -226.347929        0.144732
FIRE:   28 11:47:21     -226.348561        0.132253
FIRE:   29 11:47:21     -226.349322        0.116994
FIRE:   30 11:47:22     -226.350168        0.100005
FIRE:   31 11:47:23     -226.351062        0.082409
