image_index_qe,rescored_energy_eV,relative_to_initial_eV,relative_to_minimum_eV,atomic_fmax_eV_A,source_stored_energy_eV,source_calculator_class,frozen_endpoint
1,-308.63422930718366,0.0,1.037407224042056,1.2343278594210707,-179665.26139882064,SinglePointCalculator,True
2,-309.3186473481586,-0.684418040974947,0.352989183067109,0.04346154634753614,-309.31864734815866,SinglePointCalculator,False
3,-309.35652645617046,-0.7222971489867973,0.3151100750552587,0.02648469773340712,-309.35652645617034,SinglePointCalculator,False
4,-309.35961384399764,-0.7253845368139764,0.3120226872280796,0.013860462390221175,-309.35961384399764,SinglePointCalculator,False
5,-309.3507166487134,-0.7164873415297279,0.32091988251232806,0.027168001236394505,-309.3507166487134,SinglePointCalculator,False
6,-309.3196353877942,-0.6854060806105622,0.3520011434314938,0.10802696895261092,-309.3196353877942,SinglePointCalculator,False
7,-309.2201601918983,-0.5859308847146281,0.4514763393274279,0.3519014660497037,-309.2201601918983,SinglePointCalculator,False
8,-309.03596005298886,-0.40173074580519597,0.63567647823686,0.42689192320938224,-309.0359600529888,SinglePointCalculator,False
9,-308.94351248661496,-0.30928317943130423,0.7281240446107518,0.014344444953246814,-308.94351248661496,SinglePointCalculator,False
10,-309.1851100780107,-0.5508807708270638,0.4865264532149922,0.7334227121456466,-309.1851100780107,SinglePointCalculator,False
11,-309.6716365312257,-1.037407224042056,0.0,0.5540657359878975,-309.6716365312257,SinglePointCalculator,False
12,-309.0132814571389,-0.3790521499552142,0.6583550740868418,0.5132169083422995,-179664.531481068,SinglePointCalculator,True
