run_id,source_collection,relative_path,slurm_job_id,manifest_count,file_count,bytes,tree_sha256
81_atom_2D_421_Diffusion_traj,revision1,data/raw_compact/revision1/81_atom_2D_421_Diffusion_traj,,0,17,676554,0018a938e7d7c6b11b54ad81757a2910aa6faa425920b5dbdab982a82c40c300
dft_raw,revision1,data/raw_compact/revision1/dft_raw,,0,2,381955,82f68436450013f46102c3984878ec52942f8602cac507ce9daf31c58798cb33
inventory,revision1,data/raw_compact/revision1/inventory,,0,5,150132,00704d7dc0d87d882faf9b897c8032d1770376172b6e3791c56fae2d0c4d38ff
mb_mace14_smoke_s42,revision1,data/raw_compact/revision1/mb_mace14_smoke_s42,,1,5,40411,5d9f80632b1b5a8d3eddde0f5bda95cbd2868b1bdb554b47a40bbec861c996cc
mb_mace14_smoke_s42_30761086,revision1,data/raw_compact/revision1/mb_mace14_smoke_s42_30761086,,1,5,40609,71e6f96ed241973dc5d7b30ae196befd6f087c124da4ad8f6e0ba150f9de4fca
mb_mlff_1_4_s42_30763473,revision1,data/raw_compact/revision1/mb_mlff_1_4_s42_30763473,,1,3,47673,c2fe1810a61fbfb508c2e6d58ead389ab322facad89dd8d68a4843498634764a
mb_mlff_1_7_s42_30762007,revision1,data/raw_compact/revision1/mb_mlff_1_7_s42_30762007,,1,5,46237,57bf7b44f0d5f7fd8960c25f938704407f8ec933de2d57f7a467f0e0e51c9abf
mb_mlff_1_7c_s42_30763474,revision1,data/raw_compact/revision1/mb_mlff_1_7c_s42_30763474,,1,3,48817,680657d29ccf4529c695369ad175c83235352965fc07d17d07679716dc6896bf
mb_mlff_cpu_81_neb_1__s42_30763517,revision1,data/raw_compact/revision1/mb_mlff_cpu_81_neb_1__s42_30763517,,1,3,122767,0e0ce2320d443773b442d037c7a18c95b3af88568978fa4176e38fb14ac6f8cc
mb_mlff_cpu_81_neb_1_smoke__s42_30763510,revision1,data/raw_compact/revision1/mb_mlff_cpu_81_neb_1_smoke__s42_30763510,,1,3,97253,4930e20345a7a5ecacf95aae984d534e6531cc09741faa4a5d25af451b001633
mb_mlff_cpu_81_neb_2__s42_30763518,revision1,data/raw_compact/revision1/mb_mlff_cpu_81_neb_2__s42_30763518,,1,3,122783,b736fd2e03f6ab8a64ca347742c09a0a98278eda081dea64ccd9fb3c1ab6db8f
mb_mlff_cpu_81_neb_3__s42_30763519,revision1,data/raw_compact/revision1/mb_mlff_cpu_81_neb_3__s42_30763519,,1,3,122760,3e1a60bf0500bee382972e3c374f2d742ef3e4ae1338dfeadd9b6d2decf01dac
mb_mlff_cpu_81_neb_4__s42_30763520,revision1,data/raw_compact/revision1/mb_mlff_cpu_81_neb_4__s42_30763520,,1,3,122779,16ae672578413c2dc71814355d1007ca3832d8c3d72e3fcd3fc2fbc552fca621
mb_mlff_cpu_81_neb_5__s42_30763521,revision1,data/raw_compact/revision1/mb_mlff_cpu_81_neb_5__s42_30763521,,1,3,117480,7eb6c262be4a3cba1eddb20297aefb3496266f493a9e98690e7552fc5fa1d17d
mb_neb_smoke_s42,revision1,data/raw_compact/revision1/mb_neb_smoke_s42,,2,24,37009,5fbb58db229e4a394f798ec6791487bb15d3d5d4fd1d5a7a0d98a7174836a3ce
