time_fs,Jx,Jy,Jz,J_magnitude
0.0,4.125095777986553e-08,3.915475695483447e-08,6.558884900980083e-07,6.58349791488532e-07
5.0,1.812016403096772e-07,1.971254461319293e-07,5.010003181684184e-07,5.680614357342753e-07
10.0,2.991692312845767e-07,8.59515016765902e-08,4.964671682735841e-07,5.859774217164487e-07
15.0,2.4809294660453513e-07,4.908348718132347e-08,5.192124274029418e-07,5.77529950425478e-07
20.0,3.825688497520099e-08,4.697811202457992e-08,3.479117566819716e-07,3.5314745177465904e-07
25.000000000000004,3.936703238477086e-08,6.353384779311845e-08,2.50479705216872e-07,2.6139318235125e-07
30.0,1.2722492535842718e-07,8.556220004817605e-08,2.0398752924275482e-07,2.5518225603694553e-07
35.0,1.7133191736033439e-07,-6.014071711554321e-08,3.178240769835801e-07,3.660378063424663e-07
40.0,2.15211211737824e-07,-7.614016429674822e-08,3.803675665622714e-07,4.4361320535946884e-07
45.0,1.0923062909954207e-07,-9.051297780367579e-08,2.120537615066303e-07,2.5512884441685787e-07
50.00000000000001,6.015589225936684e-08,-1.37400149646791e-07,2.107826545382681e-07,2.587022612013277e-07
54.99999999999999,-3.5413703332637697e-08,-9.12191486393328e-08,9.652336592616988e-08,1.3744753046866306e-07
60.0,-1.1864442927916339e-07,-4.811233653138852e-08,-1.816911146778117e-08,1.293113070733439e-07
65.0,-1.127556333998916e-07,4.611090988644334e-09,-1.0390932995964312e-07,1.5340222904566378e-07
70.0,-1.2682784044708578e-07,5.323916728792294e-08,-1.885794212704215e-07,2.3341359894545558e-07
75.0,-6.818937206562138e-08,9.703282132474368e-08,-1.8124259046679387e-07,2.165964807563995e-07
80.0,-1.0725996429871052e-07,1.0761632773697864e-07,-2.4130595372846773e-07,2.8515703961459355e-07
85.0,-1.103694298144644e-07,9.458046940814382e-08,-1.6184548514419777e-07,2.1753353142123987e-07
90.0,-1.1792420656886054e-07,2.5019722572842637e-08,-8.20519447043036e-08,1.4582395771023154e-07
95.0,-1.0508570356944818e-07,-7.251474210056578e-08,-7.988389137229745e-09,1.2792656986570582e-07
100.00000000000001,-1.0989616145040906e-07,-8.420740336455765e-08,-3.71636037115675e-08,1.4334987451604597e-07
105.0,-1.5055676691323512e-07,-1.516200313392007e-07,5.4143620785043744e-08,2.204257372413236e-07
109.99999999999999,-9.846593358372652e-08,-2.0170683431414824e-07,8.174018555054059e-08,2.388778872549464e-07
115.0,-6.97351315819187e-08,-2.1838947433318735e-07,-4.3400975036542856e-08,2.3332508590032926e-07
120.0,-3.207629225096412e-08,-2.2703454201980466e-07,-3.216030594233978e-08,2.3153370612724317e-07
125.0,5.6712105793152835e-09,-2.6051686058463056e-07,-3.6239595142084263e-08,2.6308649819853723e-07
130.0,-1.350642220248597e-08,-2.666577283187984e-07,-7.177581213667148e-09,2.6709602240567476e-07
135.0,-2.01402524990287e-08,-2.550823520966778e-07,-8.854464861025735e-08,2.7076334855259137e-07
140.0,-4.996037452271729e-08,-3.3343308974232784e-07,-1.4817751629435002e-07,3.6828011172574576e-07
145.0,-4.2510857611975746e-08,-3.8621108518444193e-07,-1.7144529210051807e-07,4.2468772470802815e-07
150.0,6.417596866591168e-08,-4.5779872153829e-07,-1.9942318126634034e-07,5.034558864713855e-07
155.0,1.0020865673900998e-07,-4.36275611241439e-07,-2.6396444083456717e-07,5.196685577121572e-07
