time_fs,d_sq,time_ps,label
0.0,0.0,0.0,FT - 600K
200.0,0.059856360457624644,0.2,FT - 600K
400.0,0.09181166198050135,0.4,FT - 600K
600.0,0.11657801399315426,0.6,FT - 600K
800.0,0.13541829098333472,0.8,FT - 600K
1000.0,0.13362307722809447,1.0,FT - 600K
1200.0,0.12714609814447822,1.2,FT - 600K
1400.0,0.12193190740284729,1.4,FT - 600K
1600.0,0.13017721124032325,1.6,FT - 600K
1800.0,0.13761007919735715,1.8,FT - 600K
2000.0,0.14743890705339063,2.0,FT - 600K
2200.0,0.1507331279913694,2.2,FT - 600K
2400.0,0.16402404839281015,2.4,FT - 600K
2600.0,0.16384993880648369,2.6,FT - 600K
2800.0,0.15319232125812335,2.8,FT - 600K
3000.0,0.15894438093932134,3.0,FT - 600K
3200.0,0.15547010768508876,3.2,FT - 600K
3400.0,0.1554231567262188,3.4,FT - 600K
3600.0,0.153504158571064,3.6,FT - 600K
3800.0,0.15717847544800298,3.8,FT - 600K
4000.0,0.1559124002503622,4.0,FT - 600K
4200.0,0.15755065001748414,4.2,FT - 600K
4400.0,0.15782680388972306,4.4,FT - 600K
4600.0,0.1758354288507622,4.6,FT - 600K
4800.0,0.1788216220117101,4.8,FT - 600K
5000.0,0.1765791940751327,5.0,FT - 600K
5200.0,0.1788326503217711,5.2,FT - 600K
5400.0,0.17786529442662033,5.4,FT - 600K
5600.0,0.17198292291527578,5.6,FT - 600K
5800.0,0.1695731742556021,5.8,FT - 600K
6000.0,0.17113978001308178,6.0,FT - 600K
6200.0,0.17542278370049746,6.2,FT - 600K
6400.0,0.18026720593447126,6.4,FT - 600K
6600.0,0.18943002264912223,6.6,FT - 600K
6800.0,0.18887368414075917,6.8,FT - 600K
7000.0,0.1932148396876247,7.0,FT - 600K
7200.0,0.18330042895491194,7.2,FT - 600K
7400.0,0.18423208415736048,7.4,FT - 600K
7600.0,0.18075123704797635,7.6,FT - 600K
7800.0,0.18084254508858366,7.8,FT - 600K
8000.0,0.18778703778765984,8.0,FT - 600K
8200.0,0.189707437157852,8.2,FT - 600K
8400.0,0.19001448357202455,8.4,FT - 600K
8600.0,0.18746829373016424,8.6,FT - 600K
8800.0,0.17688897540214438,8.8,FT - 600K
9000.0,0.1768942054005169,9.0,FT - 600K
9200.0,0.16941765938882666,9.2,FT - 600K
9400.0,0.17115799916863841,9.4,FT - 600K
9600.0,0.1749597123969533,9.6,FT - 600K
9800.0,0.18299534755296726,9.8,FT - 600K
10000.0,0.18565666031024178,10.0,FT - 600K
10200.0,0.184398520908862,10.2,FT - 600K
10400.0,0.18817219424533002,10.4,FT - 600K
10600.0,0.18040228630286617,10.6,FT - 600K
10800.0,0.171832801655321,10.8,FT - 600K
11000.0,0.16898491093657797,11.0,FT - 600K
11200.0,0.17456992033528246,11.2,FT - 600K
11400.0,0.16909158880479638,11.4,FT - 600K
11600.0,0.17558468764505233,11.6,FT - 600K
11800.0,0.17502559216972904,11.8,FT - 600K
12000.0,0.18082292571545516,12.0,FT - 600K
12200.0,0.1939303128507904,12.2,FT - 600K
12400.0,0.19190355509967283,12.4,FT - 600K
12600.0,0.18381591173739034,12.6,FT - 600K
12800.0,0.19042410712312313,12.8,FT - 600K
13000.0,0.18499916044085496,13.0,FT - 600K
13200.0,0.19081666419949425,13.2,FT - 600K
13400.0,0.19838710471073082,13.4,FT - 600K
13600.0,0.2066844265025141,13.6,FT - 600K
13800.0,0.21045838573456235,13.8,FT - 600K
14000.0,0.210956945198053,14.0,FT - 600K
14200.0,0.20177170889013987,14.2,FT - 600K
14400.0,0.18842874142000882,14.4,FT - 600K
14600.0,0.1796865599781678,14.6,FT - 600K
14800.0,0.18097984089019864,14.8,FT - 600K
15000.0,0.1856699443963807,15.0,FT - 600K
15200.0,0.19806870017696815,15.2,FT - 600K
15400.0,0.19767780981710276,15.4,FT - 600K
15600.0,0.1999111130119449,15.6,FT - 600K
15800.0,0.20202206795970795,15.8,FT - 600K
16000.0,0.20732835514125975,16.0,FT - 600K
16200.0,0.20303119862886734,16.2,FT - 600K
16400.0,0.2011947426028542,16.4,FT - 600K
16600.0,0.2049305144523632,16.6,FT - 600K
16800.0,0.21411944736386446,16.8,FT - 600K
17000.0,0.211544752210982,17.0,FT - 600K
17200.0,0.22248187547939954,17.2,FT - 600K
17400.0,0.22486018432722707,17.4,FT - 600K
17600.0,0.2227566604184145,17.6,FT - 600K
17800.0,0.21839378069236498,17.8,FT - 600K
18000.0,0.22476204976810596,18.0,FT - 600K
18200.0,0.22585339223707548,18.2,FT - 600K
18400.0,0.21963298478420207,18.4,FT - 600K
18600.0,0.20546991758940716,18.6,FT - 600K
18800.0,0.2116836408896392,18.8,FT - 600K
19000.0,0.20606737816171103,19.0,FT - 600K
19200.0,0.20649149085211166,19.2,FT - 600K
19400.0,0.20635506465448875,19.4,FT - 600K
19600.0,0.19884098007769427,19.6,FT - 600K
19800.0,0.19591827804219153,19.8,FT - 600K
20000.0,0.19573723668074158,20.0,FT - 600K
20200.0,0.19153190404822407,20.2,FT - 600K
20400.0,0.19534806112904132,20.4,FT - 600K
20600.0,0.20321203652920095,20.6,FT - 600K
20800.0,0.20391547644805272,20.8,FT - 600K
21000.0,0.1994584041002115,21.0,FT - 600K
21200.0,0.20282325571438903,21.2,FT - 600K
21400.0,0.19461974325998957,21.4,FT - 600K
21600.0,0.1931795989920585,21.6,FT - 600K
21800.0,0.21109751326485102,21.8,FT - 600K
22000.0,0.22141726246125842,22.0,FT - 600K
22200.0,0.22154616178265774,22.2,FT - 600K
22400.0,0.21834341907942223,22.4,FT - 600K
22600.0,0.22462130453945198,22.6,FT - 600K
22800.0,0.22612179451494357,22.8,FT - 600K
23000.0,0.23062638239927774,23.0,FT - 600K
23200.0,0.2196555376911238,23.2,FT - 600K
23400.0,0.2168228038218747,23.4,FT - 600K
23600.0,0.20857744076340926,23.6,FT - 600K
23800.0,0.20915648957986518,23.8,FT - 600K
24000.0,0.221571183665964,24.0,FT - 600K
24200.0,0.2222413084322612,24.2,FT - 600K
24400.0,0.22627069708830097,24.4,FT - 600K
24600.0,0.21899058350307227,24.6,FT - 600K
24800.0,0.22333431896828537,24.8,FT - 600K
25000.0,0.22625952290749704,25.0,FT - 600K
25200.0,0.22606029666872082,25.2,FT - 600K
25400.0,0.2201165770950602,25.4,FT - 600K
25600.0,0.21237825699484525,25.6,FT - 600K
25800.0,0.2113308563647412,25.8,FT - 600K
26000.0,0.21333704554556807,26.0,FT - 600K
26200.0,0.21001631462654857,26.2,FT - 600K
26400.0,0.20767612687107245,26.4,FT - 600K
26600.0,0.20021926861106742,26.6,FT - 600K
26800.0,0.19300737333713092,26.8,FT - 600K
27000.0,0.19964961127751613,27.0,FT - 600K
27200.0,0.20569750394830466,27.2,FT - 600K
27400.0,0.19414647459866635,27.4,FT - 600K
27600.0,0.1931923294393315,27.6,FT - 600K
27800.0,0.19882963048303567,27.8,FT - 600K
28000.0,0.20208662511511125,28.0,FT - 600K
28200.0,0.20532939763276437,28.2,FT - 600K
28400.0,0.20588296629584596,28.4,FT - 600K
28600.0,0.20821786460265002,28.6,FT - 600K
28800.0,0.20272387638708375,28.8,FT - 600K
29000.0,0.20359841362892936,29.0,FT - 600K
29200.0,0.1969296975475029,29.2,FT - 600K
29400.0,0.19823627474373426,29.4,FT - 600K
29600.0,0.20899259948959073,29.6,FT - 600K
29800.0,0.2006601647934247,29.8,FT - 600K
30000.0,0.19832364285546358,30.0,FT - 600K
30200.0,0.19874826723506714,30.2,FT - 600K
30400.0,0.1993453353931008,30.4,FT - 600K
30600.0,0.20036182223654464,30.6,FT - 600K
30800.0,0.19655407440606365,30.8,FT - 600K
31000.0,0.1906201944439814,31.0,FT - 600K
31200.0,0.18419605642367268,31.2,FT - 600K
31400.0,0.19559109644029063,31.4,FT - 600K
31600.0,0.21124818154151936,31.6,FT - 600K
31800.0,0.20842715318986202,31.8,FT - 600K
32000.0,0.21507993209761553,32.0,FT - 600K
32200.0,0.21806522848966384,32.2,FT - 600K
32400.0,0.21708687730423787,32.4,FT - 600K
32600.0,0.2261333106107962,32.6,FT - 600K
32800.0,0.22479978142174895,32.8,FT - 600K
33000.0,0.23012304977988304,33.0,FT - 600K
33200.0,0.23957695281810945,33.2,FT - 600K
33400.0,0.2415056465130114,33.4,FT - 600K
33600.0,0.24163834827785086,33.6,FT - 600K
33800.0,0.23985411608118787,33.8,FT - 600K
34000.0,0.24628979258462247,34.0,FT - 600K
34200.0,0.25319171954450864,34.2,FT - 600K
34400.0,0.25049421885890755,34.4,FT - 600K
34600.0,0.25421147232672964,34.6,FT - 600K
34800.0,0.24974334639791915,34.8,FT - 600K
35000.0,0.2553362801618506,35.0,FT - 600K
35200.0,0.2580303554093439,35.2,FT - 600K
35400.0,0.26098708184393854,35.4,FT - 600K
35600.0,0.2655099597909971,35.6,FT - 600K
35800.0,0.26024603338589636,35.8,FT - 600K
36000.0,0.2426788453076979,36.0,FT - 600K
36200.0,0.2517155575392936,36.2,FT - 600K
36400.0,0.24547469271272068,36.4,FT - 600K
36600.0,0.24034295583369197,36.6,FT - 600K
36800.0,0.23825782969628664,36.8,FT - 600K
37000.0,0.24315112838225186,37.0,FT - 600K
37200.0,0.22684515375112446,37.2,FT - 600K
37400.0,0.22853789959488624,37.4,FT - 600K
37600.0,0.22602290473310743,37.6,FT - 600K
37800.0,0.23187135171262366,37.8,FT - 600K
38000.0,0.23216372581593744,38.0,FT - 600K
38200.0,0.2390176031443511,38.2,FT - 600K
38400.0,0.23969792950694285,38.4,FT - 600K
38600.0,0.23009535102846837,38.6,FT - 600K
38800.0,0.22525042249540925,38.8,FT - 600K
39000.0,0.2239377509821478,39.0,FT - 600K
39200.0,0.2245136562934873,39.2,FT - 600K
39400.0,0.2183717051674883,39.4,FT - 600K
39600.0,0.22814734484461135,39.6,FT - 600K
39800.0,0.23113126008901805,39.8,FT - 600K
40000.0,0.2388063181134888,40.0,FT - 600K
40200.0,0.23386054724385555,40.2,FT - 600K
40400.0,0.2303525886086436,40.4,FT - 600K
40600.0,0.22757937031364978,40.6,FT - 600K
40800.0,0.2279844309452786,40.8,FT - 600K
41000.0,0.21992574732853,41.0,FT - 600K
41200.0,0.2264728053000587,41.2,FT - 600K
41400.0,0.2307199685497488,41.4,FT - 600K
41600.0,0.2309498120483608,41.6,FT - 600K
41800.0,0.23009173614411027,41.8,FT - 600K
42000.0,0.2323807256558082,42.0,FT - 600K
42200.0,0.23439390078974517,42.2,FT - 600K
42400.0,0.2294070309698251,42.4,FT - 600K
42600.0,0.23462203492260325,42.6,FT - 600K
42800.0,0.23810199202931256,42.8,FT - 600K
43000.0,0.24275230135783735,43.0,FT - 600K
43200.0,0.2436460618033644,43.2,FT - 600K
43400.0,0.2581901835530008,43.4,FT - 600K
43600.0,0.26911820970644473,43.6,FT - 600K
43800.0,0.2626647785303187,43.8,FT - 600K
44000.0,0.2533287462742671,44.0,FT - 600K
44200.0,0.2579373227058641,44.2,FT - 600K
44400.0,0.25947377256022064,44.4,FT - 600K
44600.0,0.25981472852257237,44.6,FT - 600K
44800.0,0.2439911833199624,44.8,FT - 600K
45000.0,0.24364717632479263,45.0,FT - 600K
45200.0,0.2308768256562195,45.2,FT - 600K
45400.0,0.21180196321558958,45.4,FT - 600K
45600.0,0.22257489103005831,45.6,FT - 600K
45800.0,0.22060583037115838,45.8,FT - 600K
46000.0,0.2056792100261049,46.0,FT - 600K
46200.0,0.20097479772667529,46.2,FT - 600K
46400.0,0.20410197779207204,46.4,FT - 600K
46600.0,0.21230257732616922,46.6,FT - 600K
46800.0,0.22035722467894722,46.8,FT - 600K
47000.0,0.22272550975897004,47.0,FT - 600K
47200.0,0.2274823151044081,47.2,FT - 600K
47400.0,0.22878026662690457,47.4,FT - 600K
47600.0,0.22018400388568038,47.6,FT - 600K
47800.0,0.21498059624215607,47.8,FT - 600K
48000.0,0.22041575397780372,48.0,FT - 600K
48200.0,0.2149793998569582,48.2,FT - 600K
48400.0,0.20857924232765016,48.4,FT - 600K
48600.0,0.2099255421852442,48.6,FT - 600K
48800.0,0.20879490247410643,48.8,FT - 600K
49000.0,0.21951305553152733,49.0,FT - 600K
49200.0,0.2124866165477542,49.2,FT - 600K
49400.0,0.20877660663709552,49.4,FT - 600K
49600.0,0.2190527788190843,49.6,FT - 600K
49800.0,0.22542770075061158,49.8,FT - 600K
50000.0,0.23562417085275178,50.0,FT - 600K
50200.0,0.23249646500122778,50.2,FT - 600K
50400.0,0.237558981344535,50.4,FT - 600K
50600.0,0.23499709736218047,50.6,FT - 600K
50800.0,0.2327710141534899,50.8,FT - 600K
51000.0,0.22566070999106783,51.0,FT - 600K
51200.0,0.22825717057704548,51.2,FT - 600K
51400.0,0.22247787711311523,51.4,FT - 600K
51600.0,0.22222418074768913,51.6,FT - 600K
51800.0,0.21944300191977106,51.8,FT - 600K
52000.0,0.23299107628930665,52.0,FT - 600K
52200.0,0.24369160366160617,52.2,FT - 600K
52400.0,0.24335167494366083,52.4,FT - 600K
52600.0,0.24428737921343566,52.6,FT - 600K
52800.0,0.2462884159665528,52.8,FT - 600K
53000.0,0.23819702555244524,53.0,FT - 600K
53200.0,0.22820790602041585,53.2,FT - 600K
53400.0,0.2238161797918957,53.4,FT - 600K
53600.0,0.21539153750194123,53.6,FT - 600K
53800.0,0.2101043479641052,53.8,FT - 600K
54000.0,0.21383274924781123,54.0,FT - 600K
54200.0,0.21387299501367119,54.2,FT - 600K
54400.0,0.21602566148743202,54.4,FT - 600K
54600.0,0.20839653328378768,54.6,FT - 600K
54800.0,0.2069386007048465,54.8,FT - 600K
55000.0,0.2260584910873301,55.0,FT - 600K
55200.0,0.23315389017195567,55.2,FT - 600K
55400.0,0.24121991765277714,55.4,FT - 600K
55600.0,0.2339044686209839,55.6,FT - 600K
55800.0,0.2366789109354615,55.8,FT - 600K
56000.0,0.2348900893140787,56.0,FT - 600K
56200.0,0.2336228131521015,56.2,FT - 600K
56400.0,0.23161156797428828,56.4,FT - 600K
56600.0,0.2225944253816785,56.6,FT - 600K
56800.0,0.22830154771830297,56.8,FT - 600K
57000.0,0.22291201613132192,57.0,FT - 600K
57200.0,0.21297279626849994,57.2,FT - 600K
57400.0,0.20909834812365374,57.4,FT - 600K
57600.0,0.2074584589619072,57.6,FT - 600K
57800.0,0.20756510134076364,57.8,FT - 600K
58000.0,0.20118535720517697,58.0,FT - 600K
58200.0,0.20499295441121201,58.2,FT - 600K
58400.0,0.21216356814273216,58.4,FT - 600K
58600.0,0.21632667451048057,58.6,FT - 600K
58800.0,0.23064183076204456,58.8,FT - 600K
59000.0,0.2221067346604804,59.0,FT - 600K
59200.0,0.21644584887351087,59.2,FT - 600K
59400.0,0.21325649415775,59.4,FT - 600K
59600.0,0.22085860546635902,59.6,FT - 600K
59800.0,0.22335819515560815,59.8,FT - 600K
60000.0,0.22015306720714806,60.0,FT - 600K
60200.0,0.2241435897377892,60.2,FT - 600K
60400.0,0.23577827131504994,60.4,FT - 600K
60600.0,0.2330991518675305,60.6,FT - 600K
60800.0,0.22773442036637173,60.8,FT - 600K
61000.0,0.22897987438801423,61.0,FT - 600K
61200.0,0.215685214899371,61.2,FT - 600K
61400.0,0.21847603334874688,61.4,FT - 600K
61600.0,0.2157021013325421,61.6,FT - 600K
61800.0,0.22057366723726407,61.8,FT - 600K
62000.0,0.22122825561625079,62.0,FT - 600K
62200.0,0.2179154700934533,62.2,FT - 600K
62400.0,0.2195639191505188,62.4,FT - 600K
62600.0,0.22425883867436955,62.6,FT - 600K
62800.0,0.22071449260510861,62.8,FT - 600K
63000.0,0.21590956644728085,63.0,FT - 600K
63200.0,0.2003089728056571,63.2,FT - 600K
63400.0,0.19857053685553208,63.4,FT - 600K
63600.0,0.1907249807432675,63.6,FT - 600K
63800.0,0.19017985450114452,63.8,FT - 600K
64000.0,0.19811859738871918,64.0,FT - 600K
64200.0,0.21114445319836408,64.2,FT - 600K
64400.0,0.21210142776510682,64.4,FT - 600K
64600.0,0.20109477333061682,64.6,FT - 600K
64800.0,0.20691985414915162,64.8,FT - 600K
65000.0,0.2221716488299106,65.0,FT - 600K
65200.0,0.2335038906184282,65.2,FT - 600K
65400.0,0.23778821706494205,65.4,FT - 600K
65600.0,0.24020445366594104,65.6,FT - 600K
65800.0,0.24110413528290447,65.8,FT - 600K
66000.0,0.24204600859236944,66.0,FT - 600K
66200.0,0.24067736085209948,66.2,FT - 600K
66400.0,0.24551174873868462,66.4,FT - 600K
66600.0,0.24878036609479928,66.6,FT - 600K
66800.0,0.2584772018049079,66.8,FT - 600K
67000.0,0.2638690818618145,67.0,FT - 600K
67200.0,0.25816909052157866,67.2,FT - 600K
67400.0,0.2503106740900877,67.4,FT - 600K
67600.0,0.2595871997492806,67.6,FT - 600K
67800.0,0.253615166434295,67.8,FT - 600K
68000.0,0.257631157887423,68.0,FT - 600K
68200.0,0.25562885935891344,68.2,FT - 600K
68400.0,0.26127330141276,68.4,FT - 600K
68600.0,0.27653489683303945,68.6,FT - 600K
